,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,,IND,L,103,126,42,94,.447,1,6,.167,18,38,.474,21,46,16,8,2,18,29,,47,87,.540,0,3,.000,32,38,.842,14,52,32,7,6,13,25
2,2,1989-11-07,,WSB,L,114,118,45,92,.489,0,0,,24,33,.727,16,41,16,14,4,13,24,,47,85,.553,1,1,1.000,23,30,.767,16,43,24,6,2,21,26
3,3,1989-11-10,@,BOS,L,106,117,40,86,.465,0,8,.000,26,38,.684,9,32,20,10,4,10,26,,46,87,.529,1,2,.500,24,30,.800,13,50,35,6,5,14,26
4,4,1989-11-11,,ORL,W,148,109,58,95,.611,2,4,.500,30,41,.732,12,47,40,12,11,16,28,,39,111,.351,2,5,.400,29,40,.725,33,59,21,7,4,18,31
5,5,1989-11-13,@,ORL,W,112,104,42,92,.457,0,3,.000,28,36,.778,19,46,21,7,7,17,32,,35,95,.368,1,4,.250,33,43,.767,25,55,17,7,5,16,25
6,6,1989-11-17,@,CLE,L,125,131,52,104,.500,2,8,.250,19,26,.731,22,41,29,11,1,18,32,,42,81,.519,6,16,.375,41,51,.804,14,41,27,12,7,20,24
7,7,1989-11-18,,GSW,W,112,96,50,89,.562,2,6,.333,10,17,.588,15,48,24,12,2,26,26,,37,88,.420,4,8,.500,18,23,.783,14,35,24,11,4,21,18
8,8,1989-11-21,@,DET,W,103,96,38,81,.469,0,5,.000,27,37,.730,13,47,15,6,4,12,28,,35,85,.412,4,10,.400,22,30,.733,14,38,22,4,2,12,29
9,9,1989-11-22,@,MIL,L,100,118,41,87,.471,3,5,.600,15,20,.750,17,36,24,10,1,19,26,,44,81,.543,4,8,.500,26,34,.765,12,39,31,14,4,14,20
10,10,1989-11-24,@,MIA,W,103,87,41,78,.526,0,3,.000,21,30,.700,9,39,18,12,13,19,20,,36,84,.429,0,1,.000,15,23,.652,13,41,21,8,5,20,25
