,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,,MIL,W,127,114,49,81,.605,1,3,.333,28,39,.718,11,44,37,5,5,16,27,,35,83,.422,5,11,.455,39,43,.907,8,28,21,13,4,9,31
2,2,1989-11-04,@,CHI,W,102,100,42,90,.467,0,5,.000,18,27,.667,19,49,28,4,6,19,19,,43,92,.467,0,4,.000,14,22,.636,15,43,26,15,7,13,27
3,3,1989-11-07,@,MIL,L,100,106,37,85,.435,0,4,.000,26,32,.813,12,46,20,9,4,17,24,,43,86,.500,1,3,.333,19,22,.864,7,44,23,7,3,14,28
4,4,1989-11-08,@,WSB,L,103,112,43,90,.478,1,6,.167,16,22,.727,14,41,31,4,5,14,24,,43,91,.473,0,2,.000,26,29,.897,12,42,28,6,2,9,23
5,5,1989-11-10,,ATL,W,117,106,46,87,.529,1,2,.500,24,30,.800,13,50,35,6,5,14,26,,40,86,.465,0,8,.000,26,38,.684,9,32,20,10,4,10,26
6,6,1989-11-11,@,CLE,L,101,104,39,78,.500,0,1,.000,23,29,.793,11,41,24,5,4,13,21,,39,82,.476,6,10,.600,20,26,.769,9,33,23,7,8,9,22
7,7,1989-11-14,,PHI,W,96,94,42,76,.553,0,1,.000,12,17,.706,6,40,33,9,4,18,18,,39,81,.481,2,4,.500,14,17,.824,6,33,22,9,1,15,20
8,8,1989-11-15,,NJN,W,126,92,53,91,.582,0,0,,20,23,.870,13,56,42,6,7,16,14,,43,104,.413,3,11,.273,3,8,.375,13,37,25,11,3,11,18
9,9,1989-11-17,,MIN,W,116,99,47,88,.534,0,2,.000,22,26,.846,13,46,32,8,9,16,23,,41,87,.471,1,3,.333,16,26,.615,13,38,28,10,4,13,26
10,10,1989-11-18,@,DET,L,86,103,35,78,.449,3,6,.500,13,13,1.000,12,46,22,4,4,28,26,,43,87,.494,2,4,.500,15,21,.714,10,36,23,10,8,10,20
11,11,1989-11-21,@,IND,L,111,119,46,102,.451,0,3,.000,19,25,.760,18,52,28,2,5,10,21,,46,88,.523,4,11,.364,23,29,.793,6,43,29,3,6,6,23
12,12,1989-11-22,,HOU,W,109,97,34,80,.425,0,3,.000,41,51,.804,8,53,28,9,8,17,24,,37,103,.359,0,5,.000,23,24,.958,15,49,27,9,2,13,33
13,13,1989-11-24,,IND,L,111,118,43,95,.453,0,4,.000,25,33,.758,18,49,25,7,6,11,27,,45,91,.495,4,7,.571,24,30,.800,16,51,30,9,4,12,28
14,14,1989-11-25,@,ATL,L,100,108,39,84,.464,0,2,.000,22,26,.846,15,44,25,4,7,15,18,,43,87,.494,1,3,.333,21,25,.840,14,44,23,10,6,12,21
15,15,1989-11-29,@,NJN,W,118,95,49,83,.590,3,6,.500,17,20,.850,12,47,22,10,6,17,16,,39,105,.371,2,6,.333,15,24,.625,26,45,16,13,2,12,21
16,16,1989-12-01,,CLE,W,102,89,44,84,.524,2,5,.400,12,13,.923,10,42,28,6,9,14,13,,41,96,.427,2,5,.400,5,6,.833,16,43,24,8,4,13,17
17,17,1989-12-05,@,CHH,W,114,101,47,87,.540,1,3,.333,19,21,.905,11,48,32,6,5,17,19,,45,96,.469,1,9,.111,10,10,1.000,12,33,30,9,0,8,17
18,18,1989-12-06,,NYK,W,113,98,46,93,.495,1,8,.125,20,21,.952,17,49,35,10,0,17,25,,35,73,.479,5,10,.500,23,38,.605,7,36,28,12,5,15,21
19,19,1989-12-08,,DEN,L,102,103,38,93,.409,1,4,.250,25,26,.962,18,55,26,10,5,19,20,,41,102,.402,3,11,.273,18,21,.857,21,51,28,12,4,14,22
20,20,1989-12-09,@,NYK,L,92,124,38,89,.427,0,1,.000,16,17,.941,14,36,28,4,2,18,31,,45,89,.506,3,9,.333,31,43,.721,23,54,31,11,7,9,18
21,21,1989-12-13,,SEA,W,109,97,39,80,.488,3,7,.429,28,32,.875,15,49,32,7,6,25,22,,42,103,.408,3,11,.273,10,13,.769,17,36,18,13,1,19,24
22,22,1989-12-15,,LAL,L,110,119,49,91,.538,2,3,.667,10,13,.769,11,37,25,5,5,17,25,,44,81,.543,3,10,.300,28,32,.875,7,34,30,10,1,12,16
23,23,1989-12-19,@,MIL,W,95,86,35,75,.467,0,3,.000,25,32,.781,7,49,26,9,4,16,23,,32,84,.381,2,7,.286,20,30,.667,12,46,18,11,6,13,26
24,24,1989-12-20,,UTA,W,113,109,46,87,.529,1,4,.250,20,22,.909,3,31,33,10,8,8,22,,39,76,.513,4,8,.500,27,32,.844,9,42,28,5,5,16,22
25,25,1989-12-22,,PHI,L,88,89,40,94,.426,1,3,.333,7,9,.778,14,51,30,9,7,11,23,,33,86,.384,1,5,.200,22,31,.710,15,51,19,8,5,12,15
26,26,1989-12-26,@,LAC,W,112,111,43,87,.494,1,4,.250,25,30,.833,16,45,28,5,4,17,25,,42,82,.512,0,2,.000,27,35,.771,9,31,29,10,2,11,23
27,27,1989-12-27,@,SAC,W,115,112,45,97,.464,2,4,.500,23,34,.676,19,51,34,5,4,14,16,,45,90,.500,2,9,.222,20,23,.870,9,41,28,6,5,13,27
28,28,1989-12-29,@,SEA,W,96,89,41,75,.547,0,4,.000,14,19,.737,12,45,20,6,2,17,12,,38,83,.458,1,7,.143,12,17,.706,13,35,21,11,1,8,23
29,29,1990-01-03,,WSB,W,120,101,48,92,.522,2,6,.333,22,23,.957,18,52,36,5,2,14,20,,42,89,.472,0,3,.000,17,25,.680,11,32,27,6,7,10,24
30,30,1990-01-05,,LAC,L,105,114,45,96,.469,0,4,.000,15,20,.750,12,39,36,10,7,13,24,,42,77,.545,0,3,.000,30,43,.698,11,47,25,11,11,19,20
31,31,1990-01-06,@,WSB,W,102,88,40,82,.488,0,0,,22,27,.815,12,45,25,5,5,15,20,,37,81,.457,1,6,.167,13,20,.650,7,32,25,6,2,11,23
32,32,1990-01-09,@,NJN,L,78,87,28,70,.400,0,1,.000,22,32,.688,7,44,15,4,6,17,25,,32,91,.352,0,0,,23,32,.719,21,57,8,8,1,8,26
33,33,1990-01-10,,DET,W,104,97,37,90,.411,0,0,,30,39,.769,21,53,20,4,3,11,23,,40,84,.476,2,5,.400,15,21,.714,12,40,17,5,8,14,30
34,34,1990-01-12,,SAS,L,90,97,38,91,.418,1,5,.200,13,18,.722,20,46,18,6,4,20,26,,31,70,.443,0,3,.000,35,43,.814,11,41,20,15,7,13,16
35,35,1990-01-13,@,MIA,W,105,96,36,91,.396,2,5,.400,31,39,.795,29,58,16,8,3,18,14,,40,91,.440,1,3,.333,15,20,.750,17,42,24,8,11,12,27
36,36,1990-01-17,@,ORL,W,133,111,54,93,.581,0,3,.000,25,26,.962,15,51,38,12,5,21,25,,39,85,.459,2,4,.500,31,39,.795,9,31,26,13,4,16,17
37,37,1990-01-19,,IND,W,109,104,43,83,.518,1,4,.250,22,25,.880,12,49,29,4,5,14,19,,43,86,.500,7,14,.500,11,16,.688,7,33,30,10,3,12,20
38,38,1990-01-21,,GSW,L,115,120,47,100,.470,2,7,.286,19,20,.950,16,46,34,10,4,17,21,,46,85,.541,4,12,.333,24,26,.923,4,40,29,12,8,18,15
39,39,1990-01-24,,MIA,W,116,95,51,98,.520,0,2,.000,14,19,.737,23,63,33,6,6,21,17,,39,91,.429,0,2,.000,17,23,.739,13,35,21,14,6,12,17
40,40,1990-01-25,@,WSB,L,98,99,43,90,.478,1,5,.200,11,13,.846,17,54,27,2,8,17,19,,42,98,.429,0,1,.000,15,19,.789,11,36,29,9,9,4,17
41,41,1990-01-28,,PHO,W,126,118,49,84,.583,1,3,.333,27,29,.931,8,38,41,4,10,12,22,,46,100,.460,3,7,.429,23,28,.821,19,45,26,5,6,6,22
42,42,1990-01-31,,NYK,W,97,91,36,82,.439,1,5,.200,24,27,.889,15,43,27,12,7,18,18,,34,80,.425,3,11,.273,20,31,.645,19,45,19,13,10,19,22
43,43,1990-02-02,@,MIN,L,105,116,38,77,.494,1,9,.111,28,34,.824,11,38,25,0,4,14,25,,41,88,.466,1,1,1.000,33,40,.825,19,47,21,7,6,5,22
44,44,1990-02-04,,SAC,W,121,89,50,88,.568,2,4,.500,19,20,.950,6,42,40,7,5,12,13,,39,92,.424,0,4,.000,11,13,.846,11,39,26,10,2,13,18
45,45,1990-02-06,,MIL,L,106,119,42,83,.506,2,8,.250,20,27,.741,11,40,27,4,4,18,20,,49,89,.551,2,8,.250,19,27,.704,8,39,34,10,4,14,26
46,46,1990-02-07,,CHH,W,146,125,58,91,.637,3,8,.375,27,31,.871,10,43,45,10,7,16,22,,50,96,.521,3,6,.500,22,30,.733,12,33,34,12,3,11,23
47,47,1990-02-13,@,HOU,W,107,94,43,98,.439,1,7,.143,20,21,.952,14,49,28,11,3,15,19,,36,94,.383,1,4,.250,21,23,.913,15,50,21,7,6,17,19
48,48,1990-02-14,@,SAS,W,106,95,41,83,.494,1,5,.200,23,26,.885,13,50,25,8,5,21,23,,35,78,.449,0,1,.000,25,31,.806,6,33,22,13,9,16,22
49,49,1990-02-16,@,POR,L,101,120,35,89,.393,3,6,.500,28,32,.875,11,41,22,5,6,14,26,,43,92,.467,2,6,.333,32,41,.780,15,53,25,6,4,11,28
50,50,1990-02-18,@,LAL,L,110,116,48,78,.615,1,4,.250,13,16,.813,6,33,39,4,2,15,25,,44,93,.473,6,10,.600,22,27,.815,13,34,30,8,3,11,18
51,51,1990-02-20,@,PHO,L,99,120,40,96,.417,1,4,.250,18,24,.750,18,49,30,10,2,14,21,,48,87,.552,2,6,.333,22,28,.786,5,39,29,9,5,11,20
52,52,1990-02-21,@,UTA,L,103,116,36,78,.462,0,5,.000,31,38,.816,9,40,29,4,6,9,24,,45,90,.500,2,6,.333,24,31,.774,15,52,28,4,4,8,25
53,53,1990-02-23,@,GSW,W,123,111,42,87,.483,4,6,.667,35,39,.897,13,46,28,4,5,15,24,,40,83,.482,2,12,.167,29,34,.853,5,34,26,9,7,15,29
54,54,1990-02-25,@,DEN,W,115,107,42,80,.525,4,9,.444,27,34,.794,10,51,25,3,5,14,21,,44,96,.458,0,5,.000,19,27,.704,13,42,26,10,4,9,24
