,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,@,MIA,W,110,90,38,86,.442,1,6,.167,33,37,.892,10,50,20,7,10,14,25,,35,93,.376,1,4,.250,19,32,.594,19,51,19,7,8,16,26
2,2,1989-11-04,@,ORL,W,111,106,42,101,.416,3,11,.273,24,37,.649,24,51,15,9,10,11,27,,36,99,.364,1,5,.200,33,41,.805,28,59,20,7,2,14,24
3,3,1989-11-07,,MIA,L,77,83,29,94,.309,0,8,.000,19,27,.704,18,45,10,12,13,19,22,,35,79,.443,0,3,.000,13,30,.433,16,53,13,8,12,25,24
4,4,1989-11-09,@,NYK,L,105,107,42,92,.457,1,9,.111,20,31,.645,14,45,25,10,6,19,29,,37,88,.420,3,7,.429,30,41,.732,16,47,22,11,7,20,22
5,5,1989-11-10,,CHI,W,117,107,43,86,.500,2,5,.400,29,36,.806,16,46,14,12,8,14,24,,40,86,.465,1,6,.167,26,35,.743,16,39,18,9,7,17,24
6,6,1989-11-14,,CLE,L,92,103,38,112,.339,2,11,.182,14,22,.636,31,64,14,5,7,8,26,,35,88,.398,4,7,.571,29,35,.829,20,54,19,4,6,9,19
7,7,1989-11-15,@,BOS,L,92,126,43,104,.413,3,11,.273,3,8,.375,13,37,25,11,3,11,18,,53,91,.582,0,0,,20,23,.870,13,56,42,6,7,16,14
8,8,1989-11-18,,SAS,L,95,110,32,84,.381,2,4,.500,29,39,.744,17,42,14,11,10,25,28,,40,83,.482,0,0,,30,42,.714,13,48,15,17,3,18,30
9,9,1989-11-21,@,SEA,L,84,114,35,92,.380,3,4,.750,11,13,.846,9,32,18,6,5,16,27,,44,84,.524,1,4,.250,25,30,.833,14,53,25,10,4,20,18
10,10,1989-11-22,@,LAC,L,97,106,38,87,.437,3,7,.429,18,19,.947,15,44,19,9,5,15,21,,43,89,.483,1,1,1.000,19,25,.760,18,46,25,11,8,14,16
11,11,1989-11-24,@,POR,L,99,125,40,78,.513,4,9,.444,15,22,.682,14,34,23,4,7,28,27,,50,84,.595,0,4,.000,25,34,.735,12,34,35,19,4,12,19
12,12,1989-11-25,@,SAC,L,98,112,40,107,.374,4,13,.308,14,18,.778,24,49,20,13,1,14,21,,46,83,.554,0,4,.000,20,28,.714,12,47,17,9,9,16,17
13,13,1989-11-27,@,UTA,L,68,105,25,98,.255,1,7,.143,17,17,1.000,25,48,13,15,4,22,26,,39,68,.574,1,4,.250,26,40,.650,9,54,25,13,7,29,20
