,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,,WSB,L,96,116,36,78,.462,0,2,.000,24,34,.706,7,38,20,11,4,20,30,,43,93,.462,0,1,.000,30,39,.769,21,60,22,11,3,19,27
2,2,1989-11-07,@,SEA,L,88,128,32,85,.376,3,8,.375,21,28,.750,15,35,22,12,2,22,27,,49,92,.533,2,8,.250,28,31,.903,19,53,28,9,6,19,27
3,3,1989-11-08,@,UTA,L,86,102,35,76,.461,2,5,.400,14,21,.667,8,38,22,12,5,25,23,,44,93,.473,0,3,.000,14,18,.778,16,47,29,15,2,22,24
4,4,1989-11-10,@,LAL,L,100,106,38,90,.422,4,8,.500,20,23,.870,13,38,28,15,5,17,23,,41,76,.539,3,9,.333,21,28,.750,8,43,30,9,11,22,19
5,5,1989-11-11,@,GSW,L,104,115,38,77,.494,6,14,.429,22,34,.647,8,28,26,12,4,20,25,,44,85,.518,2,7,.286,25,33,.758,12,42,22,7,3,22,26
6,6,1989-11-14,,ORL,W,130,116,52,100,.520,0,4,.000,26,35,.743,18,49,26,11,5,12,19,,46,90,.511,1,3,.333,23,28,.821,11,39,22,8,1,16,26
7,7,1989-11-15,@,PHI,L,96,109,37,87,.425,5,11,.455,17,23,.739,11,39,26,7,0,14,22,,40,80,.500,1,4,.250,28,30,.933,10,49,31,8,6,17,19
8,8,1989-11-17,,GSW,W,99,98,41,91,.451,4,7,.571,13,20,.650,15,40,28,15,1,13,32,,32,71,.451,4,5,.800,30,38,.789,15,46,18,11,8,22,22
9,9,1989-11-21,,MIA,L,87,98,34,84,.405,2,5,.400,17,27,.630,13,39,19,14,4,16,27,,39,81,.481,0,1,.000,20,32,.625,15,51,16,7,3,20,25
10,10,1989-11-24,,HOU,L,81,85,35,80,.438,5,10,.500,6,9,.667,11,35,25,6,0,14,23,,33,74,.446,1,3,.333,18,24,.750,16,47,21,4,7,16,18
11,11,1989-11-25,,MIN,W,81,73,31,74,.419,1,4,.250,18,26,.692,12,45,19,8,2,14,15,,31,75,.413,0,3,.000,11,17,.647,9,41,23,8,2,13,24
12,12,1989-11-27,@,NYK,L,108,119,44,95,.463,3,11,.273,17,23,.739,12,29,30,15,8,11,24,,45,89,.506,2,5,.400,27,31,.871,18,53,29,4,5,22,21
13,13,1989-11-29,@,DAL,L,83,102,32,101,.317,0,12,.000,19,23,.826,17,52,24,4,5,9,28,,36,82,.439,1,7,.143,29,34,.853,11,53,20,7,10,10,25
14,14,1989-11-30,@,HOU,L,101,113,35,85,.412,3,8,.375,28,37,.757,12,31,21,24,0,14,22,,48,76,.632,0,2,.000,17,24,.708,10,48,35,10,1,28,25
15,15,1989-12-02,@,SAS,L,110,118,41,85,.482,3,8,.375,25,27,.926,9,30,18,11,3,18,21,,46,85,.541,1,1,1.000,25,32,.781,17,51,27,11,5,25,23
16,16,1989-12-05,,BOS,L,101,114,45,96,.469,1,9,.111,10,10,1.000,12,33,30,9,0,8,17,,47,87,.540,1,3,.333,19,21,.905,11,48,32,6,5,17,19
17,17,1989-12-07,,POR,L,86,96,34,81,.420,5,15,.333,13,18,.722,10,33,25,9,4,20,10,,45,90,.500,0,3,.000,6,9,.667,18,51,21,13,7,21,19
18,18,1989-12-09,,DEN,L,93,106,33,82,.402,2,9,.222,25,34,.735,11,37,21,6,1,10,15,,46,90,.511,0,4,.000,14,18,.778,14,52,27,4,1,15,26
19,19,1989-12-12,,LAL,L,89,103,36,92,.391,5,12,.417,12,17,.706,15,34,22,8,2,8,19,,44,82,.537,1,3,.333,14,16,.875,13,53,22,3,4,21,18
20,20,1989-12-14,@,WSB,L,101,105,39,92,.424,3,11,.273,20,25,.800,10,47,26,6,2,12,23,,37,93,.398,1,1,1.000,30,35,.857,13,50,25,6,8,9,20
21,21,1989-12-16,@,CHI,L,104,115,43,88,.489,3,11,.273,15,20,.750,10,39,30,4,2,11,17,,45,85,.529,5,7,.714,20,26,.769,11,40,26,8,7,6,18
22,22,1989-12-19,,DAL,W,102,97,39,81,.481,4,6,.667,20,25,.800,9,33,28,7,4,8,20,,40,79,.506,1,6,.167,16,28,.571,15,44,27,5,3,13,19
23,23,1989-12-22,,UTA,L,100,114,35,87,.402,4,10,.400,26,32,.813,11,37,22,7,3,11,21,,46,80,.575,4,9,.444,18,27,.667,8,44,28,8,5,16,23
24,24,1989-12-26,,SAS,L,82,107,28,78,.359,4,12,.333,22,27,.815,12,36,21,9,4,20,18,,43,87,.494,3,5,.600,18,23,.783,12,46,32,13,5,20,22
25,25,1989-12-28,,CLE,W,94,92,39,89,.438,1,3,.333,15,19,.789,13,43,29,9,6,11,19,,36,90,.400,3,9,.333,17,23,.739,17,52,20,6,8,14,19
26,26,1989-12-30,,HOU,W,111,92,43,78,.551,1,3,.333,24,28,.857,5,32,26,16,4,15,18,,39,75,.520,0,2,.000,14,22,.636,7,35,25,6,4,25,25
27,27,1990-01-04,@,MIN,L,98,100,40,86,.465,2,8,.250,16,23,.696,9,37,22,4,2,13,29,,34,71,.479,1,2,.500,31,43,.721,9,40,27,8,6,14,22
28,28,1990-01-06,,IND,W,117,111,51,101,.505,3,9,.333,12,23,.522,15,45,33,14,7,7,20,,44,90,.489,2,6,.333,21,27,.778,14,53,19,3,4,16,18
29,29,1990-01-08,@,MIL,L,113,126,47,97,.485,2,7,.286,17,24,.708,19,42,31,11,4,16,11,,55,96,.573,3,7,.429,13,17,.765,15,49,39,9,4,18,23
30,30,1990-01-09,,LAC,L,98,108,39,101,.386,0,3,.000,20,23,.870,13,42,21,7,6,8,18,,46,88,.523,0,1,.000,16,21,.762,12,54,18,5,8,17,19
31,31,1990-01-11,@,NJN,L,101,109,40,84,.476,3,10,.300,18,26,.692,8,43,17,6,2,14,23,,41,99,.414,2,3,.667,25,30,.833,22,59,20,11,5,9,19
32,32,1990-01-12,,CHI,L,95,107,40,89,.449,4,10,.400,11,19,.579,18,42,29,8,3,18,15,,45,81,.556,0,1,.000,17,23,.739,8,38,27,11,3,14,21
33,33,1990-01-15,@,PHO,L,108,118,49,105,.467,3,8,.375,7,7,1.000,12,43,31,6,5,15,27,,43,98,.439,1,4,.250,31,35,.886,18,54,24,7,5,13,17
34,34,1990-01-16,@,LAC,L,98,106,43,105,.410,2,11,.182,10,12,.833,10,39,29,13,2,12,25,,41,78,.526,1,2,.500,23,35,.657,10,54,33,5,10,23,17
35,35,1990-01-18,@,DEN,W,110,108,41,82,.500,3,11,.273,25,34,.735,5,44,27,6,5,14,21,,41,96,.427,2,6,.333,24,27,.889,13,46,25,6,2,13,26
36,36,1990-01-19,@,UTA,L,93,116,39,93,.419,5,10,.500,10,12,.833,13,43,27,8,2,23,23,,46,85,.541,2,4,.500,22,29,.759,9,46,28,12,5,16,17
37,37,1990-01-21,@,POR,L,100,115,40,95,.421,1,4,.250,19,23,.826,9,40,26,8,4,12,22,,48,104,.462,1,3,.333,18,28,.643,19,58,26,6,2,12,21
38,38,1990-01-23,,ATL,L,101,106,39,94,.415,2,7,.286,21,29,.724,15,46,26,6,6,10,28,,33,83,.398,0,4,.000,40,47,.851,15,53,18,7,4,12,23
39,39,1990-01-25,,PHO,L,97,124,38,91,.418,1,10,.100,20,29,.690,13,43,25,4,4,18,25,,46,84,.548,3,4,.750,29,34,.853,6,46,18,14,7,14,27
40,40,1990-01-27,,SAC,L,85,92,35,85,.412,2,4,.500,13,16,.813,11,40,25,12,4,11,15,,41,83,.494,2,5,.400,8,9,.889,8,42,26,4,3,16,14
41,41,1990-01-31,@,SAS,L,95,129,37,98,.378,3,12,.250,18,25,.720,18,47,24,9,5,20,23,,49,94,.521,0,6,.000,31,40,.775,17,57,28,18,7,15,21
42,42,1990-02-02,,SAS,L,107,118,46,107,.430,3,15,.200,12,15,.800,14,44,29,9,3,8,19,,51,99,.515,1,3,.333,15,21,.714,14,55,36,5,13,11,17
