,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,,CLE,W,124,119,44,93,.473,4,11,.364,32,43,.744,14,44,27,10,5,12,25,,48,93,.516,4,14,.286,19,33,.576,13,46,32,7,6,20,30
2,2,1989-11-04,,BOS,L,100,102,43,92,.467,0,4,.000,14,22,.636,15,43,26,15,7,13,27,,42,90,.467,0,5,.000,18,27,.667,19,49,28,4,6,19,19
3,3,1989-11-07,,DET,W,117,114,44,78,.564,2,6,.333,27,33,.818,12,37,27,7,4,16,25,,43,87,.494,5,13,.385,23,28,.821,14,33,26,8,4,16,28
4,4,1989-11-08,@,MIN,W,96,84,36,78,.462,1,1,1.000,23,25,.920,11,41,11,6,2,18,25,,32,86,.372,0,5,.000,20,30,.667,15,38,19,13,2,14,21
5,5,1989-11-10,@,NJN,L,107,117,40,86,.465,1,6,.167,26,35,.743,16,39,18,9,7,17,24,,43,86,.500,2,5,.400,29,36,.806,16,46,14,12,8,14,24
6,6,1989-11-11,,SEA,W,109,102,38,67,.567,4,9,.444,29,38,.763,5,33,26,13,7,17,24,,41,88,.466,3,7,.429,17,26,.654,17,44,26,7,4,19,26
7,7,1989-11-14,@,SAC,W,96,94,40,99,.404,2,6,.333,14,22,.636,22,61,20,8,5,16,19,,41,91,.451,1,8,.125,11,15,.733,7,45,21,8,2,11,20
8,8,1989-11-15,@,UTA,L,107,108,37,85,.435,0,5,.000,33,41,.805,15,41,19,10,6,14,28,,40,78,.513,1,2,.500,27,37,.730,12,40,24,10,5,15,25
9,9,1989-11-18,@,SEA,L,110,119,44,95,.463,7,16,.438,15,20,.750,17,39,20,6,2,15,21,,46,79,.582,7,12,.583,20,25,.800,9,39,23,10,5,15,14
10,10,1989-11-21,@,POR,L,110,121,47,88,.534,2,9,.222,14,16,.875,15,39,27,9,5,20,22,,47,83,.566,1,1,1.000,26,31,.839,14,39,26,11,3,19,17
11,11,1989-11-22,@,PHO,W,95,90,34,81,.420,1,6,.167,26,32,.813,14,44,16,8,2,10,21,,35,79,.443,3,7,.429,17,25,.680,12,45,27,6,4,15,24
12,12,1989-11-25,@,GSW,W,104,91,45,103,.437,3,11,.273,11,12,.917,20,54,25,10,4,14,23,,37,82,.451,0,7,.000,17,28,.607,10,39,21,6,7,17,15
13,13,1989-11-26,@,LAC,L,96,120,36,83,.434,4,10,.400,20,27,.741,11,31,17,12,5,23,22,,51,80,.638,1,1,1.000,17,22,.773,7,40,36,13,8,25,29
14,14,1989-11-28,,ATL,W,113,98,41,75,.547,1,3,.333,30,37,.811,5,43,33,6,8,12,25,,40,94,.426,0,7,.000,18,25,.720,13,41,25,8,2,8,27
15,15,1989-12-02,@,MIA,W,114,107,42,79,.532,2,4,.500,28,32,.875,9,45,20,9,7,22,28,,44,99,.444,1,1,1.000,18,26,.692,17,46,24,12,4,17,27
16,16,1989-12-05,,DEN,W,119,99,51,99,.515,2,7,.286,15,19,.789,20,58,28,9,4,17,21,,39,97,.402,3,9,.333,18,20,.900,14,42,28,9,6,15,19
17,17,1989-12-08,@,IND,L,104,106,45,85,.529,3,8,.375,11,17,.647,13,37,24,9,3,14,25,,39,80,.488,3,8,.375,25,35,.714,19,47,17,6,2,17,15
18,18,1989-12-09,,PHI,W,125,105,52,89,.584,6,10,.600,15,20,.750,10,43,35,7,6,7,21,,40,87,.460,6,7,.857,19,24,.792,11,33,20,4,4,15,21
19,19,1989-12-12,,DAL,W,105,97,47,98,.480,4,11,.364,7,11,.636,17,52,34,7,4,14,23,,36,82,.439,1,1,1.000,24,35,.686,11,35,21,9,6,11,9
20,20,1989-12-14,,ORL,W,124,113,51,99,.515,4,9,.444,18,21,.857,14,45,35,13,8,16,22,,46,94,.489,2,4,.500,19,26,.731,15,41,29,9,0,21,17
21,21,1989-12-16,,CHH,W,115,104,45,85,.529,5,7,.714,20,26,.769,11,40,26,8,7,6,18,,43,88,.489,3,11,.273,15,20,.750,10,39,30,4,2,11,17
22,22,1989-12-19,,LAL,W,93,83,38,75,.507,3,8,.375,14,18,.778,7,45,26,3,8,19,13,,32,88,.364,3,14,.214,16,24,.667,17,45,18,9,2,12,18
23,23,1989-12-20,@,ORL,L,109,110,40,92,.435,4,10,.400,25,28,.893,10,35,24,14,8,11,28,,39,78,.500,0,1,.000,32,40,.800,11,48,24,9,2,23,20
24,24,1989-12-22,@,ATL,W,125,113,48,82,.585,4,9,.444,25,31,.806,11,40,29,8,3,15,23,,42,83,.506,4,8,.500,25,31,.806,13,34,20,7,4,15,23
25,25,1989-12-23,@,PHI,L,104,131,40,83,.482,1,5,.200,23,30,.767,14,40,23,6,5,13,27,,52,94,.553,4,9,.444,23,34,.676,21,49,28,9,5,10,21
26,26,1989-12-26,,MIN,W,112,99,45,76,.592,6,11,.545,16,22,.727,11,34,30,11,4,25,22,,40,72,.556,1,3,.333,18,27,.667,8,28,27,15,3,19,19
27,27,1989-12-29,,SAS,W,101,97,39,77,.506,3,8,.375,20,23,.870,8,37,30,10,3,18,18,,40,88,.455,1,7,.143,16,21,.762,17,44,25,13,4,18,19
28,28,1989-12-30,@,WSB,W,117,112,44,102,.431,2,10,.200,27,29,.931,22,56,24,11,6,16,23,,46,99,.465,1,2,.500,19,23,.826,18,47,29,6,5,16,25
29,29,1990-01-03,@,CLE,W,93,87,38,88,.432,0,6,.000,17,21,.810,10,35,15,12,4,8,20,,34,78,.436,2,8,.250,17,24,.708,13,51,26,4,8,21,18
30,30,1990-01-05,,ORL,W,127,116,52,95,.547,4,7,.571,19,34,.559,13,42,40,14,4,16,28,,41,83,.494,3,5,.600,31,39,.795,12,44,26,5,4,24,24
31,31,1990-01-06,@,MIL,L,111,118,40,77,.519,8,16,.500,23,28,.821,8,35,18,14,4,19,18,,48,88,.545,5,14,.357,17,20,.850,11,39,31,14,0,17,22
32,32,1990-01-09,@,DET,L,90,100,38,90,.422,4,8,.500,10,17,.588,15,38,23,7,4,16,17,,41,81,.506,2,9,.222,16,20,.800,9,45,23,5,6,19,18
33,33,1990-01-10,@,IND,L,113,120,47,96,.490,4,10,.400,15,16,.938,14,42,21,9,2,10,31,,40,74,.541,6,11,.545,34,40,.850,9,45,20,2,2,17,19
34,34,1990-01-12,@,CHH,W,107,95,45,81,.556,0,1,.000,17,23,.739,8,38,27,11,3,14,21,,40,89,.449,4,10,.400,11,19,.579,18,42,29,8,3,18,15
35,35,1990-01-13,,LAC,W,117,111,51,89,.573,4,10,.400,11,17,.647,5,41,36,10,2,14,19,,44,86,.512,3,5,.600,20,28,.714,12,38,28,11,4,17,14
36,36,1990-01-15,@,NYK,L,106,109,45,89,.506,1,5,.200,15,20,.750,17,39,25,10,1,13,20,,45,82,.549,5,11,.455,14,18,.778,9,35,26,4,8,15,17
37,37,1990-01-18,,GSW,W,132,107,54,101,.535,11,21,.524,13,14,.929,17,56,42,9,9,13,26,,41,97,.423,6,18,.333,19,28,.679,18,37,24,10,9,12,15
38,38,1990-01-19,@,ATL,W,92,84,35,82,.427,1,10,.100,21,25,.840,8,35,18,18,3,14,21,,30,75,.400,1,7,.143,23,33,.697,17,55,18,10,7,26,18
39,39,1990-01-21,,NYK,W,117,109,39,80,.488,5,8,.625,34,45,.756,16,40,27,11,5,13,26,,37,79,.468,3,10,.300,32,43,.744,19,40,27,9,8,21,32
40,40,1990-01-23,,DET,L,95,107,32,79,.405,3,9,.333,28,35,.800,10,30,23,10,4,13,26,,44,76,.579,2,2,1.000,17,27,.630,13,45,29,6,3,18,31
41,41,1990-01-26,@,PHI,L,109,120,45,93,.484,1,7,.143,18,25,.720,13,37,33,8,1,10,24,,44,83,.530,1,4,.250,31,36,.861,13,43,26,7,2,13,18
42,42,1990-01-27,,NJN,W,110,107,44,88,.500,4,11,.364,18,26,.692,14,37,31,11,5,14,19,,40,76,.526,3,7,.429,24,27,.889,8,38,28,8,4,17,19
43,43,1990-01-29,,ATL,W,121,111,52,82,.634,3,8,.375,14,23,.609,10,38,40,6,4,17,25,,43,89,.483,0,2,.000,25,33,.758,14,35,27,8,1,9,20
44,44,1990-02-01,@,HOU,L,112,139,45,102,.441,4,12,.333,18,30,.600,21,42,29,15,4,20,24,,55,88,.625,5,7,.714,24,29,.828,14,51,36,11,9,24,26
45,45,1990-02-03,@,SAS,L,111,112,43,85,.506,5,9,.556,20,27,.741,10,27,16,12,1,13,29,,41,73,.562,0,1,.000,30,39,.769,16,48,28,6,5,23,22
46,46,1990-02-07,@,LAL,L,103,121,40,81,.494,5,7,.714,18,23,.783,16,43,27,3,5,19,26,,45,86,.523,5,17,.294,26,31,.839,12,37,31,13,7,9,17
