,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,@,CHI,L,119,124,48,93,.516,4,14,.286,19,33,.576,13,46,32,7,6,20,30,,44,93,.473,4,11,.364,32,43,.744,14,44,27,10,5,12,25
2,2,1989-11-04,@,IND,L,98,106,41,90,.456,0,6,.000,16,22,.727,14,45,23,8,6,19,27,,42,83,.506,1,2,.500,21,26,.808,11,46,28,10,5,18,22
3,3,1989-11-08,,ORL,L,110,117,45,100,.450,0,2,.000,20,29,.690,12,36,30,12,9,18,36,,41,93,.441,0,4,.000,35,46,.761,20,55,22,8,2,22,28
4,4,1989-11-10,@,WSB,L,92,100,38,86,.442,0,3,.000,16,21,.762,15,39,27,8,7,14,20,,40,79,.506,0,2,.000,20,26,.769,10,40,35,5,6,15,19
5,5,1989-11-11,,BOS,W,104,101,39,82,.476,6,10,.600,20,26,.769,9,33,23,7,8,9,22,,39,78,.500,0,1,.000,23,29,.793,11,41,24,5,4,13,21
6,6,1989-11-14,@,NJN,W,103,92,35,88,.398,4,7,.571,29,35,.829,20,54,19,4,6,9,19,,38,112,.339,2,11,.182,14,22,.636,31,64,14,5,7,8,26
7,7,1989-11-15,,GSW,W,129,104,52,92,.565,8,16,.500,17,24,.708,17,48,33,9,6,7,21,,43,84,.512,2,6,.333,16,25,.640,9,27,24,4,3,13,16
8,8,1989-11-17,,ATL,W,131,125,42,81,.519,6,16,.375,41,51,.804,14,41,27,12,7,20,24,,52,104,.500,2,8,.250,19,26,.731,22,41,29,11,1,18,32
9,9,1989-11-22,,NYK,W,97,85,36,94,.383,7,16,.438,18,24,.750,19,51,21,10,2,9,20,,34,81,.420,5,13,.385,12,17,.706,11,42,18,3,4,17,27
10,10,1989-11-24,@,DET,L,82,101,28,83,.337,5,17,.294,21,26,.808,15,42,18,10,2,20,23,,42,76,.553,2,5,.400,15,24,.625,8,47,32,11,7,21,27
11,11,1989-11-25,,HOU,L,75,85,32,92,.348,2,11,.182,9,16,.563,15,51,19,5,8,5,11,,39,97,.402,2,6,.333,5,6,.833,21,63,21,4,5,11,17
12,12,1989-11-28,,WSB,W,92,91,37,87,.425,5,12,.417,13,17,.765,13,42,19,6,4,15,15,,41,74,.554,0,2,.000,9,11,.818,3,33,23,7,1,19,22
13,13,1989-11-29,@,PHI,L,84,114,35,86,.407,3,9,.333,11,17,.647,15,37,23,4,6,17,23,,43,84,.512,1,3,.333,27,33,.818,11,40,29,10,2,12,19
14,14,1989-12-01,@,BOS,L,89,102,41,96,.427,2,5,.400,5,6,.833,16,43,24,8,4,13,17,,44,84,.524,2,5,.400,12,13,.923,10,42,28,6,9,14,13
15,15,1989-12-02,,MIN,L,74,101,28,72,.389,4,7,.571,14,23,.609,11,36,11,9,8,21,22,,39,80,.488,1,1,1.000,22,26,.846,13,42,20,17,5,14,20
16,16,1989-12-05,,UTA,L,80,94,31,84,.369,7,14,.500,11,17,.647,14,47,21,7,10,13,17,,37,81,.457,5,6,.833,15,17,.882,10,44,22,9,2,13,17
17,17,1989-12-07,@,LAC,L,88,105,34,93,.366,3,10,.300,17,24,.708,18,47,24,11,5,16,23,,43,86,.500,2,5,.400,17,29,.586,17,53,31,12,11,17,22
18,18,1989-12-09,@,SAC,W,108,101,40,83,.482,3,9,.333,25,31,.806,12,46,22,4,5,13,19,,40,86,.465,2,15,.133,19,23,.826,11,39,23,6,3,9,26
19,19,1989-12-11,@,UTA,W,113,110,48,106,.453,9,17,.529,8,18,.444,22,58,24,8,7,14,24,,46,90,.511,6,12,.500,12,23,.522,10,46,36,9,9,14,14
20,20,1989-12-13,,MIL,W,99,93,35,87,.402,2,13,.154,27,34,.794,23,54,20,8,4,15,26,,36,74,.486,1,6,.167,20,29,.690,7,33,23,12,2,12,24
21,21,1989-12-15,,SEA,W,120,101,45,88,.511,3,8,.375,27,32,.844,9,40,24,5,4,10,25,,37,89,.416,0,6,.000,27,38,.711,19,47,12,7,5,11,28
22,22,1989-12-20,,DEN,L,89,104,36,86,.419,5,11,.455,12,17,.706,11,38,19,8,8,14,14,,48,98,.490,2,5,.400,6,6,1.000,20,57,23,5,2,14,20
23,23,1989-12-22,@,MIL,L,100,112,37,73,.507,8,11,.727,18,22,.818,10,35,27,11,6,28,26,,41,82,.500,1,6,.167,29,32,.906,13,35,24,12,1,19,22
24,24,1989-12-25,@,ATL,L,104,115,45,95,.474,3,13,.231,11,24,.458,17,44,33,8,8,9,23,,45,85,.529,0,2,.000,25,31,.806,12,50,28,5,6,14,20
25,25,1989-12-27,,DET,L,82,99,31,85,.365,2,7,.286,18,27,.667,18,37,14,15,6,15,16,,44,83,.530,1,5,.200,10,14,.714,16,53,21,5,4,25,23
26,26,1989-12-28,@,CHH,L,92,94,36,90,.400,3,9,.333,17,23,.739,17,52,20,6,8,14,19,,39,89,.438,1,3,.333,15,19,.789,13,43,29,9,6,11,19
27,27,1989-12-30,,PHO,W,110,102,37,90,.411,5,8,.625,31,43,.721,20,46,23,8,4,13,26,,37,76,.487,3,8,.375,25,30,.833,10,42,20,9,6,18,29
28,28,1990-01-03,,CHI,L,87,93,34,78,.436,2,8,.250,17,24,.708,13,51,26,4,8,21,18,,38,88,.432,0,6,.000,17,21,.810,10,35,15,12,4,8,20
29,29,1990-01-05,,WSB,W,119,107,43,88,.489,8,11,.727,25,32,.781,15,49,31,6,6,11,25,,41,96,.427,0,5,.000,25,32,.781,16,46,24,5,5,10,22
30,30,1990-01-06,@,ORL,W,123,112,45,94,.479,7,13,.538,26,31,.839,16,46,30,8,6,9,25,,44,91,.484,1,3,.333,23,29,.793,15,41,24,1,2,15,27
31,31,1990-01-10,,MIL,L,100,116,41,85,.482,3,9,.333,15,32,.469,19,45,29,9,8,20,15,,45,87,.517,5,8,.625,21,24,.875,14,43,31,12,5,14,25
32,32,1990-01-12,@,PHI,W,113,102,46,77,.597,5,7,.714,16,19,.842,11,39,32,8,8,18,19,,40,80,.500,0,6,.000,22,28,.786,10,31,26,12,3,11,20
33,33,1990-01-13,,NJN,W,98,96,35,74,.473,3,12,.250,25,37,.676,12,41,28,9,5,16,20,,37,83,.446,1,4,.250,21,26,.808,13,44,26,10,1,13,26
34,34,1990-01-15,,SAS,W,92,89,35,89,.393,10,22,.455,12,22,.545,22,56,27,9,8,16,22,,35,81,.432,2,7,.286,17,27,.630,13,45,29,8,6,16,23
35,35,1990-01-17,@,HOU,L,98,107,41,91,.451,2,9,.222,14,24,.583,19,46,21,8,5,13,14,,45,84,.536,2,4,.500,15,19,.789,13,47,35,5,11,17,23
36,36,1990-01-19,@,SAS,L,101,104,41,91,.451,5,16,.313,14,20,.700,16,45,32,11,4,15,25,,37,83,.446,1,4,.250,29,36,.806,14,47,26,11,1,19,22
37,37,1990-01-20,@,DAL,L,96,105,38,96,.396,6,16,.375,14,19,.737,12,42,22,3,8,11,25,,42,82,.512,2,8,.250,19,28,.679,11,52,20,5,8,12,25
38,38,1990-01-23,,PHI,L,88,103,33,77,.429,2,5,.400,20,25,.800,16,42,19,7,6,14,20,,44,85,.518,1,1,1.000,14,24,.583,18,44,26,9,7,15,18
39,39,1990-01-24,@,ATL,L,86,103,30,78,.385,4,12,.333,22,32,.688,12,31,16,14,3,20,19,,42,84,.500,1,2,.500,18,24,.750,19,51,24,12,4,26,25
40,40,1990-01-26,@,MIN,W,85,84,28,66,.424,4,10,.400,25,30,.833,7,37,18,6,5,15,20,,35,79,.443,2,4,.500,12,16,.750,9,35,24,9,4,12,25
41,41,1990-01-27,@,IND,W,91,84,35,76,.461,3,10,.300,18,24,.750,17,43,22,8,4,19,19,,34,83,.410,4,13,.308,12,13,.923,11,32,21,8,3,13,23
42,42,1990-01-30,@,MIA,W,106,94,41,84,.488,3,13,.231,21,32,.656,15,45,25,12,10,16,18,,39,84,.464,2,4,.500,14,23,.609,13,40,24,11,2,19,25
43,43,1990-02-03,,DET,L,100,105,40,83,.482,3,12,.250,17,21,.810,13,41,27,3,7,13,17,,45,90,.500,2,6,.333,13,17,.765,16,41,26,8,4,9,22
44,44,1990-02-05,,LAC,W,100,84,37,87,.425,2,7,.286,24,35,.686,18,42,29,20,7,13,16,,36,71,.507,0,0,,12,17,.706,9,38,27,8,5,29,21
45,45,1990-02-06,@,DET,L,96,105,37,83,.446,6,12,.500,16,22,.727,11,33,18,6,1,12,23,,42,84,.500,3,7,.429,18,25,.720,19,54,28,7,6,14,19
46,46,1990-02-08,,MIA,W,106,82,41,84,.488,4,7,.571,20,29,.690,14,42,34,7,3,18,20,,33,83,.398,0,3,.000,16,21,.762,14,39,18,11,4,19,28
