,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,,LAL,L,94,102,35,84,.417,1,4,.250,23,28,.821,16,47,19,10,7,18,22,,43,92,.467,2,10,.200,14,22,.636,19,50,26,9,10,19,21
2,2,1989-11-07,@,SAC,L,94,96,28,75,.373,1,3,.333,37,47,.787,21,57,15,5,8,24,20,,39,93,.419,2,12,.167,16,20,.800,14,41,21,12,1,10,27
3,3,1989-11-08,@,LAC,W,123,99,48,80,.600,1,4,.250,26,30,.867,11,43,27,8,1,16,26,,37,82,.451,1,3,.333,24,34,.706,10,35,23,8,3,24,21
4,4,1989-11-10,,POR,L,91,99,34,76,.447,2,5,.400,21,28,.750,10,40,24,11,3,18,17,,39,85,.459,1,3,.333,20,22,.909,15,45,27,9,1,15,19
5,5,1989-11-12,@,LAL,L,98,107,42,85,.494,0,1,.000,14,18,.778,13,41,19,7,4,19,22,,42,91,.462,4,10,.400,19,23,.826,16,39,26,12,4,12,16
6,6,1989-11-14,@,SEA,W,113,109,41,94,.436,0,1,.000,31,32,.969,16,40,16,10,5,15,19,,44,83,.530,1,8,.125,20,22,.909,10,37,23,11,13,22,23
7,7,1989-11-17,,LAC,W,122,105,46,81,.568,0,2,.000,30,38,.789,10,42,24,6,5,16,25,,40,81,.494,0,2,.000,25,33,.758,10,35,16,7,2,17,28
8,8,1989-11-18,,MIA,W,100,99,36,80,.450,2,6,.333,26,35,.743,10,36,25,13,4,14,19,,41,85,.482,4,6,.667,13,17,.765,12,43,28,9,3,22,28
9,9,1989-11-21,@,DEN,L,95,111,32,77,.416,0,4,.000,31,33,.939,8,37,14,7,9,17,25,,41,94,.436,1,3,.333,28,31,.903,17,47,24,11,5,14,26
10,10,1989-11-24,,MIN,W,99,89,39,74,.527,1,3,.333,20,37,.541,17,43,26,6,6,13,19,,37,90,.411,0,3,.000,15,20,.750,25,43,17,8,4,11,24
11,11,1989-11-25,,SEA,L,70,117,27,75,.360,1,11,.091,15,23,.652,13,41,12,2,3,25,18,,47,89,.528,5,11,.455,18,21,.857,14,50,27,12,5,9,25
12,12,1989-11-29,,CHH,W,102,83,36,82,.439,1,7,.143,29,34,.853,11,53,20,7,10,10,25,,32,101,.317,0,12,.000,19,23,.826,17,52,24,4,5,9,28
13,13,1989-11-30,@,SAS,L,89,93,34,82,.415,2,5,.400,19,28,.679,11,40,16,11,1,14,26,,37,76,.487,0,2,.000,19,29,.655,12,43,23,7,10,19,23
14,14,1989-12-02,@,HOU,W,106,103,39,82,.476,1,1,1.000,27,38,.711,12,37,22,9,1,6,18,,43,84,.512,2,6,.333,15,22,.682,13,49,35,6,7,15,24
15,15,1989-12-05,,GSW,W,107,88,43,80,.538,3,8,.375,18,23,.783,11,52,30,8,7,18,23,,30,86,.349,1,8,.125,27,35,.771,12,36,17,10,3,12,18
16,16,1989-12-07,@,UTA,L,97,107,36,71,.507,2,6,.333,23,27,.852,4,30,18,11,2,20,25,,37,72,.514,4,9,.444,29,36,.806,7,36,22,13,6,16,21
17,17,1989-12-08,,SAS,L,93,99,39,89,.438,2,7,.286,13,16,.813,19,46,19,6,5,16,26,,34,71,.479,0,1,.000,31,42,.738,10,36,21,13,5,13,17
18,18,1989-12-12,@,CHI,L,97,105,36,82,.439,1,1,1.000,24,35,.686,11,35,21,9,6,11,9,,47,98,.480,4,11,.364,7,11,.636,17,52,34,7,4,14,23
19,19,1989-12-13,@,MIN,W,90,87,36,79,.456,1,3,.333,17,24,.708,9,41,18,4,10,13,19,,32,84,.381,2,7,.286,21,28,.750,14,45,24,10,3,9,19
20,20,1989-12-15,@,PHI,W,95,88,32,79,.405,2,5,.400,29,36,.806,8,34,20,13,1,7,18,,36,80,.450,0,8,.000,16,18,.889,12,50,22,2,9,20,27
21,21,1989-12-16,@,WSB,L,108,112,42,82,.512,2,9,.222,22,28,.786,8,36,11,5,4,12,21,,47,90,.522,0,0,,18,25,.720,12,39,28,4,3,11,23
22,22,1989-12-19,@,CHH,L,97,102,40,79,.506,1,6,.167,16,28,.571,15,44,27,5,3,13,19,,39,81,.481,4,6,.667,20,25,.800,9,33,28,7,4,8,20
23,23,1989-12-20,@,NJN,W,84,78,30,73,.411,0,3,.000,24,30,.800,11,44,12,4,7,12,17,,29,83,.349,0,7,.000,20,26,.769,15,36,13,7,5,10,22
24,24,1989-12-22,,LAC,W,101,92,39,72,.542,2,2,1.000,21,24,.875,9,43,19,5,4,16,20,,35,81,.432,0,5,.000,22,30,.733,10,33,12,10,3,10,23
25,25,1989-12-23,,SAC,W,102,95,36,81,.444,0,3,.000,30,42,.714,17,45,15,8,4,9,17,,40,84,.476,2,8,.250,13,19,.684,13,37,17,4,6,12,30
26,26,1989-12-27,,ATL,W,114,101,44,79,.557,2,4,.500,24,31,.774,16,46,22,9,2,15,26,,38,90,.422,2,9,.222,23,34,.676,24,42,16,8,3,15,27
27,27,1989-12-29,,POR,L,140,144,49,114,.430,4,11,.364,38,48,.792,22,67,24,7,5,19,28,,57,121,.471,1,6,.167,29,35,.829,16,58,31,11,10,12,31
28,28,1989-12-30,,DEN,W,116,109,46,94,.489,3,7,.429,21,31,.677,14,61,26,9,7,20,18,,47,106,.443,3,8,.375,12,21,.571,11,46,29,14,3,13,27
29,29,1990-01-02,,IND,W,110,106,40,76,.526,1,3,.333,29,34,.853,9,45,20,7,3,12,28,,41,95,.432,6,12,.500,18,26,.692,20,48,25,8,2,11,26
30,30,1990-01-04,@,PHO,L,102,119,41,84,.488,3,8,.375,17,20,.850,10,36,21,6,4,13,21,,47,86,.547,3,4,.750,22,25,.880,12,43,31,5,2,11,19
31,31,1990-01-05,,PHI,L,79,104,34,94,.362,1,7,.143,10,13,.769,16,41,20,9,2,12,18,,43,82,.524,0,4,.000,18,21,.857,10,51,27,7,6,17,16
32,32,1990-01-08,,SEA,W,110,96,36,75,.480,0,0,,38,43,.884,14,47,20,8,8,12,21,,39,89,.438,1,7,.143,17,25,.680,16,40,23,4,6,12,29
33,33,1990-01-10,@,GSW,L,119,123,46,87,.529,0,4,.000,27,29,.931,10,33,21,8,6,16,21,,47,90,.522,4,7,.571,25,26,.962,16,41,22,4,4,13,22
34,34,1990-01-11,@,SEA,L,87,98,33,75,.440,4,11,.364,17,23,.739,9,44,14,3,0,15,23,,35,79,.443,2,4,.500,26,36,.722,12,42,21,10,4,9,20
35,35,1990-01-13,,UTA,L,99,109,36,78,.462,3,7,.429,24,32,.750,15,36,20,5,4,15,24,,41,73,.562,1,7,.143,26,32,.813,12,43,25,6,4,16,23
36,36,1990-01-15,@,DEN,L,90,101,35,78,.449,1,3,.333,19,25,.760,9,38,23,7,2,17,19,,42,86,.488,0,2,.000,17,21,.810,10,44,29,13,0,12,23
37,37,1990-01-17,,PHO,L,88,108,36,84,.429,2,6,.333,14,19,.737,10,33,21,8,3,14,15,,45,88,.511,3,8,.375,15,17,.882,16,53,24,6,13,11,16
38,38,1990-01-19,,NYK,W,117,103,45,85,.529,7,10,.700,20,27,.741,13,40,27,6,9,11,20,,40,79,.506,4,14,.286,19,26,.731,14,44,26,7,6,17,25
39,39,1990-01-20,,CLE,W,105,96,42,82,.512,2,8,.250,19,28,.679,11,52,20,5,8,12,25,,38,96,.396,6,16,.375,14,19,.737,12,42,22,3,8,11,25
40,40,1990-01-23,,WSB,W,129,105,52,85,.612,1,6,.167,24,32,.750,10,44,28,8,3,14,18,,47,97,.485,0,2,.000,11,19,.579,16,42,27,6,2,14,26
41,41,1990-01-26,,SAC,W,106,93,46,85,.541,0,4,.000,14,23,.609,8,38,21,10,7,7,14,,40,91,.440,2,9,.222,11,14,.786,19,54,17,5,5,15,18
42,42,1990-01-27,@,HOU,W,99,92,41,82,.500,1,4,.250,16,19,.842,13,43,17,10,4,19,22,,35,84,.417,0,3,.000,22,27,.815,16,43,27,10,5,17,19
43,43,1990-01-29,,NJN,W,108,88,42,80,.525,0,4,.000,24,28,.857,12,49,24,12,9,20,16,,38,94,.404,1,8,.125,11,20,.550,17,41,16,11,1,15,23
44,44,1990-01-31,,HOU,W,98,91,37,77,.481,0,4,.000,24,33,.727,18,39,18,8,5,16,19,,40,84,.476,0,4,.000,11,19,.579,17,41,25,6,6,17,28
45,45,1990-02-02,@,UTA,L,92,105,34,77,.442,0,4,.000,24,35,.686,14,34,22,7,4,11,21,,39,83,.470,4,11,.364,23,28,.821,22,50,25,5,5,15,26
46,46,1990-02-03,@,POR,L,100,131,40,93,.430,5,10,.500,15,18,.833,10,37,20,6,4,16,23,,50,87,.575,4,7,.571,27,33,.818,11,43,28,6,4,14,16
