,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,@,UTA,L,113,122,42,100,.420,2,10,.200,27,36,.750,9,36,25,6,6,11,22,,51,82,.622,2,4,.500,18,28,.643,7,48,35,6,13,23,35
2,2,1989-11-04,,PHO,W,135,132,50,98,.510,5,9,.556,30,35,.857,14,38,27,10,5,9,31,,44,81,.543,3,11,.273,41,45,.911,10,40,20,5,7,20,26
3,3,1989-11-08,,SAC,W,102,84,46,107,.430,1,6,.167,9,15,.600,20,54,27,16,3,17,27,,31,75,.413,2,8,.250,20,29,.690,9,43,10,6,8,29,21
4,4,1989-11-09,@,HOU,W,128,127,50,107,.467,3,8,.375,25,36,.694,15,57,32,12,2,14,29,,50,97,.515,2,6,.333,25,37,.676,11,55,38,8,7,21,31
5,5,1989-11-11,@,SAS,L,108,122,38,102,.373,5,13,.385,27,36,.750,17,47,19,11,2,18,26,,49,92,.533,0,2,.000,24,32,.750,11,51,30,10,8,21,29
6,6,1989-11-14,@,LAC,L,121,129,44,95,.463,4,11,.364,29,31,.935,12,45,30,10,5,18,30,,50,94,.532,0,1,.000,29,41,.707,14,50,31,9,6,14,25
7,7,1989-11-15,,WSB,W,109,98,45,104,.433,5,10,.500,14,28,.500,19,53,24,14,2,12,23,,40,86,.465,1,5,.200,17,23,.739,7,51,18,9,7,18,21
8,8,1989-11-17,@,LAL,L,105,119,40,97,.412,2,7,.286,23,31,.742,21,45,15,10,7,17,29,,46,88,.523,3,9,.333,24,33,.727,14,50,33,11,8,14,22
9,9,1989-11-18,,HOU,W,141,111,58,102,.569,3,6,.500,22,27,.815,17,47,35,13,3,15,19,,46,96,.479,1,6,.167,18,21,.857,9,35,19,8,5,19,23
