,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,,NYK,W,106,103,37,79,.468,4,11,.364,28,35,.800,18,45,28,8,8,18,19,,41,83,.494,3,10,.300,18,26,.692,13,38,23,12,5,20,26
2,2,1989-11-04,@,WSB,W,95,93,34,88,.386,1,6,.167,26,31,.839,14,41,12,8,6,10,23,,39,82,.476,0,1,.000,15,21,.714,13,38,23,3,2,14,28
3,3,1989-11-07,@,CHI,L,114,117,43,87,.494,5,13,.385,23,28,.821,14,33,26,8,4,16,28,,44,78,.564,2,6,.333,27,33,.818,12,37,27,7,4,16,25
4,4,1989-11-08,@,IND,L,74,95,31,90,.344,1,4,.250,11,19,.579,23,44,13,12,2,19,25,,37,68,.544,0,4,.000,21,29,.724,11,46,24,11,3,23,23
5,5,1989-11-10,@,ORL,W,125,121,51,99,.515,0,3,.000,23,32,.719,16,34,27,10,3,16,26,,44,80,.550,0,4,.000,33,37,.892,13,42,26,5,2,25,32
6,6,1989-11-11,@,MIA,L,84,88,35,86,.407,0,1,.000,14,26,.538,19,43,19,3,7,12,27,,30,70,.429,0,2,.000,28,39,.718,11,42,17,6,4,12,25
7,7,1989-11-15,,MIA,W,130,94,50,94,.532,0,1,.000,30,41,.732,19,50,28,8,4,9,23,,35,89,.393,1,10,.100,23,27,.852,15,36,13,5,5,17,30
8,8,1989-11-17,,MIL,W,106,79,43,76,.566,2,5,.400,18,27,.667,19,53,29,5,9,22,25,,30,83,.361,3,10,.300,16,19,.842,10,25,19,7,1,15,29
9,9,1989-11-18,,BOS,W,103,86,43,87,.494,2,4,.500,15,21,.714,10,36,23,10,8,10,20,,35,78,.449,3,6,.500,13,13,1.000,12,46,22,4,4,28,26
10,10,1989-11-21,,ATL,L,96,103,35,85,.412,4,10,.400,22,30,.733,14,38,22,4,2,12,29,,38,81,.469,0,5,.000,27,37,.730,13,47,15,6,4,12,28
11,11,1989-11-24,,CLE,W,101,82,42,76,.553,2,5,.400,15,24,.625,8,47,32,11,7,21,27,,28,83,.337,5,17,.294,21,26,.808,15,42,18,10,2,20,23
12,12,1989-11-26,@,POR,L,82,102,34,93,.366,5,9,.556,9,13,.692,17,44,20,5,7,20,26,,39,92,.424,1,3,.333,23,30,.767,22,58,22,9,7,16,20
13,13,1989-11-28,@,SAC,W,93,81,36,84,.429,0,2,.000,21,26,.808,9,47,25,10,9,13,19,,31,83,.373,4,10,.400,15,24,.625,10,45,22,5,7,17,22
14,14,1989-11-29,@,PHO,W,111,103,46,95,.484,1,4,.250,18,25,.720,14,46,29,6,2,7,25,,40,88,.455,4,9,.444,19,22,.864,10,40,25,1,1,11,27
15,15,1989-12-01,@,LAL,W,108,97,41,87,.471,0,3,.000,26,30,.867,18,45,27,4,4,15,29,,30,73,.411,2,8,.250,35,41,.854,10,34,19,4,3,15,30
16,16,1989-12-02,@,SEA,L,95,120,34,86,.395,1,5,.200,26,38,.684,17,42,20,8,5,16,29,,44,86,.512,2,6,.333,30,41,.732,14,48,27,12,6,20,29
17,17,1989-12-06,,WSB,W,115,107,45,91,.495,1,3,.333,24,28,.857,16,42,30,7,5,16,23,,44,85,.518,1,5,.200,18,22,.818,8,36,32,5,7,16,29
18,18,1989-12-08,@,PHI,L,101,107,43,91,.473,3,10,.300,12,17,.706,14,38,29,2,5,11,26,,37,74,.500,1,4,.250,32,41,.780,12,46,19,8,2,11,21
19,19,1989-12-09,,IND,W,121,93,54,84,.643,0,3,.000,13,15,.867,9,42,28,11,5,19,24,,31,81,.383,1,4,.250,30,36,.833,11,28,20,9,0,14,18
20,20,1989-12-12,@,DEN,W,121,108,48,76,.632,3,6,.500,22,30,.733,5,35,22,5,2,15,25,,40,87,.460,3,9,.333,25,29,.862,10,34,17,8,2,10,27
21,21,1989-12-13,@,LAC,L,79,83,28,91,.308,3,10,.300,20,29,.690,21,43,12,11,6,11,27,,32,75,.427,1,3,.333,18,29,.621,16,49,21,4,10,20,29
22,22,1989-12-15,@,UTA,L,91,94,35,82,.427,2,9,.222,19,30,.633,14,49,20,5,3,15,29,,29,74,.392,1,8,.125,35,42,.833,11,42,13,5,7,12,26
23,23,1989-12-16,@,GSW,L,92,104,37,87,.425,3,8,.375,15,25,.600,18,48,22,3,4,20,20,,38,82,.463,4,8,.500,24,27,.889,10,37,18,7,3,15,28
24,24,1989-12-19,,SEA,W,94,77,39,87,.448,0,2,.000,16,19,.842,17,44,22,6,6,12,22,,32,73,.438,0,7,.000,13,18,.722,11,40,20,6,3,21,27
25,25,1989-12-22,@,NJN,W,96,90,36,80,.450,1,1,1.000,23,25,.920,11,39,15,3,2,12,16,,40,90,.444,1,4,.250,9,13,.692,14,44,18,6,8,11,24
26,26,1989-12-23,,ORL,W,106,100,42,91,.462,0,2,.000,22,32,.688,18,48,27,5,9,9,22,,40,85,.471,3,6,.500,17,25,.680,12,40,26,3,2,13,29
27,27,1989-12-27,@,CLE,W,99,82,44,83,.530,1,5,.200,10,14,.714,16,53,21,5,4,25,23,,31,85,.365,2,7,.286,18,27,.667,18,37,14,15,6,15,16
28,28,1989-12-29,,MIL,L,85,99,29,72,.403,3,8,.375,24,29,.828,9,42,21,3,7,22,23,,38,83,.458,0,3,.000,23,34,.676,11,42,24,15,3,14,23
29,29,1989-12-30,,NJN,W,117,106,46,94,.489,3,5,.600,22,24,.917,18,49,26,6,6,12,32,,38,74,.514,1,2,.500,29,44,.659,7,34,16,9,3,12,22
30,30,1990-01-02,@,ORL,W,115,113,39,83,.470,1,4,.250,36,45,.800,13,38,21,1,5,9,23,,43,98,.439,2,3,.667,25,28,.893,20,44,22,5,0,11,29
31,31,1990-01-03,,LAC,W,84,80,31,81,.383,2,8,.250,20,30,.667,15,46,23,6,8,12,18,,34,91,.374,2,9,.222,10,10,1.000,18,52,18,4,4,16,28
32,32,1990-01-05,,IND,W,122,99,48,91,.527,1,7,.143,25,35,.714,10,40,29,12,4,10,24,,34,83,.410,2,10,.200,29,34,.853,16,49,18,6,1,23,32
33,33,1990-01-06,,NYK,W,117,106,44,80,.550,0,3,.000,29,33,.879,10,32,29,3,2,11,29,,36,84,.429,3,6,.500,31,41,.756,19,41,17,7,5,11,28
34,34,1990-01-09,,CHI,W,100,90,41,81,.506,2,9,.222,16,20,.800,9,45,23,5,6,19,18,,38,90,.422,4,8,.500,10,17,.588,15,38,23,7,4,16,17
35,35,1990-01-10,@,BOS,L,97,104,40,84,.476,2,5,.400,15,21,.714,12,40,17,5,8,14,30,,37,90,.411,0,0,,30,39,.769,21,53,20,4,3,11,23
36,36,1990-01-12,,MIN,W,97,86,35,63,.556,0,2,.000,27,32,.844,9,39,28,3,4,19,20,,36,82,.439,0,1,.000,14,18,.778,11,32,21,11,3,9,23
37,37,1990-01-13,,POR,W,111,106,44,84,.524,0,5,.000,23,35,.657,15,49,32,6,4,14,20,,44,96,.458,5,9,.556,13,16,.813,12,39,28,7,1,12,34
38,38,1990-01-17,@,PHI,L,108,112,42,78,.538,2,8,.250,22,26,.846,6,33,27,3,5,16,28,,40,78,.513,1,7,.143,31,38,.816,10,34,26,5,3,16,23
39,39,1990-01-19,,GSW,W,125,118,47,96,.490,4,8,.500,27,34,.794,24,55,30,4,5,13,27,,42,85,.494,7,14,.500,27,28,.964,8,33,28,9,6,14,26
40,40,1990-01-21,,LAL,L,97,107,35,82,.427,3,11,.273,24,36,.667,15,42,22,3,5,10,20,,39,85,.459,5,10,.500,24,28,.857,14,43,27,8,2,7,29
41,41,1990-01-23,@,CHI,W,107,95,44,76,.579,2,2,1.000,17,27,.630,13,45,29,6,3,18,31,,32,79,.405,3,9,.333,28,35,.800,10,30,23,10,4,13,26
42,42,1990-01-26,,PHO,W,107,103,42,96,.438,6,13,.462,17,21,.810,16,45,25,9,6,10,25,,39,78,.500,2,11,.182,23,28,.821,7,46,20,6,8,19,23
43,43,1990-01-27,@,MIN,W,85,83,34,72,.472,2,6,.333,15,24,.625,8,41,19,2,6,18,19,,34,89,.382,1,4,.250,14,17,.824,10,39,18,12,4,6,20
44,44,1990-01-30,@,ATL,W,112,95,44,86,.512,3,6,.500,21,27,.778,19,53,26,11,6,21,26,,32,82,.390,3,7,.429,28,41,.683,19,42,15,10,2,17,23
45,45,1990-01-31,,WSB,W,133,109,55,85,.647,1,5,.200,22,28,.786,7,37,28,5,6,14,23,,44,92,.478,0,3,.000,21,28,.750,14,36,27,2,1,14,27
46,46,1990-02-03,@,CLE,W,105,100,45,90,.500,2,6,.333,13,17,.765,16,41,26,8,4,9,22,,40,83,.482,3,12,.250,17,21,.810,13,41,27,3,7,13,17
47,47,1990-02-04,,UTA,W,115,83,47,86,.547,3,9,.333,18,29,.621,18,53,27,3,9,15,20,,30,81,.370,2,4,.500,21,30,.700,14,39,24,10,5,14,26
48,48,1990-02-06,,CLE,W,105,96,42,84,.500,3,7,.429,18,25,.720,19,54,28,7,6,14,19,,37,83,.446,6,12,.500,16,22,.727,11,33,18,6,1,12,23
49,49,1990-02-08,@,MIL,W,104,101,42,85,.494,2,9,.222,18,26,.692,15,42,23,5,3,16,27,,38,91,.418,4,11,.364,21,29,.724,18,42,23,11,2,13,24
50,50,1990-02-13,,DEN,W,106,96,40,89,.449,1,7,.143,25,34,.735,19,59,28,9,7,19,19,,38,84,.452,4,10,.400,16,20,.800,6,31,28,7,2,14,26
51,51,1990-02-17,@,MIA,W,97,79,36,74,.486,0,3,.000,25,35,.714,14,46,24,6,11,13,22,,30,82,.366,0,2,.000,19,32,.594,19,42,18,7,3,13,21
52,52,1990-02-19,,MIA,W,94,85,39,78,.500,1,4,.250,15,24,.625,10,41,27,5,3,16,24,,34,74,.459,1,2,.500,16,23,.696,10,41,19,10,2,18,27
53,53,1990-02-21,,ORL,W,140,109,53,97,.546,3,9,.333,31,38,.816,13,52,30,5,10,11,30,,40,103,.388,3,5,.600,26,34,.765,19,50,18,6,2,12,31
54,54,1990-02-23,@,ATL,L,103,112,38,78,.487,0,3,.000,27,36,.750,15,40,18,5,5,16,29,,42,78,.538,1,4,.250,27,38,.711,12,39,26,8,1,11,24
55,55,1990-02-25,@,NYK,W,98,87,40,89,.449,1,3,.333,17,19,.895,12,37,25,9,2,6,20,,35,85,.412,2,11,.182,15,18,.833,20,53,26,3,5,21,23
56,56,1990-02-27,,HOU,W,106,102,40,104,.385,3,11,.273,23,33,.697,14,48,26,9,7,15,25,,42,84,.500,0,3,.000,18,33,.545,10,56,27,5,8,26,33
57,57,1990-03-01,@,WSB,W,99,85,42,93,.452,1,6,.167,14,21,.667,16,51,23,5,8,10,17,,37,92,.402,1,4,.250,10,18,.556,19,51,26,4,3,16,21
58,58,1990-03-02,,PHI,W,115,112,36,87,.414,3,8,.375,40,43,.930,16,50,22,5,4,15,33,,38,85,.447,2,6,.333,34,47,.723,13,44,15,2,3,15,29
59,59,1990-03-04,,IND,W,111,105,41,86,.477,1,8,.125,28,34,.824,13,52,25,1,5,12,19,,42,91,.462,6,14,.429,15,20,.750,6,34,21,6,1,8,30
60,60,1990-03-06,,SAC,W,101,91,40,79,.506,1,3,.333,20,22,.909,13,41,25,5,6,13,16,,40,82,.488,0,2,.000,11,16,.688,12,34,25,9,3,13,21
61,61,1990-03-09,@,NJN,W,99,95,38,89,.427,1,4,.250,22,30,.733,18,51,20,7,7,11,20,,39,90,.433,2,7,.286,15,25,.600,14,47,13,6,6,13,24
62,62,1990-03-11,@,CHH,W,98,88,41,76,.539,3,3,1.000,13,18,.722,9,38,26,5,3,14,14,,38,84,.452,1,3,.333,11,13,.846,12,39,21,11,2,12,22
63,63,1990-03-15,,SAS,W,110,98,49,90,.544,2,8,.250,10,15,.667,15,42,36,6,8,14,18,,40,86,.465,2,4,.500,16,23,.696,14,37,25,8,2,16,19
64,64,1990-03-16,@,CHI,W,106,81,44,76,.579,5,9,.556,13,19,.684,12,35,26,11,5,12,18,,32,71,.451,4,9,.444,13,18,.722,12,32,25,5,4,21,16
65,65,1990-03-18,,DAL,W,114,84,45,88,.511,6,12,.500,18,24,.750,8,49,36,9,2,9,23,,29,80,.363,2,2,1.000,24,33,.727,13,48,16,4,3,16,26
66,66,1990-03-20,@,MIL,W,117,96,48,93,.516,3,6,.500,18,19,.947,18,48,26,6,4,15,20,,39,91,.429,1,7,.143,17,21,.810,14,38,28,9,2,13,25
67,67,1990-03-22,@,HOU,L,110,115,45,86,.523,5,13,.385,15,22,.682,14,42,29,7,4,18,23,,43,82,.524,4,6,.667,25,34,.735,10,34,25,14,5,10,21
68,68,1990-03-24,@,SAS,L,98,105,36,84,.429,7,14,.500,19,22,.864,18,42,22,8,5,17,27,,38,78,.487,1,3,.333,28,35,.800,14,41,18,7,5,17,22
69,69,1990-03-25,@,DAL,L,96,98,31,73,.425,4,12,.333,30,41,.732,11,45,15,3,3,16,24,,40,87,.460,4,9,.444,14,22,.636,13,43,20,7,4,10,35
70,70,1990-03-28,,CHH,W,106,97,36,69,.522,3,8,.375,31,35,.886,10,40,24,8,3,24,20,,38,82,.463,2,4,.500,19,26,.731,11,35,20,13,1,19,30
71,71,1990-03-30,@,BOS,L,111,123,46,108,.426,2,13,.154,17,20,.850,25,53,17,5,1,10,32,,41,83,.494,2,9,.222,39,44,.886,12,45,30,6,11,10,18
