,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,@,PHO,L,106,136,36,89,.404,4,10,.400,30,36,.833,15,44,20,6,6,29,32,,49,96,.510,3,6,.500,35,42,.833,16,48,32,12,3,17,29
2,2,1989-11-04,,HOU,L,105,132,35,91,.385,1,10,.100,34,44,.773,16,44,21,7,2,24,27,,51,98,.520,3,9,.333,27,35,.771,16,60,34,12,2,21,32
3,3,1989-11-07,,LAC,W,118,94,44,75,.587,3,6,.500,27,30,.900,10,36,24,15,5,32,26,,36,90,.400,0,3,.000,22,34,.647,20,38,17,20,9,27,27
4,4,1989-11-09,,LAL,L,95,106,32,78,.410,2,8,.250,29,40,.725,7,34,16,5,7,14,27,,35,97,.361,1,13,.077,35,38,.921,28,69,20,7,5,18,28
5,5,1989-11-11,,CHH,W,115,104,44,85,.518,2,7,.286,25,33,.758,12,42,22,7,3,22,26,,38,77,.494,6,14,.429,22,34,.647,8,28,26,12,4,20,25
6,6,1989-11-14,@,MIN,L,98,101,30,75,.400,1,5,.200,37,44,.841,12,38,13,7,10,17,21,,37,88,.420,2,7,.286,25,28,.893,15,42,19,10,7,17,32
7,7,1989-11-15,@,CLE,L,104,129,43,84,.512,2,6,.333,16,25,.640,9,27,24,4,3,13,16,,52,92,.565,8,16,.500,17,24,.708,17,48,33,9,6,7,21
8,8,1989-11-17,@,CHH,L,98,99,32,71,.451,4,5,.800,30,38,.789,15,46,18,11,8,22,22,,41,91,.451,4,7,.571,13,20,.650,15,40,28,15,1,13,32
9,9,1989-11-18,@,ATL,L,96,112,37,88,.420,4,8,.500,18,23,.783,14,35,24,11,4,21,18,,50,89,.562,2,6,.333,10,17,.588,15,48,24,12,2,26,26
10,10,1989-11-22,,SAC,W,133,109,51,97,.526,7,11,.636,24,29,.828,11,49,33,9,3,11,23,,41,89,.461,1,6,.167,26,33,.788,10,43,27,6,1,13,25
11,11,1989-11-25,,CHI,L,91,104,37,82,.451,0,7,.000,17,28,.607,10,39,21,6,7,17,15,,45,103,.437,3,11,.273,11,12,.917,20,54,25,10,4,14,23
12,12,1989-11-28,@,DEN,L,120,141,42,86,.488,3,5,.600,33,36,.917,5,41,22,5,5,25,27,,52,110,.473,4,13,.308,33,40,.825,15,47,36,15,3,13,27
13,13,1989-11-29,,NYK,L,111,129,45,89,.506,2,10,.200,19,23,.826,5,30,26,8,8,15,24,,46,99,.465,9,18,.500,28,35,.800,24,60,26,11,4,16,25
14,14,1989-12-01,@,POR,L,110,123,36,80,.450,5,13,.385,33,41,.805,7,34,22,6,6,15,21,,51,103,.495,3,8,.375,18,25,.720,22,57,29,9,5,15,31
15,15,1989-12-02,,MIL,W,101,98,36,75,.480,5,13,.385,24,32,.750,9,32,27,11,8,21,15,,40,91,.440,2,10,.200,16,20,.800,22,50,19,13,3,23,28
16,16,1989-12-05,@,DAL,L,88,107,30,86,.349,1,8,.125,27,35,.771,12,36,17,10,3,12,18,,43,80,.538,3,8,.375,18,23,.783,11,52,30,8,7,18,23
17,17,1989-12-06,@,SAS,L,119,121,48,89,.539,5,9,.556,18,25,.720,12,33,22,12,2,22,30,,45,83,.542,0,3,.000,31,41,.756,11,43,26,12,4,22,24
18,18,1989-12-08,,SAC,L,121,126,48,93,.516,0,9,.000,25,35,.714,12,47,32,3,7,11,26,,47,102,.461,6,11,.545,26,31,.839,15,42,27,4,2,7,25
19,19,1989-12-12,@,SAC,W,118,103,46,93,.495,5,15,.333,21,23,.913,15,48,26,10,7,20,21,,45,104,.433,4,12,.333,9,16,.563,22,49,26,13,3,20,23
20,20,1989-12-13,,DEN,W,134,114,50,89,.562,0,8,.000,34,43,.791,12,56,33,12,5,22,28,,44,109,.404,3,8,.375,23,37,.622,24,51,26,11,5,14,33
21,21,1989-12-15,@,POR,W,116,111,42,90,.467,4,11,.364,28,32,.875,14,46,26,10,6,17,28,,38,93,.409,0,6,.000,35,47,.745,24,53,20,10,3,16,20
22,22,1989-12-16,,DET,W,104,92,38,82,.463,4,8,.500,24,27,.889,10,37,18,7,3,15,28,,37,87,.425,3,8,.375,15,25,.600,18,48,22,3,4,20,20
23,23,1989-12-20,,HOU,W,118,112,43,80,.538,1,9,.111,31,39,.795,9,35,28,12,10,17,25,,41,81,.506,3,7,.429,27,37,.730,12,43,27,10,2,22,30
