,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,@,LAC,L,88,102,33,74,.446,1,4,.250,21,28,.750,10,36,16,11,5,25,27,,45,90,.500,0,2,.000,12,22,.545,14,38,30,17,4,19,22
2,2,1989-11-04,@,GSW,W,132,105,51,98,.520,3,9,.333,27,35,.771,16,60,34,12,2,21,32,,35,91,.385,1,10,.100,34,44,.773,16,44,21,7,2,24,27
3,3,1989-11-07,,POR,W,109,86,44,93,.473,2,7,.286,19,31,.613,19,64,31,10,4,21,24,,33,92,.359,0,8,.000,20,30,.667,17,50,20,13,3,19,27
4,4,1989-11-09,,DEN,L,127,128,50,97,.515,2,6,.333,25,37,.676,11,55,38,8,7,21,31,,50,107,.467,3,8,.375,25,36,.694,15,57,32,12,2,14,29
5,5,1989-11-11,,UTA,W,100,92,40,88,.455,1,6,.167,19,30,.633,17,55,24,8,14,18,25,,36,83,.434,4,11,.364,16,31,.516,13,47,21,9,3,19,21
6,6,1989-11-14,@,MIA,L,99,101,37,80,.463,3,9,.333,22,31,.710,14,44,13,12,9,29,22,,41,83,.494,1,3,.333,18,28,.643,10,39,26,13,4,24,25
7,7,1989-11-16,,LAC,W,94,82,41,94,.436,0,7,.000,12,15,.800,20,55,31,10,9,15,23,,34,74,.459,0,0,,14,22,.636,8,39,20,8,3,19,21
8,8,1989-11-18,@,DEN,L,111,141,46,96,.479,1,6,.167,18,21,.857,9,35,19,8,5,19,23,,58,102,.569,3,6,.500,22,27,.815,17,47,35,13,3,15,19
9,9,1989-11-19,,MIA,W,132,94,51,88,.580,1,4,.250,29,33,.879,16,45,33,15,9,18,24,,38,89,.427,0,2,.000,18,29,.621,22,44,21,8,5,28,30
10,10,1989-11-21,@,NYK,L,106,114,45,94,.479,2,7,.286,14,15,.933,13,51,35,15,8,27,32,,38,94,.404,2,6,.333,36,45,.800,19,51,25,13,3,21,15
11,11,1989-11-22,@,BOS,L,97,109,37,103,.359,0,5,.000,23,24,.958,15,49,27,9,2,13,33,,34,80,.425,0,3,.000,41,51,.804,8,53,28,9,8,17,24
12,12,1989-11-24,@,CHH,W,85,81,33,74,.446,1,3,.333,18,24,.750,16,47,21,4,7,16,18,,35,80,.438,5,10,.500,6,9,.667,11,35,25,6,0,14,23
13,13,1989-11-25,@,CLE,W,85,75,39,97,.402,2,6,.333,5,6,.833,21,63,21,4,5,11,17,,32,92,.348,2,11,.182,9,16,.563,15,51,19,5,8,5,11
14,14,1989-11-28,,LAL,W,110,104,45,91,.495,1,5,.200,19,29,.655,15,43,33,15,8,13,19,,41,91,.451,7,18,.389,15,19,.789,19,49,24,8,3,25,25
15,15,1989-11-30,,CHH,W,113,101,48,76,.632,0,2,.000,17,24,.708,10,48,35,10,1,28,25,,35,85,.412,3,8,.375,28,37,.757,12,31,21,24,0,14,22
