,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,@,ATL,W,126,103,47,87,.540,0,3,.000,32,38,.842,14,52,32,7,6,13,25,,42,94,.447,1,6,.167,18,38,.474,21,46,16,8,2,18,29
2,2,1989-11-04,,CLE,W,106,98,42,83,.506,1,2,.500,21,26,.808,11,46,28,10,5,18,22,,41,90,.456,0,6,.000,16,22,.727,14,45,23,8,6,19,27
3,3,1989-11-08,,DET,W,95,74,37,68,.544,0,4,.000,21,29,.724,11,46,24,11,3,23,23,,31,90,.344,1,4,.250,11,19,.579,23,44,13,12,2,19,25
4,4,1989-11-10,,MIA,W,102,98,36,79,.456,2,6,.333,28,33,.848,9,40,29,6,2,17,19,,40,88,.455,1,7,.143,17,18,.944,9,38,24,10,3,16,26
5,5,1989-11-15,@,LAL,L,94,117,41,84,.488,2,7,.286,10,15,.667,3,36,22,6,10,23,23,,46,108,.426,2,10,.200,23,30,.767,19,55,32,9,6,13,18
6,6,1989-11-17,@,UTA,L,100,114,32,69,.464,2,8,.250,34,40,.850,7,28,17,13,7,23,20,,45,89,.506,5,8,.625,19,32,.594,15,46,30,15,2,21,32
7,7,1989-11-18,@,SAC,L,102,107,39,82,.476,1,6,.167,23,26,.885,10,49,24,5,6,21,26,,39,94,.415,6,13,.462,23,30,.767,14,42,28,12,1,10,24
8,8,1989-11-21,,BOS,W,119,111,46,88,.523,4,11,.364,23,29,.793,6,43,29,3,6,6,23,,46,102,.451,0,3,.000,19,25,.760,18,52,28,2,5,10,21
9,9,1989-11-24,@,BOS,W,118,111,45,91,.495,4,7,.571,24,30,.800,16,51,30,9,4,12,28,,43,95,.453,0,4,.000,25,33,.758,18,49,25,7,6,11,27
10,10,1989-11-25,,PHI,L,103,111,33,66,.500,4,13,.308,33,34,.971,10,40,23,1,5,19,23,,43,89,.483,3,9,.333,22,25,.880,12,33,17,13,0,5,24
11,11,1989-11-27,@,MIL,W,101,97,35,74,.473,2,4,.500,29,35,.829,10,44,20,6,4,22,22,,41,93,.441,3,10,.300,12,13,.923,13,34,22,9,4,14,28
12,12,1989-11-29,,UTA,W,100,88,39,73,.534,2,4,.500,20,22,.909,6,41,28,13,5,18,22,,35,73,.479,2,5,.400,16,27,.593,10,38,23,9,2,19,17
13,13,1989-12-01,,ORL,W,125,110,47,89,.528,4,9,.444,27,36,.750,15,50,30,7,10,19,24,,44,101,.436,0,5,.000,22,31,.710,19,49,18,9,5,16,28
14,14,1989-12-06,,DEN,W,136,117,54,89,.607,2,6,.333,26,31,.839,11,49,33,5,5,19,23,,48,107,.449,5,16,.313,16,27,.593,18,44,27,11,3,11,29
15,15,1989-12-08,,CHI,W,106,104,39,80,.488,3,8,.375,25,35,.714,19,47,17,6,2,17,15,,45,85,.529,3,8,.375,11,17,.647,13,37,24,9,3,14,25
16,16,1989-12-09,@,DET,L,93,121,31,81,.383,1,4,.250,30,36,.833,11,28,20,9,0,14,18,,54,84,.643,0,3,.000,13,15,.867,9,42,28,11,5,19,24
17,17,1989-12-12,,MIN,W,113,112,35,68,.515,2,4,.500,41,49,.837,9,31,18,4,4,19,23,,46,90,.511,1,5,.200,19,25,.760,19,41,27,9,4,17,35
18,18,1989-12-14,@,NJN,W,102,78,40,85,.471,1,4,.250,21,21,1.000,10,41,21,8,7,13,20,,30,89,.337,0,9,.000,18,23,.783,17,47,9,7,8,21,21
19,19,1989-12-15,,MIL,L,98,103,38,80,.475,4,11,.364,18,19,.947,8,37,26,7,9,17,19,,43,86,.500,0,3,.000,17,24,.708,13,40,21,12,4,13,19
20,20,1989-12-17,@,POR,L,113,121,45,82,.549,7,12,.583,16,20,.800,6,28,35,8,3,17,26,,49,83,.590,1,3,.333,22,34,.647,9,39,31,9,7,15,23
21,21,1989-12-19,@,LAC,L,102,128,38,87,.437,1,8,.125,25,28,.893,18,37,23,11,2,20,28,,48,80,.600,3,6,.500,29,37,.784,11,37,34,12,7,18,22
22,22,1989-12-20,@,PHO,W,131,130,57,102,.559,4,9,.444,13,19,.684,10,37,29,8,4,19,31,,52,93,.559,4,7,.571,22,31,.710,10,42,37,10,4,22,22
23,23,1989-12-22,@,GSW,L,124,150,46,91,.505,4,8,.500,28,37,.757,12,38,30,6,3,22,30,,58,104,.558,4,8,.500,30,35,.857,11,43,38,12,5,12,28
24,24,1989-12-23,@,SEA,W,98,95,38,67,.567,5,6,.833,17,21,.810,4,33,19,3,5,22,19,,42,92,.457,0,6,.000,11,18,.611,14,40,19,9,4,10,22
25,25,1989-12-26,,ORL,W,98,90,39,94,.415,2,5,.400,18,22,.818,20,53,22,6,5,11,16,,39,85,.459,1,1,1.000,11,17,.647,13,49,15,5,3,17,23
26,26,1989-12-27,@,ORL,W,106,101,44,88,.500,2,4,.500,16,21,.762,20,41,32,7,6,17,18,,43,84,.512,0,4,.000,15,23,.652,15,36,30,10,0,18,23
27,27,1989-12-29,,HOU,W,103,97,41,74,.554,1,7,.143,20,24,.833,13,32,26,8,3,19,19,,40,91,.440,3,10,.300,14,21,.667,24,42,13,13,2,14,20
28,28,1989-12-30,,ATL,W,105,98,40,71,.563,1,1,1.000,24,28,.857,6,31,28,4,1,14,14,,39,72,.542,3,6,.500,17,22,.773,6,25,20,10,3,13,22
29,29,1990-01-02,@,DAL,L,106,110,41,95,.432,6,12,.500,18,26,.692,20,48,25,8,2,11,26,,40,76,.526,1,3,.333,29,34,.853,9,45,20,7,3,12,28
30,30,1990-01-03,@,HOU,L,103,117,41,92,.446,2,12,.167,19,24,.792,13,40,17,12,7,17,25,,47,90,.522,3,5,.600,20,28,.714,17,53,27,11,7,20,20
31,31,1990-01-05,@,DET,L,99,122,34,83,.410,2,10,.200,29,34,.853,16,49,18,6,1,23,32,,48,91,.527,1,7,.143,25,35,.714,10,40,29,12,4,10,24
32,32,1990-01-06,@,CHH,L,111,117,44,90,.489,2,6,.333,21,27,.778,14,53,19,3,4,16,18,,51,101,.505,3,9,.333,12,23,.522,15,45,33,14,7,7,20
