,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,@,POR,L,96,114,35,84,.417,2,14,.143,24,30,.800,9,31,18,10,6,15,16,,51,100,.510,1,4,.250,11,14,.786,18,54,32,6,6,22,27
2,2,1989-11-04,,SEA,W,107,100,37,82,.451,5,11,.455,28,31,.903,13,39,25,10,6,14,20,,39,93,.419,5,14,.357,17,20,.850,19,49,17,8,8,18,25
3,3,1989-11-07,,DAL,W,96,94,39,93,.419,2,12,.167,16,20,.800,14,41,21,12,1,10,27,,28,75,.373,1,3,.333,37,47,.787,21,57,15,5,8,24,20
4,4,1989-11-08,@,DEN,L,84,102,31,75,.413,2,8,.250,20,29,.690,9,43,10,6,8,29,21,,46,107,.430,1,6,.167,9,15,.600,20,54,27,16,3,17,27
5,5,1989-11-10,@,PHO,L,109,130,47,98,.480,4,7,.571,11,20,.550,14,44,29,6,4,18,29,,52,90,.578,1,2,.500,25,39,.641,12,53,35,8,4,12,21
6,6,1989-11-14,,CHI,L,94,96,41,91,.451,1,8,.125,11,15,.733,7,45,21,8,2,11,20,,40,99,.404,2,6,.333,14,22,.636,22,61,20,8,5,16,19
7,7,1989-11-16,,NYK,L,102,121,40,90,.444,2,11,.182,20,29,.690,11,37,22,11,8,17,17,,51,104,.490,7,12,.583,12,14,.857,21,55,28,10,5,20,20
8,8,1989-11-18,,IND,W,107,102,39,94,.415,6,13,.462,23,30,.767,14,42,28,12,1,10,24,,39,82,.476,1,6,.167,23,26,.885,10,49,24,5,6,21,26
9,9,1989-11-21,,ORL,L,113,115,46,96,.479,5,12,.417,16,19,.842,12,41,29,7,6,13,20,,44,88,.500,0,1,.000,27,33,.818,13,47,18,8,5,14,18
10,10,1989-11-22,@,GSW,L,109,133,41,89,.461,1,6,.167,26,33,.788,10,43,27,6,1,13,25,,51,97,.526,7,11,.636,24,29,.828,11,49,33,9,3,11,23
11,11,1989-11-25,,NJN,W,112,98,46,83,.554,0,4,.000,20,28,.714,12,47,17,9,9,16,17,,40,107,.374,4,13,.308,14,18,.778,24,49,20,13,1,14,21
12,12,1989-11-28,,DET,L,81,93,31,83,.373,4,10,.400,15,24,.625,10,45,22,5,7,17,22,,36,84,.429,0,2,.000,21,26,.808,9,47,25,10,9,13,19
13,13,1989-11-30,,LAL,L,93,109,37,90,.411,4,9,.444,15,20,.750,9,44,20,5,4,16,21,,44,88,.500,3,7,.429,18,28,.643,8,47,31,9,6,14,19
14,14,1989-12-02,@,LAC,L,84,114,33,87,.379,3,9,.333,15,19,.789,16,40,14,7,3,17,24,,46,81,.568,1,1,1.000,21,29,.724,12,44,31,9,3,13,18
15,15,1989-12-05,,MIL,W,118,103,46,83,.554,2,12,.167,24,33,.727,11,40,33,4,7,16,20,,39,88,.443,5,12,.417,20,28,.714,13,34,25,9,5,14,25
16,16,1989-12-08,@,GSW,W,126,121,47,102,.461,6,11,.545,26,31,.839,15,42,27,4,2,7,25,,48,93,.516,0,9,.000,25,35,.714,12,47,32,3,7,11,26
17,17,1989-12-09,,CLE,L,101,108,40,86,.465,2,15,.133,19,23,.826,11,39,23,6,3,9,26,,40,83,.482,3,9,.333,25,31,.806,12,46,22,4,5,13,19
18,18,1989-12-12,,GSW,L,103,118,45,104,.433,4,12,.333,9,16,.563,22,49,26,13,3,20,23,,46,93,.495,5,15,.333,21,23,.913,15,48,26,10,7,20,21
19,19,1989-12-15,@,DEN,L,112,121,45,89,.506,1,5,.200,21,24,.875,8,40,26,7,10,18,28,,48,98,.490,2,10,.200,23,26,.885,14,45,32,8,0,10,24
20,20,1989-12-17,,PHO,L,113,125,45,95,.474,3,16,.188,20,27,.741,14,35,24,8,3,12,21,,48,94,.511,3,8,.375,26,29,.897,22,56,27,10,3,15,24
21,21,1989-12-19,@,ATL,L,112,115,44,84,.524,4,11,.364,20,22,.909,8,31,25,5,5,8,26,,46,91,.505,0,4,.000,23,32,.719,20,50,24,7,1,13,22
22,22,1989-12-20,@,SAS,L,100,103,41,84,.488,4,8,.500,14,16,.875,10,41,28,5,2,13,22,,39,83,.470,2,4,.500,23,28,.821,10,37,26,9,3,11,15
23,23,1989-12-22,@,HOU,L,92,103,42,97,.433,0,6,.000,8,12,.667,17,50,23,10,6,17,28,,34,76,.447,3,7,.429,32,43,.744,11,49,27,11,8,19,13
24,24,1989-12-23,@,DAL,L,95,102,40,84,.476,2,8,.250,13,19,.684,13,37,17,4,6,12,30,,36,81,.444,0,3,.000,30,42,.714,17,45,15,8,4,9,17
25,25,1989-12-26,@,LAL,L,102,104,44,88,.500,5,12,.417,9,17,.529,9,35,30,12,4,12,14,,44,83,.530,3,9,.333,13,17,.765,7,40,31,9,5,18,16
