,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,,HOU,W,102,88,45,90,.500,0,2,.000,12,22,.545,14,38,30,17,4,19,22,,33,74,.446,1,4,.250,21,28,.750,10,36,16,11,5,25,27
2,2,1989-11-07,@,GSW,L,94,118,36,90,.400,0,3,.000,22,34,.647,20,38,17,20,9,27,27,,44,75,.587,3,6,.500,27,30,.900,10,36,24,15,5,32,26
3,3,1989-11-08,,DAL,L,99,123,37,82,.451,1,3,.333,24,34,.706,10,35,23,8,3,24,21,,48,80,.600,1,4,.250,26,30,.867,11,43,27,8,1,16,26
4,4,1989-11-11,,NYK,L,111,112,41,96,.427,0,1,.000,29,34,.853,20,39,22,13,6,12,30,,42,79,.532,5,11,.455,23,38,.605,18,45,20,8,9,26,32
5,5,1989-11-14,,DEN,W,129,121,50,94,.532,0,1,.000,29,41,.707,14,50,31,9,6,14,25,,44,95,.463,4,11,.364,29,31,.935,12,45,30,10,5,18,30
6,6,1989-11-16,@,HOU,L,82,94,34,74,.459,0,0,,14,22,.636,8,39,20,8,3,19,21,,41,94,.436,0,7,.000,12,15,.800,20,55,31,10,9,15,23
7,7,1989-11-17,@,DAL,L,105,122,40,81,.494,0,2,.000,25,33,.758,10,35,16,7,2,17,28,,46,81,.568,0,2,.000,30,38,.789,10,42,24,6,5,16,25
8,8,1989-11-22,,NJN,W,106,97,43,89,.483,1,1,1.000,19,25,.760,18,46,25,11,8,14,16,,38,87,.437,3,7,.429,18,19,.947,15,44,19,9,5,15,21
9,9,1989-11-24,,SAS,L,89,90,33,84,.393,1,2,.500,22,29,.759,7,37,28,12,10,14,25,,33,88,.375,0,1,.000,24,28,.857,14,50,18,7,4,17,26
10,10,1989-11-26,,CHI,W,120,96,51,80,.638,1,1,1.000,17,22,.773,7,40,36,13,8,25,29,,36,83,.434,4,10,.400,20,27,.741,11,31,17,12,5,23,22
11,11,1989-11-28,@,POR,L,94,116,31,66,.470,0,2,.000,32,45,.711,5,37,21,11,8,26,24,,47,100,.470,1,2,.500,21,28,.750,24,55,30,11,3,19,28
12,12,1989-11-29,,MIL,L,103,117,40,71,.563,0,0,,23,26,.885,9,31,32,7,11,22,19,,49,92,.533,4,10,.400,15,19,.789,14,33,32,17,4,11,21
13,13,1989-12-01,@,PHO,L,90,111,39,91,.429,0,0,,12,16,.750,15,40,19,10,5,15,28,,45,91,.495,0,5,.000,21,31,.677,20,57,29,5,6,17,15
14,14,1989-12-02,,SAC,W,114,84,46,81,.568,1,1,1.000,21,29,.724,12,44,31,9,3,13,18,,33,87,.379,3,9,.333,15,19,.789,16,40,14,7,3,17,24
15,15,1989-12-05,@,LAL,L,103,111,44,76,.579,0,2,.000,15,28,.536,7,39,30,10,3,25,32,,41,81,.506,3,13,.231,26,36,.722,8,34,29,12,4,15,21
16,16,1989-12-07,,CLE,W,105,88,43,86,.500,2,5,.400,17,29,.586,17,53,31,12,11,17,22,,34,93,.366,3,10,.300,17,24,.708,18,47,24,11,5,16,23
17,17,1989-12-09,@,SEA,L,100,104,38,87,.437,3,8,.375,21,28,.750,17,36,11,16,4,24,25,,35,81,.432,2,6,.333,32,34,.941,20,47,15,16,7,26,21
18,18,1989-12-12,@,POR,L,92,99,34,75,.453,0,7,.000,24,34,.706,15,34,19,12,5,23,27,,33,79,.418,0,5,.000,33,41,.805,22,46,15,9,0,25,29
19,19,1989-12-13,,DET,W,83,79,32,75,.427,1,3,.333,18,29,.621,16,49,21,4,10,20,29,,28,91,.308,3,10,.300,20,29,.690,21,43,12,11,6,11,27
20,20,1989-12-16,,DEN,W,114,108,50,98,.510,0,2,.000,14,21,.667,20,51,33,8,10,17,21,,45,93,.484,3,12,.250,15,22,.682,14,42,27,7,6,13,21
21,21,1989-12-19,,IND,W,128,102,48,80,.600,3,6,.500,29,37,.784,11,37,34,12,7,18,22,,38,87,.437,1,8,.125,25,28,.893,18,37,23,11,2,20,28
22,22,1989-12-22,@,DAL,L,92,101,35,81,.432,0,5,.000,22,30,.733,10,33,12,10,3,10,23,,39,72,.542,2,2,1.000,21,24,.875,9,43,19,5,4,16,20
23,23,1989-12-23,@,PHO,L,100,104,39,89,.438,2,5,.400,20,23,.870,19,45,20,14,2,19,25,,39,83,.470,2,11,.182,24,30,.800,16,44,24,6,6,20,20
24,24,1989-12-26,,BOS,L,111,112,42,82,.512,0,2,.000,27,35,.771,9,31,29,10,2,11,23,,43,87,.494,1,4,.250,25,30,.833,16,45,28,5,4,17,25
25,25,1989-12-28,,GSW,W,139,119,60,100,.600,1,4,.250,18,26,.692,13,44,45,12,5,17,23,,43,93,.462,3,5,.600,30,36,.833,13,40,18,8,2,18,18
26,26,1989-12-30,,PHI,L,95,100,39,80,.488,2,6,.333,15,19,.789,11,37,22,11,11,18,23,,36,78,.462,0,3,.000,28,33,.848,14,45,26,5,3,19,19
27,27,1990-01-02,@,MIN,W,87,79,36,76,.474,0,2,.000,15,20,.750,9,36,22,11,7,18,13,,32,85,.376,0,8,.000,15,17,.882,14,42,21,11,2,19,21
28,28,1990-01-03,@,DET,L,80,84,34,91,.374,2,9,.222,10,10,1.000,18,52,18,4,4,16,28,,31,81,.383,2,8,.250,20,30,.667,15,46,23,6,8,12,18
