,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,@,DAL,W,102,94,43,92,.467,2,10,.200,14,22,.636,19,50,26,9,10,19,21,,35,84,.417,1,4,.250,23,28,.821,16,47,19,10,7,18,22
2,2,1989-11-04,@,SAS,L,98,106,33,86,.384,6,18,.333,26,35,.743,13,39,19,12,8,15,28,,36,84,.429,0,1,.000,34,42,.810,21,58,20,10,7,20,29
3,3,1989-11-07,,PHO,W,111,107,45,95,.474,5,10,.500,16,25,.640,14,48,27,11,7,21,18,,44,93,.473,0,3,.000,19,25,.760,15,46,23,14,3,19,24
4,4,1989-11-09,@,GSW,W,106,95,35,97,.361,1,13,.077,35,38,.921,28,69,20,7,5,18,28,,32,78,.410,2,8,.250,29,40,.725,7,34,16,5,7,14,27
5,5,1989-11-10,,CHH,W,106,100,41,76,.539,3,9,.333,21,28,.750,8,43,30,9,11,22,19,,38,90,.422,4,8,.500,20,23,.870,13,38,28,15,5,17,23
6,6,1989-11-12,,DAL,W,107,98,42,91,.462,4,10,.400,19,23,.826,16,39,26,12,4,12,16,,42,85,.494,0,1,.000,14,18,.778,13,41,19,7,4,19,22
7,7,1989-11-15,,IND,W,117,94,46,108,.426,2,10,.200,23,30,.767,19,55,32,9,6,13,18,,41,84,.488,2,7,.286,10,15,.667,3,36,22,6,10,23,23
8,8,1989-11-17,,DEN,W,119,105,46,88,.523,3,9,.333,24,33,.727,14,50,33,11,8,14,22,,40,97,.412,2,7,.286,23,31,.742,21,45,15,10,7,17,29
9,9,1989-11-19,,WSB,W,120,115,44,90,.489,4,8,.500,28,34,.824,18,48,26,2,5,12,14,,50,99,.505,1,6,.167,14,16,.875,9,39,28,7,7,8,25
10,10,1989-11-25,@,UTA,W,92,86,36,76,.474,4,6,.667,16,20,.800,10,34,20,6,5,15,21,,34,72,.472,2,7,.286,16,22,.727,11,36,16,6,6,16,19
11,11,1989-11-26,,SAS,W,132,112,44,77,.571,4,8,.500,40,47,.851,13,34,32,10,7,20,28,,43,80,.538,1,1,1.000,25,35,.714,15,34,31,11,3,23,42
12,12,1989-11-28,@,HOU,L,104,110,41,91,.451,7,18,.389,15,19,.789,19,49,24,8,3,25,25,,45,91,.495,1,5,.200,19,29,.655,15,43,33,15,8,13,19
13,13,1989-11-30,@,SAC,W,109,93,44,88,.500,3,7,.429,18,28,.643,8,47,31,9,6,14,19,,37,90,.411,4,9,.444,15,20,.750,9,44,20,5,4,16,21
14,14,1989-12-01,,DET,L,97,108,30,73,.411,2,8,.250,35,41,.854,10,34,19,4,3,15,30,,41,87,.471,0,3,.000,26,30,.867,18,45,27,4,4,15,29
15,15,1989-12-03,,NYK,W,115,104,45,88,.511,3,8,.375,22,30,.733,19,47,29,7,9,19,22,,39,92,.424,3,12,.250,23,28,.821,17,39,31,12,6,15,24
16,16,1989-12-05,,LAC,W,111,103,41,81,.506,3,13,.231,26,36,.722,8,34,29,12,4,15,21,,44,76,.579,0,2,.000,15,28,.536,7,39,30,10,3,25,32
17,17,1989-12-07,,PHO,W,100,96,37,90,.411,4,12,.333,22,32,.688,21,54,23,5,7,14,18,,40,92,.435,2,5,.400,14,19,.737,14,41,20,7,6,10,26
18,18,1989-12-09,@,WSB,L,101,103,46,92,.500,0,7,.000,9,10,.900,12,39,25,10,3,16,22,,45,83,.542,0,0,,13,18,.722,8,37,27,6,6,18,14
19,19,1989-12-10,@,ORL,L,103,108,35,89,.393,1,9,.111,32,39,.821,17,44,18,5,6,14,22,,42,90,.467,0,1,.000,24,32,.750,16,45,26,9,6,15,27
20,20,1989-12-12,@,CHH,W,103,89,44,82,.537,1,3,.333,14,16,.875,13,53,22,3,4,21,18,,36,92,.391,5,12,.417,12,17,.706,15,34,22,8,2,8,19
