,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,,NJN,L,90,110,35,93,.376,1,4,.250,19,32,.594,19,51,19,7,8,16,26,,38,86,.442,1,6,.167,33,37,.892,10,50,20,7,10,14,25
2,2,1989-11-04,@,NYK,L,99,119,40,92,.435,1,1,1.000,18,28,.643,18,38,25,11,5,21,29,,42,88,.477,3,12,.250,32,35,.914,18,47,26,12,6,26,22
3,3,1989-11-07,@,NJN,W,83,77,35,79,.443,0,3,.000,13,30,.433,16,53,13,8,12,25,24,,29,94,.309,0,8,.000,19,27,.704,18,45,10,12,13,19,22
4,4,1989-11-08,@,PHI,L,91,115,39,89,.438,1,5,.200,12,21,.571,16,44,25,11,1,26,30,,39,77,.506,1,2,.500,36,44,.818,8,39,29,15,10,22,19
5,5,1989-11-10,@,IND,L,98,102,40,88,.455,1,7,.143,17,18,.944,9,38,24,10,3,16,26,,36,79,.456,2,6,.333,28,33,.848,9,40,29,6,2,17,19
6,6,1989-11-11,,DET,W,88,84,30,70,.429,0,2,.000,28,39,.718,11,42,17,6,4,12,25,,35,86,.407,0,1,.000,14,26,.538,19,43,19,3,7,12,27
7,7,1989-11-14,,HOU,W,101,99,41,83,.494,1,3,.333,18,28,.643,10,39,26,13,4,24,25,,37,80,.463,3,9,.333,22,31,.710,14,44,13,12,9,29,22
8,8,1989-11-15,@,DET,L,94,130,35,89,.393,1,10,.100,23,27,.852,15,36,13,5,5,17,30,,50,94,.532,0,1,.000,30,41,.732,19,50,28,8,4,9,23
9,9,1989-11-18,@,DAL,L,99,100,41,85,.482,4,6,.667,13,17,.765,12,43,28,9,3,22,28,,36,80,.450,2,6,.333,26,35,.743,10,36,25,13,4,14,19
10,10,1989-11-19,@,HOU,L,94,132,38,89,.427,0,2,.000,18,29,.621,22,44,21,8,5,28,30,,51,88,.580,1,4,.250,29,33,.879,16,45,33,15,9,18,24
11,11,1989-11-21,@,CHH,W,98,87,39,81,.481,0,1,.000,20,32,.625,15,51,16,7,3,20,25,,34,84,.405,2,5,.400,17,27,.630,13,39,19,14,4,16,27
12,12,1989-11-22,,PHI,L,103,113,41,103,.398,0,3,.000,21,35,.600,31,59,19,7,4,16,28,,44,87,.506,0,1,.000,25,33,.758,12,44,18,8,1,13,31
13,13,1989-11-24,,ATL,L,87,103,36,84,.429,0,1,.000,15,23,.652,13,41,21,8,5,20,25,,41,78,.526,0,3,.000,21,30,.700,9,39,18,12,13,19,20
14,14,1989-11-25,@,WSB,L,88,107,34,88,.386,0,2,.000,20,25,.800,13,35,16,5,3,15,20,,45,92,.489,0,0,,17,21,.810,22,61,19,7,5,15,26
15,15,1989-11-28,@,ORL,L,99,104,43,98,.439,1,9,.111,12,25,.480,19,51,27,8,3,19,36,,35,81,.432,0,0,,34,54,.630,14,44,27,12,5,19,24
16,16,1989-11-29,,MIN,L,100,105,41,85,.482,0,5,.000,18,24,.750,18,34,20,5,6,12,19,,41,76,.539,0,2,.000,23,29,.793,10,30,23,8,9,13,26
17,17,1989-12-01,@,NJN,L,77,101,32,88,.364,1,2,.500,12,17,.706,20,46,13,16,3,29,35,,32,76,.421,2,6,.333,35,49,.714,14,46,7,15,8,24,19
18,18,1989-12-02,,CHI,L,107,114,44,99,.444,1,1,1.000,18,26,.692,17,46,24,12,4,17,27,,42,79,.532,2,4,.500,28,32,.875,9,45,20,9,7,22,28
19,19,1989-12-05,,POR,L,107,113,40,91,.440,2,9,.222,25,31,.806,14,31,20,13,2,21,27,,40,79,.506,1,3,.333,32,40,.800,19,48,26,14,4,28,28
20,20,1989-12-06,@,PHI,L,98,121,43,97,.443,1,1,1.000,11,14,.786,16,39,28,12,2,17,27,,45,83,.542,2,5,.400,29,39,.744,16,51,29,9,6,19,14
21,21,1989-12-08,,ORL,W,122,114,50,101,.495,0,3,.000,22,28,.786,16,45,22,16,10,14,33,,39,89,.438,2,5,.400,34,47,.723,20,49,22,7,5,22,25
