,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,@,BOS,L,114,127,35,83,.422,5,11,.455,39,43,.907,8,28,21,13,4,9,31,,49,81,.605,1,3,.333,28,39,.718,11,44,37,5,5,16,27
2,2,1989-11-04,@,PHI,W,102,96,38,81,.469,3,8,.375,23,28,.821,15,38,26,12,5,18,32,,34,75,.453,2,6,.333,26,39,.667,17,42,21,5,8,22,20
3,3,1989-11-07,,BOS,W,106,100,43,86,.500,1,3,.333,19,22,.864,7,44,23,7,3,14,28,,37,85,.435,0,4,.000,26,32,.813,12,46,20,9,4,17,24
4,4,1989-11-09,,SEA,W,155,154,56,111,.505,4,8,.500,39,49,.796,10,51,31,13,6,22,39,,52,117,.444,4,10,.400,46,60,.767,22,52,26,10,8,25,39
5,5,1989-11-11,,PHI,L,96,104,40,84,.476,3,17,.176,13,13,1.000,16,39,22,13,0,17,28,,38,70,.543,3,5,.600,25,31,.806,10,35,19,8,2,22,19
6,6,1989-11-14,,SAS,W,108,97,39,82,.476,7,14,.500,23,29,.793,15,40,28,7,1,19,24,,34,72,.472,0,0,,29,34,.853,6,32,20,9,7,17,20
7,7,1989-11-16,,ORL,W,132,113,59,100,.590,3,7,.429,11,14,.786,8,32,35,18,3,20,28,,40,84,.476,3,8,.375,30,37,.811,16,47,25,10,0,37,20
8,8,1989-11-17,@,DET,L,79,106,30,83,.361,3,10,.300,16,19,.842,10,25,19,7,1,15,29,,43,76,.566,2,5,.400,18,27,.667,19,53,29,5,9,22,25
9,9,1989-11-21,@,WSB,L,91,97,35,95,.368,1,4,.250,20,28,.714,20,47,18,14,4,11,27,,40,76,.526,0,0,,17,27,.630,8,43,25,3,9,20,22
10,10,1989-11-22,,ATL,W,118,100,44,81,.543,4,8,.500,26,34,.765,12,39,31,14,4,14,20,,41,87,.471,3,5,.600,15,20,.750,17,36,24,10,1,19,26
11,11,1989-11-25,@,NYK,L,108,125,44,93,.473,2,6,.333,18,30,.600,13,39,24,14,2,20,30,,41,79,.519,2,6,.333,41,48,.854,13,47,33,11,7,22,24
12,12,1989-11-27,,IND,L,97,101,41,93,.441,3,10,.300,12,13,.923,13,34,22,9,4,14,28,,35,74,.473,2,4,.500,29,35,.829,10,44,20,6,4,22,22
13,13,1989-11-29,@,LAC,W,117,103,49,92,.533,4,10,.400,15,19,.789,14,33,32,17,4,11,21,,40,71,.563,0,0,,23,26,.885,9,31,32,7,11,22,19
