,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,@,SEA,L,94,106,36,81,.444,1,4,.250,21,27,.778,14,34,14,11,1,12,23,,40,75,.533,4,8,.500,22,29,.759,13,42,22,7,7,20,20
2,2,1989-11-05,@,POR,L,83,93,30,90,.333,1,10,.100,22,27,.815,17,39,18,6,1,12,34,,30,65,.462,0,3,.000,33,43,.767,7,37,17,5,7,17,24
3,3,1989-11-08,,CHI,L,84,96,32,86,.372,0,5,.000,20,30,.667,15,38,19,13,2,14,21,,36,78,.462,1,1,1.000,23,25,.920,11,41,11,6,2,18,25
4,4,1989-11-10,,PHI,W,125,118,46,90,.511,1,4,.250,32,39,.821,15,46,25,13,3,18,29,,40,91,.440,3,8,.375,35,40,.875,16,42,26,10,4,16,31
5,5,1989-11-12,,SEA,L,97,108,37,87,.425,1,3,.333,22,29,.759,20,36,19,10,3,9,19,,45,72,.625,3,4,.750,15,24,.625,13,40,31,4,7,18,21
6,6,1989-11-14,,GSW,W,101,98,37,88,.420,2,7,.286,25,28,.893,15,42,19,10,7,17,32,,30,75,.400,1,5,.200,37,44,.841,12,38,13,7,10,17,21
7,7,1989-11-15,,SAS,L,76,86,27,83,.325,1,6,.167,21,22,.955,18,41,19,12,4,17,19,,35,75,.467,0,0,,16,23,.696,15,48,20,7,7,21,21
8,8,1989-11-17,@,BOS,L,99,116,41,87,.471,1,3,.333,16,26,.615,13,38,28,10,4,13,26,,47,88,.534,0,2,.000,22,26,.846,13,46,32,8,9,16,23
9,9,1989-11-18,@,NYK,L,96,111,38,80,.475,2,5,.400,18,23,.783,12,35,25,3,0,11,19,,44,75,.587,4,6,.667,19,26,.731,9,39,31,8,9,13,22
10,10,1989-11-21,,UTA,L,101,103,38,80,.475,1,3,.333,24,30,.800,15,33,26,13,6,16,24,,39,70,.557,2,6,.333,23,30,.767,11,30,30,7,3,21,26
11,11,1989-11-22,,DEN,L,93,96,32,74,.432,1,4,.250,28,37,.757,18,48,18,8,2,14,26,,35,76,.461,0,4,.000,26,30,.867,10,36,20,6,0,12,28
12,12,1989-11-24,@,DAL,L,89,99,37,90,.411,0,3,.000,15,20,.750,25,43,17,8,4,11,24,,39,74,.527,1,3,.333,20,37,.541,17,43,26,6,6,13,19
13,13,1989-11-25,@,CHH,L,73,81,31,75,.413,0,3,.000,11,17,.647,9,41,23,8,2,13,24,,31,74,.419,1,4,.250,18,26,.692,12,45,19,8,2,14,15
14,14,1989-11-29,@,MIA,W,105,100,41,76,.539,0,2,.000,23,29,.793,10,30,23,8,9,13,26,,41,85,.482,0,5,.000,18,24,.750,18,34,20,5,6,12,19
15,15,1989-11-30,@,ORL,L,96,103,39,96,.406,0,1,.000,18,25,.720,13,46,30,10,3,16,28,,40,85,.471,1,1,1.000,22,27,.815,11,46,29,12,2,16,23
16,16,1989-12-02,@,CLE,W,101,74,39,80,.488,1,1,1.000,22,26,.846,13,42,20,17,5,14,20,,28,72,.389,4,7,.571,14,23,.609,11,36,11,9,8,21,22
17,17,1989-12-05,,NJN,W,92,90,35,67,.522,2,3,.667,20,29,.690,8,31,23,8,2,15,24,,33,80,.413,1,6,.167,23,29,.793,19,39,13,9,8,15,23
18,18,1989-12-09,@,ATL,L,91,104,36,85,.424,4,6,.667,15,23,.652,15,42,22,7,2,15,29,,34,77,.442,1,4,.250,35,38,.921,12,45,24,9,4,14,26
19,19,1989-12-12,@,IND,L,112,113,46,90,.511,1,5,.200,19,25,.760,19,41,27,9,4,17,35,,35,68,.515,2,4,.500,41,49,.837,9,31,18,4,4,19,23
20,20,1989-12-13,,DAL,L,87,90,32,84,.381,2,7,.286,21,28,.750,14,45,24,10,3,9,19,,36,79,.456,1,3,.333,17,24,.708,9,41,18,4,10,13,19
21,21,1989-12-15,,MIA,L,84,95,33,82,.402,1,5,.200,17,25,.680,13,33,20,13,6,19,20,,38,77,.494,0,1,.000,19,24,.792,14,47,19,10,5,20,20
22,22,1989-12-17,,UTA,L,112,122,36,79,.456,0,5,.000,40,49,.816,14,34,19,14,4,15,35,,35,58,.603,1,4,.250,51,58,.879,4,32,22,6,7,19,32
23,23,1989-12-19,@,WSB,L,99,112,37,82,.451,0,3,.000,25,35,.714,11,36,19,12,8,15,27,,44,89,.494,0,0,,24,30,.800,17,45,28,4,6,17,24
24,24,1989-12-20,,LAL,L,97,106,38,77,.494,2,9,.222,19,28,.679,9,40,29,5,4,14,30,,37,93,.398,0,2,.000,32,38,.842,25,53,19,5,4,9,19
25,25,1989-12-23,,MIL,L,90,94,32,72,.444,3,4,.750,23,30,.767,7,35,18,13,5,20,29,,35,85,.412,1,5,.200,23,38,.605,18,49,26,11,9,22,31
26,26,1989-12-26,@,CHI,L,99,112,40,72,.556,1,3,.333,18,27,.667,8,28,27,15,3,19,19,,45,76,.592,6,11,.545,16,22,.727,11,34,30,11,4,25,22
27,27,1989-12-27,,HOU,W,108,91,48,89,.539,2,4,.500,10,13,.769,16,43,37,8,3,16,19,,38,85,.447,1,4,.250,14,18,.778,18,36,27,7,4,19,15
28,28,1989-12-29,,PHO,L,101,118,44,97,.454,2,5,.400,11,15,.733,12,37,28,12,9,11,27,,48,95,.505,0,2,.000,22,30,.733,16,52,22,6,10,16,14
29,29,1989-12-30,@,MIL,L,99,109,37,80,.463,1,3,.333,24,31,.774,14,39,23,11,1,17,26,,39,82,.476,3,6,.500,28,34,.824,16,46,24,12,6,17,25
