,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,@,DET,L,103,106,41,83,.494,3,10,.300,18,26,.692,13,38,23,12,5,20,26,,37,79,.468,4,11,.364,28,35,.800,18,45,28,8,8,18,19
2,2,1989-11-04,,MIA,W,119,99,42,88,.477,3,12,.250,32,35,.914,18,47,26,12,6,26,22,,40,92,.435,1,1,1.000,18,28,.643,18,38,25,11,5,21,29
3,3,1989-11-06,@,ORL,L,110,118,46,105,.438,3,13,.231,15,19,.789,14,40,25,13,2,16,25,,47,93,.505,1,2,.500,23,30,.767,17,54,27,8,2,25,16
4,4,1989-11-09,,NJN,W,107,105,37,88,.420,3,7,.429,30,41,.732,16,47,22,11,7,20,22,,42,92,.457,1,9,.111,20,31,.645,14,45,25,10,6,19,29
5,5,1989-11-11,@,LAC,W,112,111,42,79,.532,5,11,.455,23,38,.605,18,45,20,8,9,26,32,,41,96,.427,0,1,.000,29,34,.853,20,39,22,13,6,12,30
6,6,1989-11-14,@,POR,L,117,118,44,86,.512,4,10,.400,25,36,.694,15,45,23,5,5,19,27,,47,91,.516,3,6,.500,21,38,.553,13,37,28,11,6,13,24
7,7,1989-11-16,@,SAC,W,121,102,51,104,.490,7,12,.583,12,14,.857,21,55,28,10,5,20,20,,40,90,.444,2,11,.182,20,29,.690,11,37,22,11,8,17,17
8,8,1989-11-18,,MIN,W,111,96,44,75,.587,4,6,.667,19,26,.731,9,39,31,8,9,13,22,,38,80,.475,2,5,.400,18,23,.783,12,35,25,3,0,11,19
9,9,1989-11-21,,HOU,W,114,106,38,94,.404,2,6,.333,36,45,.800,19,51,25,13,3,21,15,,45,94,.479,2,7,.286,14,15,.933,13,51,35,15,8,27,32
10,10,1989-11-22,@,CLE,L,85,97,34,81,.420,5,13,.385,12,17,.706,11,42,18,3,4,17,27,,36,94,.383,7,16,.438,18,24,.750,19,51,21,10,2,9,20
11,11,1989-11-25,,MIL,W,125,108,41,79,.519,2,6,.333,41,48,.854,13,47,33,11,7,22,24,,44,93,.473,2,6,.333,18,30,.600,13,39,24,14,2,20,30
12,12,1989-11-27,,CHH,W,119,108,45,89,.506,2,5,.400,27,31,.871,18,53,29,4,5,22,21,,44,95,.463,3,11,.273,17,23,.739,12,29,30,15,8,11,24
13,13,1989-11-29,@,GSW,W,129,111,46,99,.465,9,18,.500,28,35,.800,24,60,26,11,4,16,25,,45,89,.506,2,10,.200,19,23,.826,5,30,26,8,8,15,24
14,14,1989-11-30,@,SEA,L,122,127,46,90,.511,6,15,.400,24,27,.889,17,37,24,8,5,15,21,,50,87,.575,1,7,.143,26,30,.867,11,37,31,8,6,14,18
15,15,1989-12-02,@,PHO,W,122,112,45,85,.529,4,9,.444,28,35,.800,13,38,35,12,5,14,25,,45,93,.484,1,8,.125,21,30,.700,20,46,25,7,2,14,25
16,16,1989-12-03,@,LAL,L,104,115,39,92,.424,3,12,.250,23,28,.821,17,39,31,12,6,15,24,,45,88,.511,3,8,.375,22,30,.733,19,47,29,7,9,19,22
17,17,1989-12-05,,PHI,W,110,103,49,95,.516,3,9,.333,9,13,.692,17,49,32,7,4,18,24,,40,98,.408,0,4,.000,23,30,.767,25,51,15,5,4,10,17
18,18,1989-12-06,@,BOS,L,98,113,35,73,.479,5,10,.500,23,38,.605,7,36,28,12,5,15,21,,46,93,.495,1,8,.125,20,21,.952,17,49,35,10,0,17,25
19,19,1989-12-09,,BOS,W,124,92,45,89,.506,3,9,.333,31,43,.721,23,54,31,11,7,9,18,,38,89,.427,0,1,.000,16,17,.941,14,36,28,4,2,18,31
20,20,1989-12-15,@,ATL,W,113,109,52,98,.531,1,6,.167,8,20,.400,21,43,31,9,6,10,19,,47,86,.547,3,10,.300,12,17,.706,12,39,31,5,7,17,20
21,21,1989-12-16,,SEA,W,118,97,47,85,.553,1,7,.143,23,28,.821,13,50,31,15,8,19,14,,42,104,.404,2,12,.167,11,15,.733,19,42,20,9,3,20,22
22,22,1989-12-19,,UTA,W,115,107,45,81,.556,5,14,.357,20,28,.714,11,38,25,7,4,11,20,,47,79,.595,3,10,.300,10,19,.526,6,36,40,7,5,13,25
23,23,1989-12-22,@,WSB,W,122,112,44,87,.506,1,4,.250,33,39,.846,7,43,24,11,9,18,33,,40,102,.392,0,5,.000,32,40,.800,18,50,22,8,4,15,26
24,24,1989-12-23,,NJN,W,94,85,32,81,.395,2,6,.333,28,34,.824,18,52,20,12,5,23,18,,35,91,.385,0,2,.000,15,17,.882,17,45,14,9,1,18,25
25,25,1989-12-26,@,MIA,W,100,94,40,93,.430,1,9,.111,19,25,.760,18,46,11,11,9,20,21,,37,90,.411,0,3,.000,20,24,.833,17,45,15,8,6,20,23
26,26,1989-12-28,@,NJN,W,106,104,35,84,.417,2,6,.333,34,43,.791,18,44,16,12,7,16,20,,43,92,.467,3,6,.500,15,22,.682,17,42,13,10,6,17,29
27,27,1989-12-30,,ORL,W,113,107,49,97,.505,5,9,.556,10,22,.455,19,38,29,13,5,12,20,,46,84,.548,0,4,.000,15,27,.556,14,43,27,5,4,19,22
28,28,1990-01-02,,PHO,L,99,113,40,98,.408,4,17,.235,15,26,.577,18,43,26,3,5,10,23,,46,90,.511,0,4,.000,21,28,.750,16,57,23,6,4,12,22
29,29,1990-01-04,,ATL,W,100,95,44,87,.506,2,9,.222,10,18,.556,15,51,26,6,5,20,19,,41,95,.432,2,4,.500,11,18,.611,17,41,23,13,8,16,17
30,30,1990-01-06,@,DET,L,106,117,36,84,.429,3,6,.500,31,41,.756,19,41,17,7,5,11,28,,44,80,.550,0,3,.000,29,33,.879,10,32,29,3,2,11,29
31,31,1990-01-07,,LAC,W,110,109,45,95,.474,4,13,.308,16,28,.571,20,51,25,8,7,20,19,,47,97,.485,0,5,.000,15,20,.750,16,44,27,12,7,13,22
32,32,1990-01-09,,WSB,W,131,127,50,108,.463,2,6,.333,29,42,.690,27,51,29,11,2,13,12,,58,100,.580,0,2,.000,11,14,.786,12,46,42,6,5,20,34
33,33,1990-01-10,@,PHI,L,111,113,44,86,.512,5,12,.417,18,23,.783,9,38,30,11,4,17,20,,46,87,.529,2,6,.333,19,22,.864,10,37,30,11,5,18,17
34,34,1990-01-12,@,IND,W,101,96,37,83,.446,3,11,.273,24,33,.727,11,54,18,11,11,19,23,,36,97,.371,2,9,.222,22,24,.917,16,50,21,8,5,14,22
35,35,1990-01-13,,SAS,W,107,101,40,79,.506,5,11,.455,22,33,.667,13,44,23,10,4,17,22,,41,85,.482,0,4,.000,19,24,.792,12,38,27,8,5,15,24
36,36,1990-01-15,,CHI,W,109,106,45,82,.549,5,11,.455,14,18,.778,9,35,26,4,8,15,17,,45,89,.506,1,5,.200,15,20,.750,17,39,25,10,1,13,20
37,37,1990-01-17,@,SAS,L,97,101,39,78,.500,5,9,.556,14,20,.700,11,43,17,5,9,19,24,,37,92,.402,0,3,.000,27,35,.771,20,45,26,7,5,14,20
38,38,1990-01-19,@,DAL,L,103,117,40,79,.506,4,14,.286,19,26,.731,14,44,26,7,6,17,25,,45,85,.529,7,10,.700,20,27,.741,13,40,27,6,9,11,20
39,39,1990-01-21,@,CHI,L,109,117,37,79,.468,3,10,.300,32,43,.744,19,40,27,9,8,21,32,,39,80,.488,5,8,.625,34,45,.756,16,40,27,11,5,13,26
40,40,1990-01-23,,LAL,L,97,118,39,89,.438,0,6,.000,19,26,.731,16,37,22,6,2,8,21,,49,84,.583,5,7,.714,15,18,.833,16,50,35,8,6,13,22
41,41,1990-01-25,@,UTA,L,89,115,35,81,.432,1,5,.200,18,30,.600,20,44,26,2,5,25,32,,40,83,.482,4,9,.444,31,36,.861,12,41,26,14,10,12,23
42,42,1990-01-27,@,DEN,W,110,96,46,87,.529,4,11,.364,14,17,.824,15,50,28,6,7,21,26,,36,88,.409,4,15,.267,20,22,.909,10,32,24,9,6,16,22
43,43,1990-01-31,@,BOS,L,91,97,34,80,.425,3,11,.273,20,31,.645,19,45,19,13,10,19,22,,36,82,.439,1,5,.200,24,27,.889,15,43,27,12,7,18,18
44,44,1990-02-01,,SAC,W,96,89,35,70,.500,1,5,.200,25,26,.962,8,43,25,8,7,20,19,,37,82,.451,2,5,.400,13,20,.650,9,31,25,10,2,17,21
45,45,1990-02-03,,IND,W,112,98,36,77,.468,2,5,.400,38,46,.826,20,51,25,7,4,21,25,,39,79,.494,5,16,.313,15,25,.600,10,33,25,9,4,20,31
46,46,1990-02-05,,MIA,W,116,107,50,86,.581,2,2,1.000,14,21,.667,8,41,37,11,11,23,22,,46,105,.438,1,2,.500,14,24,.583,24,49,26,10,3,14,19
47,47,1990-02-06,@,ORL,W,117,110,45,90,.500,4,8,.500,23,32,.719,12,40,21,10,11,14,23,,44,99,.444,0,3,.000,22,30,.733,20,50,19,8,3,18,26
48,48,1990-02-08,,GSW,W,122,118,47,94,.500,3,9,.333,25,33,.758,17,61,28,7,9,18,24,,43,101,.426,1,10,.100,31,35,.886,15,45,27,13,9,13,23
49,49,1990-02-13,@,ATL,W,114,109,45,86,.523,1,4,.250,23,27,.852,16,39,32,8,6,17,24,,45,93,.484,3,7,.429,16,26,.615,20,40,24,11,9,14,20
50,50,1990-02-15,@,HOU,L,105,124,45,100,.450,2,7,.286,13,24,.542,15,42,28,4,8,14,23,,49,105,.467,2,5,.400,24,33,.727,29,70,26,6,10,17,23
51,51,1990-02-17,,CLE,W,119,108,47,88,.534,1,4,.250,24,33,.727,19,54,32,9,6,21,21,,44,95,.463,8,18,.444,12,15,.800,12,36,24,8,2,14,26
52,52,1990-02-22,@,WSB,W,119,110,50,103,.485,0,6,.000,19,24,.792,25,53,34,5,5,16,18,,47,104,.452,1,5,.200,15,18,.833,18,43,34,8,12,11,23
53,53,1990-02-23,@,MIA,L,121,128,41,97,.423,6,13,.462,33,47,.702,18,42,23,9,2,11,19,,53,85,.624,1,1,1.000,21,27,.778,9,46,34,9,8,15,32
54,54,1990-02-25,,DET,L,87,98,35,85,.412,2,11,.182,15,18,.833,20,53,26,3,5,21,23,,40,89,.449,1,3,.333,17,19,.895,12,37,25,9,2,6,20
55,55,1990-02-27,,DAL,W,110,87,45,85,.529,1,6,.167,19,24,.792,18,62,29,5,6,20,21,,34,90,.378,2,7,.286,17,24,.708,12,29,21,13,3,13,20
56,56,1990-03-01,,PHI,L,100,105,42,88,.477,5,14,.357,11,12,.917,12,46,26,4,7,11,22,,39,89,.438,3,11,.273,24,27,.889,12,44,20,6,4,8,14
57,57,1990-03-03,@,MIL,W,106,105,38,81,.469,2,6,.333,28,38,.737,13,38,25,7,5,18,24,,40,88,.455,2,11,.182,23,31,.742,13,34,19,10,4,16,30
58,58,1990-03-06,,POR,L,100,112,40,84,.476,2,9,.222,18,22,.818,12,39,27,8,4,21,24,,47,91,.516,3,8,.375,15,26,.577,16,44,29,8,4,18,23
59,59,1990-03-07,@,PHI,L,93,110,35,80,.438,2,11,.182,21,30,.700,12,44,27,8,4,14,19,,43,90,.478,7,10,.700,17,21,.810,14,48,25,10,4,10,21
60,60,1990-03-10,,NJN,W,110,91,47,73,.644,0,0,,16,22,.727,9,37,29,10,10,21,21,,34,87,.391,4,7,.571,19,25,.760,24,43,18,9,4,20,24
61,61,1990-03-11,@,MIA,W,106,90,41,78,.526,3,8,.375,21,26,.808,12,44,28,15,6,22,18,,39,90,.433,2,7,.286,10,18,.556,15,38,23,9,1,22,22
62,62,1990-03-13,,CHI,L,108,111,45,79,.570,2,9,.222,16,21,.762,5,32,30,8,10,15,21,,41,82,.500,6,9,.667,23,27,.852,9,39,25,7,5,16,19
63,63,1990-03-15,@,MIN,L,82,102,28,73,.384,0,9,.000,26,27,.963,7,31,18,7,4,13,20,,41,88,.466,1,3,.333,19,29,.655,19,49,27,5,9,11,20
64,64,1990-03-17,,MIL,L,111,123,45,85,.529,1,8,.125,20,26,.769,6,39,32,11,3,22,29,,49,94,.521,2,6,.333,23,32,.719,14,47,34,13,3,17,19
65,65,1990-03-20,,ORL,L,118,121,40,88,.455,5,9,.556,33,39,.846,9,49,28,3,9,11,32,,41,92,.446,2,4,.500,37,52,.712,14,47,26,8,6,7,26
66,66,1990-03-23,@,CHH,L,93,106,33,80,.413,0,12,.000,27,32,.844,16,41,19,6,2,16,23,,41,84,.488,4,5,.800,20,23,.870,12,39,30,9,2,16,26
67,67,1990-03-24,,BOS,L,110,115,41,90,.456,2,7,.286,26,31,.839,12,40,32,11,2,10,26,,44,85,.518,2,4,.500,25,29,.862,11,49,29,7,2,14,20
68,68,1990-03-27,,WSB,W,119,100,50,92,.543,3,7,.429,16,18,.889,10,53,35,5,6,17,17,,42,102,.412,0,1,.000,16,21,.762,14,40,26,3,7,9,16
69,69,1990-03-28,@,NJN,L,101,106,38,92,.413,4,16,.250,21,30,.700,15,41,13,11,2,15,24,,42,92,.457,0,4,.000,22,31,.710,19,59,24,9,9,20,24
70,70,1990-03-30,@,CHI,L,106,107,40,85,.471,3,5,.600,23,29,.793,13,42,20,6,7,16,21,,45,95,.474,1,7,.143,16,23,.696,16,44,27,8,8,11,27
71,71,1990-03-31,,DEN,L,115,118,44,92,.478,0,5,.000,27,37,.730,15,56,25,10,9,17,26,,46,110,.418,3,6,.500,23,33,.697,21,58,30,13,7,11,28
72,72,1990-04-03,,CLE,W,106,97,46,92,.500,0,4,.000,14,17,.824,11,42,28,13,7,15,18,,43,88,.489,2,4,.500,9,12,.750,11,42,29,7,7,20,18
73,73,1990-04-04,@,WSB,W,118,107,47,84,.560,2,6,.333,22,27,.815,10,38,27,9,5,12,19,,47,99,.475,0,4,.000,13,14,.929,17,40,26,4,3,13,20
74,74,1990-04-06,,PHI,W,114,104,49,85,.576,3,8,.375,13,20,.650,10,44,37,6,12,10,21,,38,87,.437,3,10,.300,25,34,.735,18,45,23,6,3,11,18
75,75,1990-04-08,@,IND,L,97,99,36,77,.468,6,11,.545,19,24,.792,9,28,20,11,5,12,20,,40,80,.500,2,8,.250,17,17,1.000,17,44,18,7,3,17,19
76,76,1990-04-10,,DET,L,98,108,36,80,.450,5,9,.556,21,27,.778,8,29,26,9,4,11,25,,43,84,.512,2,4,.500,20,29,.690,20,51,23,9,5,15,25
