,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,,MIN,W,106,94,40,75,.533,4,8,.500,22,29,.759,13,42,22,7,7,20,20,,36,81,.444,1,4,.250,21,27,.778,14,34,14,11,1,12,23
2,2,1989-11-04,@,SAC,L,100,107,39,93,.419,5,14,.357,17,20,.850,19,49,17,8,8,18,25,,37,82,.451,5,11,.455,28,31,.903,13,39,25,10,6,14,20
3,3,1989-11-07,,CHH,W,128,88,49,92,.533,2,8,.250,28,31,.903,19,53,28,9,6,19,27,,32,85,.376,3,8,.375,21,28,.750,15,35,22,12,2,22,27
4,4,1989-11-09,@,MIL,L,154,155,52,117,.444,4,10,.400,46,60,.767,22,52,26,10,8,25,39,,56,111,.505,4,8,.500,39,49,.796,10,51,31,13,6,22,39
5,5,1989-11-11,@,CHI,L,102,109,41,88,.466,3,7,.429,17,26,.654,17,44,26,7,4,19,26,,38,67,.567,4,9,.444,29,38,.763,5,33,26,13,7,17,24
6,6,1989-11-12,@,MIN,W,108,97,45,72,.625,3,4,.750,15,24,.625,13,40,31,4,7,18,21,,37,87,.425,1,3,.333,22,29,.759,20,36,19,10,3,9,19
7,7,1989-11-14,,DAL,L,109,113,44,83,.530,1,8,.125,20,22,.909,10,37,23,11,13,22,23,,41,94,.436,0,1,.000,31,32,.969,16,40,16,10,5,15,19
8,8,1989-11-16,,WSB,W,111,98,42,96,.438,4,12,.333,23,25,.920,15,49,16,10,4,11,21,,39,92,.424,0,5,.000,20,23,.870,13,45,19,6,10,14,21
9,9,1989-11-18,,CHI,W,119,110,46,79,.582,7,12,.583,20,25,.800,9,39,23,10,5,15,14,,44,95,.463,7,16,.438,15,20,.750,17,39,20,6,2,15,21
10,10,1989-11-19,@,POR,L,109,119,38,93,.409,3,12,.250,30,43,.698,18,45,16,14,6,22,32,,45,89,.506,0,3,.000,29,39,.744,16,52,27,10,2,20,27
11,11,1989-11-21,,NJN,W,114,84,44,84,.524,1,4,.250,25,30,.833,14,53,25,10,4,20,18,,35,92,.380,3,4,.750,11,13,.846,9,32,18,6,5,16,27
12,12,1989-11-24,@,DEN,L,109,122,43,85,.506,3,9,.333,20,27,.741,14,44,23,4,3,22,30,,44,83,.530,1,4,.250,33,41,.805,7,35,26,13,1,13,25
13,13,1989-11-25,@,DAL,W,117,70,47,89,.528,5,11,.455,18,21,.857,14,50,27,12,5,9,25,,27,75,.360,1,11,.091,15,23,.652,13,41,12,2,3,25,18
14,14,1989-11-28,@,SAS,L,104,117,42,94,.447,4,10,.400,16,23,.696,22,43,26,7,1,20,22,,44,78,.564,3,4,.750,26,32,.813,12,42,28,8,8,20,22
15,15,1989-11-30,,NYK,W,127,122,50,87,.575,1,7,.143,26,30,.867,11,37,31,8,6,14,18,,46,90,.511,6,15,.400,24,27,.889,17,37,24,8,5,15,21
16,16,1989-12-02,,DET,W,120,95,44,86,.512,2,6,.333,30,41,.732,14,48,27,12,6,20,29,,34,86,.395,1,5,.200,26,38,.684,17,42,20,8,5,16,29
17,17,1989-12-05,,HOU,W,133,123,50,93,.538,2,5,.400,31,35,.886,10,36,32,13,4,12,23,,47,88,.534,3,6,.500,26,31,.839,13,40,24,8,4,15,23
18,18,1989-12-09,,LAC,W,104,100,35,81,.432,2,6,.333,32,34,.941,20,47,15,16,7,26,21,,38,87,.437,3,8,.375,21,28,.750,17,36,11,16,4,24,25
19,19,1989-12-13,@,BOS,L,97,109,42,103,.408,3,11,.273,10,13,.769,17,36,18,13,1,19,24,,39,80,.488,3,7,.429,28,32,.875,15,49,32,7,6,25,22
20,20,1989-12-15,@,CLE,L,101,120,37,89,.416,0,6,.000,27,38,.711,19,47,12,7,5,11,28,,45,88,.511,3,8,.375,27,32,.844,9,40,24,5,4,10,25
21,21,1989-12-16,@,NYK,L,97,118,42,104,.404,2,12,.167,11,15,.733,19,42,20,9,3,20,22,,47,85,.553,1,7,.143,23,28,.821,13,50,31,15,8,19,14
22,22,1989-12-19,@,DET,L,77,94,32,73,.438,0,7,.000,13,18,.722,11,40,20,6,3,21,27,,39,87,.448,0,2,.000,16,19,.842,17,44,22,6,6,12,22
23,23,1989-12-21,,POR,W,123,102,56,93,.602,1,4,.250,10,17,.588,15,45,29,11,6,15,25,,37,90,.411,1,8,.125,27,33,.818,22,43,12,7,2,14,18
24,24,1989-12-23,,IND,L,95,98,42,92,.457,0,6,.000,11,18,.611,14,40,19,9,4,10,22,,38,67,.567,5,6,.833,17,21,.810,4,33,19,3,5,22,19
25,25,1989-12-27,,PHI,W,110,106,44,82,.537,4,7,.571,18,21,.857,15,39,23,9,3,20,26,,41,79,.519,1,6,.167,23,26,.885,12,30,20,8,2,16,19
26,26,1989-12-29,,BOS,L,89,96,38,83,.458,1,7,.143,12,17,.706,13,35,21,11,1,8,23,,41,75,.547,0,4,.000,14,19,.737,12,45,20,6,2,17,12
27,27,1990-01-03,,UTA,L,108,119,42,101,.416,0,6,.000,24,32,.750,29,54,21,10,2,9,33,,39,74,.527,1,2,.500,40,49,.816,10,35,27,7,6,11,26
28,28,1990-01-05,,MIA,W,140,110,53,85,.624,4,7,.571,30,42,.714,13,35,33,14,7,17,24,,44,79,.557,1,3,.333,21,28,.750,11,29,26,5,5,21,31
29,29,1990-01-06,,PHO,W,120,110,49,98,.500,2,8,.250,20,30,.667,19,47,22,12,3,13,26,,42,87,.483,3,8,.375,23,32,.719,16,42,13,6,8,17,23
30,30,1990-01-08,@,DAL,L,96,110,39,89,.438,1,7,.143,17,25,.680,16,40,23,4,6,12,29,,36,75,.480,0,0,,38,43,.884,14,47,20,8,8,12,21
31,31,1990-01-09,@,HOU,L,90,97,36,85,.424,3,7,.429,15,18,.833,12,45,22,4,2,13,29,,35,80,.438,2,5,.400,25,38,.658,10,42,25,6,11,11,21
32,32,1990-01-11,,DAL,W,98,87,35,79,.443,2,4,.500,26,36,.722,12,42,21,10,4,9,20,,33,75,.440,4,11,.364,17,23,.739,9,44,14,3,0,15,23
33,33,1990-01-13,,ATL,W,113,106,48,85,.565,0,1,.000,17,21,.810,19,45,29,6,2,16,25,,42,85,.494,1,3,.333,21,23,.913,15,29,18,5,1,11,15
34,34,1990-01-15,,HOU,W,105,101,44,88,.500,2,8,.250,15,18,.833,16,41,18,6,8,15,23,,38,75,.507,3,7,.429,22,32,.688,11,35,25,5,0,16,22
35,35,1990-01-17,@,LAL,L,90,100,37,80,.463,1,4,.250,15,19,.789,14,32,24,10,2,14,28,,35,75,.467,1,7,.143,29,36,.806,13,41,26,7,4,17,19
36,36,1990-01-18,@,LAC,L,95,105,41,89,.461,3,6,.500,10,13,.769,10,36,23,8,4,13,26,,40,76,.526,0,1,.000,25,33,.758,12,48,31,8,6,19,14
37,37,1990-01-20,@,PHO,L,98,117,36,77,.468,2,5,.400,24,33,.727,11,42,20,7,2,26,26,,45,95,.474,1,4,.250,26,32,.813,17,42,30,14,7,12,26
38,38,1990-01-24,,MIL,L,112,119,42,84,.500,2,5,.400,26,37,.703,13,32,17,5,4,14,31,,40,80,.500,2,7,.286,37,45,.822,16,43,20,8,4,10,30
39,39,1990-01-26,@,GSW,L,102,114,45,92,.489,0,7,.000,12,16,.750,22,49,26,7,1,23,28,,39,72,.542,4,14,.286,32,39,.821,6,26,24,9,7,15,17
40,40,1990-01-27,,SAS,W,109,98,43,90,.478,2,7,.286,21,28,.750,20,39,17,8,6,10,20,,39,84,.464,0,3,.000,20,26,.769,19,43,13,5,6,11,21
41,41,1990-01-31,@,MIN,L,82,110,35,80,.438,0,1,.000,12,24,.500,16,43,24,7,5,23,25,,45,88,.511,0,2,.000,20,30,.667,14,42,30,9,5,8,18
42,42,1990-02-02,@,IND,W,87,86,35,85,.412,1,4,.250,16,28,.571,18,46,17,11,2,12,31,,30,63,.476,2,6,.333,24,33,.727,6,40,22,6,5,19,25
43,43,1990-02-03,@,WSB,W,94,92,36,83,.434,1,3,.333,21,28,.750,18,45,15,6,2,11,19,,35,78,.449,2,3,.667,20,26,.769,12,43,20,6,5,11,18
44,44,1990-02-05,@,CHH,W,101,100,41,87,.471,0,3,.000,19,26,.731,21,49,24,7,3,17,22,,39,76,.513,3,10,.300,19,25,.760,8,29,26,9,2,16,20
45,45,1990-02-07,,PHO,L,124,128,49,95,.516,2,5,.400,24,30,.800,19,39,19,8,3,15,33,,41,74,.554,1,2,.500,45,50,.900,9,33,19,8,7,15,23
46,46,1990-02-13,,POR,L,106,110,47,98,.480,3,8,.375,9,14,.643,16,40,28,10,6,20,22,,41,80,.513,3,6,.500,25,32,.781,10,38,17,11,6,21,16
47,47,1990-02-15,@,NJN,W,103,92,41,96,.427,5,9,.556,16,27,.593,25,63,15,9,6,12,28,,34,77,.442,2,8,.250,22,32,.688,5,33,20,4,8,12,23
48,48,1990-02-16,@,PHI,L,96,100,39,81,.481,1,7,.143,17,25,.680,11,44,24,5,2,15,23,,40,88,.455,1,5,.200,19,29,.655,15,43,26,8,8,11,18
49,49,1990-02-18,@,CHH,W,85,70,36,83,.434,3,5,.600,10,11,.909,15,46,15,8,2,17,24,,25,70,.357,0,3,.000,20,25,.800,10,39,14,6,4,20,13
