
,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-04,,NJN,L,106,111,36,99,.364,1,5,.200,33,41,.805,28,59,20,7,2,14,24,,42,101,.416,3,11,.273,24,37,.649,24,51,15,9,10,11,27
2,2,1989-11-06,,NYK,W,118,110,47,93,.505,1,2,.500,23,30,.767,17,54,27,8,2,25,16,,46,105,.438,3,13,.231,15,19,.789,14,40,25,13,2,16,25
3,3,1989-11-08,@,CLE,W,117,110,41,93,.441,0,4,.000,35,46,.761,20,55,22,8,2,22,28,,45,100,.450,0,2,.000,20,29,.690,12,36,30,12,9,18,36
4,4,1989-11-10,,DET,L,121,125,44,80,.550,0,4,.000,33,37,.892,13,42,26,5,2,25,32,,51,99,.515,0,3,.000,23,32,.719,16,34,27,10,3,16,26
5,5,1989-11-11,@,ATL,L,109,148,39,111,.351,2,5,.400,29,40,.725,33,59,21,7,4,18,31,,58,95,.611,2,4,.500,30,41,.732,12,47,40,12,11,16,28
6,6,1989-11-13,,ATL,L,104,112,35,95,.368,1,4,.250,33,43,.767,25,55,17,7,5,16,25,,42,92,.457,0,3,.000,28,36,.778,19,46,21,7,7,17,32
7,7,1989-11-14,@,CHH,L,116,130,46,90,.511,1,3,.333,23,28,.821,11,39,22,8,1,16,26,,52,100,.520,0,4,.000,26,35,.743,18,49,26,11,5,12,19
8,8,1989-11-16,@,MIL,L,113,132,40,84,.476,3,8,.375,30,37,.811,16,47,25,10,0,37,20,,59,100,.590,3,7,.429,11,14,.786,8,32,35,18,3,20,28
9,9,1989-11-18,,PHI,W,116,103,46,93,.495,0,3,.000,24,29,.828,17,50,28,10,4,17,19,,42,93,.452,0,6,.000,19,23,.826,11,36,22,7,5,15,22
10,10,1989-11-21,@,SAC,W,115,113,44,88,.500,0,1,.000,27,33,.818,13,47,18,8,5,14,18,,46,96,.479,5,12,.417,16,19,.842,12,41,29,7,6,13,20
11,11,1989-11-22,@,UTA,W,119,97,49,93,.527,2,4,.500,19,22,.864,11,43,33,11,7,12,20,,38,87,.437,2,5,.400,19,23,.826,11,38,26,8,9,19,22
12,12,1989-11-24,@,PHO,L,94,121,40,105,.381,2,3,.667,12,16,.750,20,49,16,4,3,21,27,,44,92,.478,2,5,.400,31,41,.756,19,62,21,11,10,24,16
13,13,1989-11-28,,MIA,W,104,99,35,81,.432,0,0,,34,54,.630,14,44,27,12,5,19,24,,43,98,.439,1,9,.111,12,25,.480,19,51,27,8,3,19,36
14,14,1989-11-30,,MIN,W,103,96,40,85,.471,1,1,1.000,22,27,.815,11,46,29,12,2,16,23,,39,96,.406,0,1,.000,18,25,.720,13,46,30,10,3,16,28
15,15,1989-12-01,@,IND,L,110,125,44,101,.436,0,5,.000,22,31,.710,19,49,18,9,5,16,28,,47,89,.528,4,9,.444,27,36,.750,15,50,30,7,10,19,24
16,16,1989-12-04,,POR,L,95,121,35,85,.412,1,2,.500,24,36,.667,9,44,21,6,7,23,27,,51,104,.490,0,2,.000,19,31,.613,15,56,35,14,2,15,28
17,17,1989-12-06,,ATL,L,110,118,36,77,.468,1,6,.167,37,47,.787,11,40,24,8,4,15,31,,41,89,.461,2,5,.400,34,43,.791,17,42,26,8,6,12,32
18,18,1989-12-08,@,MIA,L,114,122,39,89,.438,2,5,.400,34,47,.723,20,49,22,7,5,22,25,,50,101,.495,0,3,.000,22,28,.786,16,45,22,16,10,14,33
19,19,1989-12-10,,LAL,W,108,103,42,90,.467,0,1,.000,24,32,.750,16,45,26,9,6,15,27,,35,89,.393,1,9,.111,32,39,.821,17,44,18,5,6,14,22
20,20,1989-12-12,@,MIL,L,103,106,37,69,.536,0,2,.000,29,38,.763,11,38,21,5,5,19,25,,39,90,.433,1,7,.143,27,33,.818,15,37,30,10,5,10,27
21,21,1989-12-14,@,CHI,L,113,124,46,94,.489,2,4,.500,19,26,.731,15,41,29,9,0,21,17,,51,99,.515,4,9,.444,18,21,.857,14,45,35,13,8,16,22
22,22,1989-12-16,@,SAS,L,116,125,42,87,.483,1,4,.250,31,42,.738,16,42,22,8,1,22,31,,47,88,.534,2,7,.286,29,39,.744,12,45,24,10,9,18,31
23,23,1989-12-17,@,HOU,L,94,109,37,86,.430,1,5,.200,19,30,.633,10,44,22,8,3,17,29,,39,83,.470,1,3,.333,30,43,.698,16,55,24,9,12,16,29
24,24,1989-12-20,,CHI,W,110,109,39,78,.500,0,1,.000,32,40,.800,11,48,24,9,2,23,20,,40,92,.435,4,10,.400,25,28,.893,10,35,24,14,8,11,28
25,25,1989-12-22,,DEN,L,125,137,46,98,.469,0,6,.000,33,45,.733,20,48,23,4,7,12,20,,58,99,.586,3,7,.429,18,26,.692,14,48,35,9,2,10,30
26,26,1989-12-23,@,DET,L,100,106,40,85,.471,3,6,.500,17,25,.680,12,40,26,3,2,13,29,,42,91,.462,0,2,.000,22,32,.688,18,48,27,5,9,9,22
27,27,1989-12-26,@,IND,L,90,98,39,85,.459,1,1,1.000,11,17,.647,13,49,15,5,3,17,23,,39,94,.415,2,5,.400,18,22,.818,20,53,22,6,5,11,16
28,28,1989-12-27,,IND,L,101,106,43,84,.512,0,4,.000,15,23,.652,15,36,30,10,0,18,23,,44,88,.500,2,4,.500,16,21,.762,20,41,32,7,6,17,18
29,29,1989-12-30,@,NYK,L,107,113,46,84,.548,0,4,.000,15,27,.556,14,43,27,5,4,19,22,,49,97,.505,5,9,.556,10,22,.455,19,38,29,13,5,12,20
30,30,1990-01-02,,DET,L,113,115,43,98,.439,2,3,.667,25,28,.893,20,44,22,5,0,11,29,,39,83,.470,1,4,.250,36,45,.800,13,38,21,1,5,9,23
31,31,1990-01-05,@,CHI,L,116,127,41,83,.494,3,5,.600,31,39,.795,12,44,26,5,4,24,24,,52,95,.547,4,7,.571,19,34,.559,13,42,40,14,4,16,28
32,32,1990-01-06,,CLE,L,112,123,44,91,.484,1,3,.333,23,29,.793,15,41,24,1,2,15,27,,45,94,.479,7,13,.538,26,31,.839,16,46,30,8,6,9,25
33,33,1990-01-08,,SAS,W,111,102,44,91,.484,2,3,.667,21,27,.778,18,51,25,6,4,17,22,,43,86,.500,2,7,.286,14,23,.609,11,35,29,9,1,19,22
34,34,1990-01-10,@,LAL,L,106,121,45,91,.495,0,1,.000,16,20,.800,12,39,29,8,5,19,16,,51,95,.537,1,6,.167,18,21,.857,13,45,33,13,5,18,16
35,35,1990-01-11,@,DEN,L,105,141,37,91,.407,1,6,.167,30,41,.732,10,40,19,12,9,20,19,,58,118,.492,3,6,.500,22,29,.759,21,64,40,11,6,16,27
36,36,1990-01-13,@,GSW,L,127,138,48,104,.462,0,4,.000,31,36,.861,21,51,25,13,4,18,30,,45,89,.506,5,11,.455,43,51,.843,10,38,31,11,6,20,24
37,37,1990-01-17,,BOS,L,111,133,39,85,.459,2,4,.500,31,39,.795,9,31,26,13,4,16,17,,54,93,.581,0,3,.000,25,26,.962,15,51,38,12,5,21,25
38,38,1990-01-19,,NJN,W,120,105,48,87,.552,0,2,.000,24,31,.774,10,45,33,14,3,18,27,,40,96,.417,3,9,.333,22,26,.846,17,43,17,8,5,17,25
39,39,1990-01-22,,PHO,L,103,126,38,95,.400,1,2,.500,26,36,.722,14,45,23,7,4,12,22,,52,97,.536,0,4,.000,22,27,.815,11,52,37,10,5,12,29
40,40,1990-01-24,@,PHI,L,103,125,41,102,.402,1,4,.250,20,25,.800,20,54,18,10,6,20,24,,53,99,.535,1,2,.500,18,31,.581,11,51,37,14,10,15,20
41,41,1990-01-25,@,NJN,W,117,112,42,96,.438,0,1,.000,33,37,.892,20,57,18,9,3,14,25,,42,96,.438,1,7,.143,27,32,.844,16,47,21,10,17,13,25
42,42,1990-01-27,,ATL,L,96,114,39,88,.443,2,4,.500,16,20,.800,13,38,25,4,2,14,19,,49,94,.521,0,2,.000,16,21,.762,13,46,22,5,5,10,21
43,43,1990-01-30,,IND,W,129,111,48,89,.539,0,1,.000,33,38,.868,12,44,36,9,4,11,20,,45,96,.469,8,17,.471,13,16,.813,13,40,33,5,4,17,28
