,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,,GSW,W,136,106,49,96,.510,3,6,.500,35,42,.833,16,48,32,12,3,17,29,,36,89,.404,4,10,.400,30,36,.833,15,44,20,6,6,29,32
2,2,1989-11-04,@,DEN,L,132,135,44,81,.543,3,11,.273,41,45,.911,10,40,20,5,7,20,26,,50,98,.510,5,9,.556,30,35,.857,14,38,27,10,5,9,31
3,3,1989-11-07,@,LAL,L,107,111,44,93,.473,0,3,.000,19,25,.760,15,46,23,14,3,19,24,,45,95,.474,5,10,.500,16,25,.640,14,48,27,11,7,21,18
4,4,1989-11-10,,SAC,W,130,109,52,90,.578,1,2,.500,25,39,.641,12,53,35,8,4,12,21,,47,98,.480,4,7,.571,11,20,.550,14,44,29,6,4,18,29
5,5,1989-11-15,,POR,W,109,107,45,91,.495,2,5,.400,17,27,.630,13,41,29,7,10,19,27,,42,89,.472,3,5,.600,20,32,.625,14,46,25,9,9,16,26
6,6,1989-11-17,@,POR,L,109,110,38,84,.452,1,8,.125,32,41,.780,8,35,22,10,11,17,26,,41,96,.427,2,8,.250,26,34,.765,19,52,24,6,3,20,29
7,7,1989-11-18,,WSB,W,118,107,49,89,.551,0,4,.000,20,26,.769,12,48,29,4,4,13,13,,45,98,.459,2,4,.500,15,19,.789,15,42,32,9,5,9,21
8,8,1989-11-21,@,SAS,L,98,107,38,85,.447,3,11,.273,19,23,.826,8,39,23,5,7,17,27,,43,89,.483,1,1,1.000,20,32,.625,13,49,24,6,8,13,19
9,9,1989-11-22,,CHI,L,90,95,35,79,.443,3,7,.429,17,25,.680,12,45,27,6,4,15,24,,34,81,.420,1,6,.167,26,32,.813,14,44,16,8,2,10,21
10,10,1989-11-24,,ORL,W,121,94,44,92,.478,2,5,.400,31,41,.756,19,62,21,11,10,24,16,,40,105,.381,2,3,.667,12,16,.750,20,49,16,4,3,21,27
11,11,1989-11-29,,DET,L,103,111,40,88,.455,4,9,.444,19,22,.864,10,40,25,1,1,11,27,,46,95,.484,1,4,.250,18,25,.720,14,46,29,6,2,7,25
12,12,1989-12-01,,LAC,W,111,90,45,91,.495,0,5,.000,21,31,.677,20,57,29,5,6,17,15,,39,91,.429,0,0,,12,16,.750,15,40,19,10,5,15,28
13,13,1989-12-02,,NYK,L,112,122,45,93,.484,1,8,.125,21,30,.700,20,46,25,7,2,14,25,,45,85,.529,4,9,.444,28,35,.800,13,38,35,12,5,14,25
14,14,1989-12-07,@,LAL,L,96,100,40,92,.435,2,5,.400,14,19,.737,14,41,20,7,6,10,26,,37,90,.411,4,12,.333,22,32,.688,21,54,23,5,7,14,18
15,15,1989-12-08,,MIL,W,123,98,39,87,.448,1,3,.333,44,55,.800,23,63,21,6,7,24,25,,40,94,.426,1,9,.111,17,30,.567,14,39,22,11,3,16,36
16,16,1989-12-12,@,HOU,L,83,105,31,92,.337,0,1,.000,21,29,.724,15,51,12,7,6,19,24,,44,95,.463,1,3,.333,16,24,.667,16,64,27,14,10,19,25
17,17,1989-12-13,@,UTA,L,95,102,38,98,.388,4,13,.308,15,19,.789,13,46,22,6,10,17,19,,42,82,.512,3,6,.500,15,26,.577,7,41,26,13,9,20,19
18,18,1989-12-15,,HOU,W,121,96,52,96,.542,0,2,.000,17,25,.680,16,58,36,7,11,18,24,,37,96,.385,1,3,.333,21,37,.568,20,44,18,9,7,16,21
19,19,1989-12-17,@,SAC,W,125,113,48,94,.511,3,8,.375,26,29,.897,22,56,27,10,3,15,24,,45,95,.474,3,16,.188,20,27,.741,14,35,24,8,3,12,21
20,20,1989-12-20,,IND,L,130,131,52,93,.559,4,7,.571,22,31,.710,10,42,37,10,4,22,22,,57,102,.559,4,9,.444,13,19,.684,10,37,29,8,4,19,31
21,21,1989-12-22,,SAS,L,115,119,41,81,.506,6,11,.545,27,35,.771,9,35,30,6,7,20,21,,49,89,.551,3,4,.750,18,25,.720,13,42,27,9,4,16,28
22,22,1989-12-23,,LAC,W,104,100,39,83,.470,2,11,.182,24,30,.800,16,44,24,6,6,20,20,,39,89,.438,2,5,.400,20,23,.870,19,45,20,14,2,19,25
23,23,1989-12-26,,POR,W,121,105,45,83,.542,1,6,.167,30,39,.769,8,45,25,9,13,23,19,,45,112,.402,1,8,.125,14,18,.778,21,50,21,13,6,16,29
