,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,,SAC,W,114,96,51,100,.510,1,4,.250,11,14,.786,18,54,32,6,6,22,27,,35,84,.417,2,14,.143,24,30,.800,9,31,18,10,6,15,16
2,2,1989-11-05,,MIN,W,93,83,30,65,.462,0,3,.000,33,43,.767,7,37,17,5,7,17,24,,30,90,.333,1,10,.100,22,27,.815,17,39,18,6,1,12,34
3,3,1989-11-07,@,HOU,L,86,109,33,92,.359,0,8,.000,20,30,.667,17,50,20,13,3,19,27,,44,93,.473,2,7,.286,19,31,.613,19,64,31,10,4,21,24
4,4,1989-11-08,@,SAS,W,108,104,43,90,.478,0,2,.000,22,33,.667,19,47,24,8,4,14,30,,37,81,.457,0,3,.000,30,41,.732,9,37,21,9,10,12,24
5,5,1989-11-10,@,DAL,W,99,91,39,85,.459,1,3,.333,20,22,.909,15,45,27,9,1,15,19,,34,76,.447,2,5,.400,21,28,.750,10,40,24,11,3,18,17
6,6,1989-11-12,,WSB,L,95,104,34,85,.400,1,6,.167,26,35,.743,9,36,18,7,2,15,24,,38,81,.469,0,2,.000,28,35,.800,12,48,27,7,0,17,26
7,7,1989-11-14,,NYK,W,118,117,47,91,.516,3,6,.500,21,38,.553,13,37,28,11,6,13,24,,44,86,.512,4,10,.400,25,36,.694,15,45,23,5,5,19,27
8,8,1989-11-15,@,PHO,L,107,109,42,89,.472,3,5,.600,20,32,.625,14,46,25,9,9,16,26,,45,91,.495,2,5,.400,17,27,.630,13,41,29,7,10,19,27
9,9,1989-11-17,,PHO,W,110,109,41,96,.427,2,8,.250,26,34,.765,19,52,24,6,3,20,29,,38,84,.452,1,8,.125,32,41,.780,8,35,22,10,11,17,26
10,10,1989-11-19,,SEA,W,119,109,45,89,.506,0,3,.000,29,39,.744,16,52,27,10,2,20,27,,38,93,.409,3,12,.250,30,43,.698,18,45,16,14,6,22,32
11,11,1989-11-21,,CHI,W,121,110,47,83,.566,1,1,1.000,26,31,.839,14,39,26,11,3,19,17,,47,88,.534,2,9,.222,14,16,.875,15,39,27,9,5,20,22
12,12,1989-11-24,,NJN,W,125,99,50,84,.595,0,4,.000,25,34,.735,12,34,35,19,4,12,19,,40,78,.513,4,9,.444,15,22,.682,14,34,23,4,7,28,27
13,13,1989-11-26,,DET,W,102,82,39,92,.424,1,3,.333,23,30,.767,22,58,22,9,7,16,20,,34,93,.366,5,9,.556,9,13,.692,17,44,20,5,7,20,26
14,14,1989-11-28,,LAC,W,116,94,47,100,.470,1,2,.500,21,28,.750,24,55,30,11,3,19,28,,31,66,.470,0,2,.000,32,45,.711,5,37,21,11,8,26,24
15,15,1989-12-01,,GSW,W,123,110,51,103,.495,3,8,.375,18,25,.720,22,57,29,9,5,15,31,,36,80,.450,5,13,.385,33,41,.805,7,34,22,6,6,15,21
16,16,1989-12-02,@,DEN,L,113,146,49,100,.490,2,3,.667,13,20,.650,13,35,30,6,5,18,22,,58,99,.586,8,13,.615,22,28,.786,14,51,41,9,2,18,22
17,17,1989-12-04,@,ORL,W,121,95,51,104,.490,0,2,.000,19,31,.613,15,56,35,14,2,15,28,,35,85,.412,1,2,.500,24,36,.667,9,44,21,6,7,23,27
18,18,1989-12-05,@,MIA,W,113,107,40,79,.506,1,3,.333,32,40,.800,19,48,26,14,4,28,28,,40,91,.440,2,9,.222,25,31,.806,14,31,20,13,2,21,27
19,19,1989-12-07,@,CHH,W,96,86,45,90,.500,0,3,.000,6,9,.667,18,51,21,13,7,21,19,,34,81,.420,5,15,.333,13,18,.722,10,33,25,9,4,20,10
