,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-04,,LAL,W,106,98,36,84,.429,0,1,.000,34,42,.810,21,58,20,10,7,20,29,,33,86,.384,6,18,.333,26,35,.743,13,39,19,12,8,15,28
2,2,1989-11-08,,POR,L,104,108,37,81,.457,0,3,.000,30,41,.732,9,37,21,9,10,12,24,,43,90,.478,0,2,.000,22,33,.667,19,47,24,8,4,14,30
3,3,1989-11-10,@,UTA,L,92,106,37,87,.425,0,1,.000,18,23,.783,21,43,15,8,8,23,29,,39,76,.513,1,2,.500,27,38,.711,7,33,26,11,7,21,27
4,4,1989-11-11,,DEN,W,122,108,49,92,.533,0,2,.000,24,32,.750,11,51,30,10,8,21,29,,38,102,.373,5,13,.385,27,36,.750,17,47,19,11,2,18,26
5,5,1989-11-14,@,MIL,L,97,108,34,72,.472,0,0,,29,34,.853,6,32,20,9,7,17,20,,39,82,.476,7,14,.500,23,29,.793,15,40,28,7,1,19,24
6,6,1989-11-15,@,MIN,W,86,76,35,75,.467,0,0,,16,23,.696,15,48,20,7,7,21,21,,27,83,.325,1,6,.167,21,22,.955,18,41,19,12,4,17,19
7,7,1989-11-17,@,PHI,L,101,108,43,94,.457,0,2,.000,15,18,.833,19,43,24,6,2,14,22,,45,84,.536,1,7,.143,17,21,.810,10,42,29,11,6,13,16
8,8,1989-11-18,@,NJN,W,110,95,40,83,.482,0,0,,30,42,.714,13,48,15,17,3,18,30,,32,84,.381,2,4,.500,29,39,.744,17,42,14,11,10,25,28
9,9,1989-11-21,,PHO,W,107,98,43,89,.483,1,1,1.000,20,32,.625,13,49,24,6,8,13,19,,38,85,.447,3,11,.273,19,23,.826,8,39,23,5,7,17,27
