,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,,DEN,W,122,113,51,82,.622,2,4,.500,18,28,.643,7,48,35,6,13,23,35,,42,100,.420,2,10,.200,27,36,.750,9,36,25,6,6,11,22
2,2,1989-11-08,,CHH,W,102,86,44,93,.473,0,3,.000,14,18,.778,16,47,29,15,2,22,24,,35,76,.461,2,5,.400,14,21,.667,8,38,22,12,5,25,23
3,3,1989-11-10,,SAS,W,106,92,39,76,.513,1,2,.500,27,38,.711,7,33,26,11,7,21,27,,37,87,.425,0,1,.000,18,23,.783,21,43,15,8,8,23,29
4,4,1989-11-11,@,HOU,L,92,100,36,83,.434,4,11,.364,16,31,.516,13,47,21,9,3,19,21,,40,88,.455,1,6,.167,19,30,.633,17,55,24,8,14,18,25
5,5,1989-11-13,,WSB,W,106,93,39,98,.398,2,3,.667,26,35,.743,20,58,26,9,9,16,22,,36,95,.379,1,1,1.000,20,25,.800,17,55,22,4,7,16,26
6,6,1989-11-15,,CHI,W,108,107,40,78,.513,1,2,.500,27,37,.730,12,40,24,10,5,15,25,,37,85,.435,0,5,.000,33,41,.805,15,41,19,10,6,14,28
7,7,1989-11-17,,IND,W,114,100,45,89,.506,5,8,.625,19,32,.594,15,46,30,15,2,21,32,,32,69,.464,2,8,.250,34,40,.850,7,28,17,13,7,23,20
8,8,1989-11-21,@,MIN,W,103,101,39,70,.557,2,6,.333,23,30,.767,11,30,30,7,3,21,26,,38,80,.475,1,3,.333,24,30,.800,15,33,26,13,6,16,24
9,9,1989-11-22,,ORL,L,97,119,38,87,.437,2,5,.400,19,23,.826,11,38,26,8,9,19,22,,49,93,.527,2,4,.500,19,22,.864,11,43,33,11,7,12,20
10,10,1989-11-25,,LAL,L,86,92,34,72,.472,2,7,.286,16,22,.727,11,36,16,6,6,16,19,,36,76,.474,4,6,.667,16,20,.800,10,34,20,6,5,15,21
11,11,1989-11-27,,NJN,W,105,68,39,68,.574,1,4,.250,26,40,.650,9,54,25,13,7,29,20,,25,98,.255,1,7,.143,17,17,1.000,25,48,13,15,4,22,26
12,12,1989-11-29,@,IND,L,88,100,35,73,.479,2,5,.400,16,27,.593,10,38,23,9,2,19,17,,39,73,.534,2,4,.500,20,22,.909,6,41,28,13,5,18,22
13,13,1989-12-01,@,ATL,L,103,114,38,74,.514,1,4,.250,26,39,.667,11,33,19,11,8,16,31,,38,70,.543,0,1,.000,38,45,.844,11,37,22,12,4,21,28
14,14,1989-12-02,@,WSB,W,100,98,37,80,.463,2,7,.286,24,34,.706,11,41,20,9,5,16,29,,37,81,.457,0,2,.000,24,29,.828,11,40,26,5,2,18,25
15,15,1989-12-05,@,CLE,W,94,80,37,81,.457,5,6,.833,15,17,.882,10,44,22,9,2,13,17,,31,84,.369,7,14,.500,11,17,.647,14,47,21,7,10,13,17
16,16,1989-12-07,,DAL,W,107,97,37,72,.514,4,9,.444,29,36,.806,7,36,22,13,6,16,21,,36,71,.507,2,6,.333,23,27,.852,4,30,18,11,2,20,25
17,17,1989-12-09,,HOU,W,104,90,39,85,.459,2,6,.333,24,28,.857,14,51,23,4,6,15,19,,38,91,.418,1,7,.143,13,20,.650,10,41,22,9,7,10,21
18,18,1989-12-11,,CLE,L,110,113,46,90,.511,6,12,.500,12,23,.522,10,46,36,9,9,14,14,,48,106,.453,9,17,.529,8,18,.444,22,58,24,8,7,14,24
19,19,1989-12-13,,PHO,W,102,95,42,82,.512,3,6,.500,15,26,.577,7,41,26,13,9,20,19,,38,98,.388,4,13,.308,15,19,.789,13,46,22,6,10,17,19
20,20,1989-12-15,,DET,W,94,91,29,74,.392,1,8,.125,35,42,.833,11,42,13,5,7,12,26,,35,82,.427,2,9,.222,19,30,.633,14,49,20,5,3,15,29
21,21,1989-12-17,@,MIN,W,122,112,35,58,.603,1,4,.250,51,58,.879,4,32,22,6,7,19,32,,36,79,.456,0,5,.000,40,49,.816,14,34,19,14,4,15,35
22,22,1989-12-19,@,NYK,L,107,115,47,79,.595,3,10,.300,10,19,.526,6,36,40,7,5,13,25,,45,81,.556,5,14,.357,20,28,.714,11,38,25,7,4,11,20
23,23,1989-12-20,@,BOS,L,109,113,39,76,.513,4,8,.500,27,32,.844,9,42,28,5,5,16,22,,46,87,.529,1,4,.250,20,22,.909,3,31,33,10,8,8,22
24,24,1989-12-22,@,CHH,W,114,100,46,80,.575,4,9,.444,18,27,.667,8,44,28,8,5,16,23,,35,87,.402,4,10,.400,26,32,.813,11,37,22,7,3,11,21
25,25,1989-12-23,@,SAS,L,98,115,38,78,.487,0,3,.000,22,26,.846,15,38,24,7,4,19,24,,48,84,.571,1,4,.250,18,27,.667,16,38,32,12,12,12,18
26,26,1989-12-26,,GSW,W,133,118,52,103,.505,8,16,.500,21,33,.636,20,59,30,10,7,11,28,,45,94,.479,1,7,.143,27,33,.818,10,36,24,8,5,11,24
27,27,1989-12-28,,POR,W,113,109,36,71,.507,7,14,.500,34,38,.895,3,34,27,5,1,18,26,,44,91,.484,1,5,.200,20,30,.667,7,36,26,8,5,12,32
28,28,1989-12-30,,MIA,W,117,98,44,80,.550,4,10,.400,25,36,.694,12,44,33,9,9,19,24,,41,85,.482,1,4,.250,15,28,.536,11,40,26,10,3,15,28
29,29,1990-01-02,@,GSW,L,120,133,48,96,.500,1,9,.111,23,36,.639,18,47,34,14,6,22,33,,50,96,.521,1,9,.111,32,36,.889,10,45,28,13,4,19,25
30,30,1990-01-03,@,SEA,W,119,108,39,74,.527,1,2,.500,40,49,.816,10,35,27,7,6,11,26,,42,101,.416,0,6,.000,24,32,.750,29,54,21,10,2,9,33
31,31,1990-01-05,@,POR,L,89,118,39,87,.448,2,6,.333,9,14,.643,15,41,24,6,6,22,16,,54,100,.540,1,4,.250,9,12,.750,17,48,38,13,9,14,16
32,32,1990-01-06,@,DEN,W,123,120,51,93,.548,1,5,.200,20,27,.741,5,46,33,11,6,23,26,,47,96,.490,3,9,.333,23,28,.821,7,42,30,15,2,16,25
33,33,1990-01-10,,DEN,W,130,99,52,86,.605,4,11,.364,22,24,.917,11,48,36,8,6,20,20,,38,93,.409,5,9,.556,18,23,.783,10,27,26,15,1,13,17
34,34,1990-01-13,@,DAL,W,109,99,41,73,.562,1,7,.143,26,32,.813,12,43,25,6,4,16,23,,36,78,.462,3,7,.429,24,32,.750,15,36,20,5,4,15,24
35,35,1990-01-17,,ATL,W,95,88,37,72,.514,1,8,.125,20,24,.833,8,37,25,8,5,13,26,,32,76,.421,2,7,.286,22,29,.759,13,35,19,8,5,17,24
36,36,1990-01-19,,CHH,W,116,93,46,85,.541,2,4,.500,22,29,.759,9,46,28,12,5,16,17,,39,93,.419,5,10,.500,10,12,.833,13,43,27,8,2,23,23
37,37,1990-01-20,@,SAC,W,94,81,34,78,.436,0,5,.000,26,31,.839,11,41,19,4,7,17,14,,34,93,.366,1,4,.250,12,16,.750,22,48,23,6,9,14,21
