,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1989-11-03,@,CHH,W,116,96,43,93,.462,0,1,.000,30,39,.769,21,60,22,11,3,19,27,,36,78,.462,0,2,.000,24,34,.706,7,38,20,11,4,20,30
2,2,1989-11-04,,DET,L,93,95,39,82,.476,0,1,.000,15,21,.714,13,38,23,3,2,14,28,,34,88,.386,1,6,.167,26,31,.839,14,41,12,8,6,10,23
3,3,1989-11-07,@,ATL,W,118,114,47,85,.553,1,1,1.000,23,30,.767,16,43,24,6,2,21,26,,45,92,.489,0,0,,24,33,.727,16,41,16,14,4,13,24
4,4,1989-11-08,,BOS,W,112,103,43,91,.473,0,2,.000,26,29,.897,12,42,28,6,2,9,23,,43,90,.478,1,6,.167,16,22,.727,14,41,31,4,5,14,24
5,5,1989-11-10,,CLE,W,100,92,40,79,.506,0,2,.000,20,26,.769,10,40,35,5,6,15,19,,38,86,.442,0,3,.000,16,21,.762,15,39,27,8,7,14,20
6,6,1989-11-12,@,POR,W,104,95,38,81,.469,0,2,.000,28,35,.800,12,48,27,7,0,17,26,,34,85,.400,1,6,.167,26,35,.743,9,36,18,7,2,15,24
7,7,1989-11-13,@,UTA,L,93,106,36,95,.379,1,1,1.000,20,25,.800,17,55,22,4,7,16,26,,39,98,.398,2,3,.667,26,35,.743,20,58,26,9,9,16,22
8,8,1989-11-15,@,DEN,L,98,109,40,86,.465,1,5,.200,17,23,.739,7,51,18,9,7,18,21,,45,104,.433,5,10,.500,14,28,.500,19,53,24,14,2,12,23
9,9,1989-11-16,@,SEA,L,98,111,39,92,.424,0,5,.000,20,23,.870,13,45,19,6,10,14,21,,42,96,.438,4,12,.333,23,25,.920,15,49,16,10,4,11,21
10,10,1989-11-18,@,PHO,L,107,118,45,98,.459,2,4,.500,15,19,.789,15,42,32,9,5,9,21,,49,89,.551,0,4,.000,20,26,.769,12,48,29,4,4,13,13
11,11,1989-11-19,@,LAL,L,115,120,50,99,.505,1,6,.167,14,16,.875,9,39,28,7,7,8,25,,44,90,.489,4,8,.500,28,34,.824,18,48,26,2,5,12,14
12,12,1989-11-21,,MIL,W,97,91,40,76,.526,0,0,,17,27,.630,8,43,25,3,9,20,22,,35,95,.368,1,4,.250,20,28,.714,20,47,18,14,4,11,27
13,13,1989-11-24,@,PHI,L,108,121,43,95,.453,0,2,.000,22,29,.759,19,43,31,9,7,10,23,,48,92,.522,4,5,.800,21,28,.750,17,45,28,4,6,14,20
14,14,1989-11-25,,MIA,W,107,88,45,92,.489,0,0,,17,21,.810,22,61,19,7,5,15,26,,34,88,.386,0,2,.000,20,25,.800,13,35,16,5,3,15,20
15,15,1989-11-28,@,CLE,L,91,92,41,74,.554,0,2,.000,9,11,.818,3,33,23,7,1,19,22,,37,87,.425,5,12,.417,13,17,.765,13,42,19,6,4,15,15
16,16,1989-11-29,,ATL,L,104,111,46,84,.548,0,4,.000,12,20,.600,13,41,25,4,2,20,26,,41,86,.477,1,2,.500,28,34,.824,12,40,13,14,3,11,16
17,17,1989-12-01,,PHI,W,107,90,46,86,.535,0,0,,15,20,.750,9,40,30,5,5,9,24,,35,81,.432,2,9,.222,18,26,.692,14,45,22,4,2,21,21
18,18,1989-12-02,,UTA,L,98,100,37,81,.457,0,2,.000,24,29,.828,11,40,26,5,2,18,25,,37,80,.463,2,7,.286,24,34,.706,11,41,20,9,5,16,29
19,19,1989-12-06,@,DET,L,107,115,44,85,.518,1,5,.200,18,22,.818,8,36,32,5,7,16,29,,45,91,.495,1,3,.333,24,28,.857,16,42,30,7,5,16,23
20,20,1989-12-09,,LAL,W,103,101,45,83,.542,0,0,,13,18,.722,8,37,27,6,6,18,14,,46,92,.500,0,7,.000,9,10,.900,12,39,25,10,3,16,22
21,21,1989-12-14,,CHH,W,105,101,37,93,.398,1,1,1.000,30,35,.857,13,50,25,6,8,9,20,,39,92,.424,3,11,.273,20,25,.800,10,47,26,6,2,12,23
22,22,1989-12-16,,DAL,W,112,108,47,90,.522,0,0,,18,25,.720,12,39,28,4,3,11,23,,42,82,.512,2,9,.222,22,28,.786,8,36,11,5,4,12,21
23,23,1989-12-19,,MIN,W,112,99,44,89,.494,0,0,,24,30,.800,17,45,28,4,6,17,24,,37,82,.451,0,3,.000,25,35,.714,11,36,19,12,8,15,27
24,24,1989-12-20,@,PHI,L,111,118,46,90,.511,1,4,.250,18,23,.783,11,36,31,10,1,16,28,,43,84,.512,0,4,.000,32,38,.842,11,42,28,6,7,15,22
25,25,1989-12-22,,NYK,L,112,122,40,102,.392,0,5,.000,32,40,.800,18,50,22,8,4,15,26,,44,87,.506,1,4,.250,33,39,.846,7,43,24,11,9,18,33
26,26,1989-12-26,@,NJN,L,94,101,40,89,.449,1,3,.333,13,20,.650,13,49,21,8,5,21,21,,39,85,.459,1,1,1.000,22,28,.786,10,41,12,13,6,14,18
27,27,1989-12-27,,SAS,L,97,107,38,89,.427,0,2,.000,21,26,.808,18,48,23,9,6,15,23,,43,95,.453,2,7,.286,19,28,.679,20,47,29,8,4,11,21
28,28,1989-12-30,,CHI,L,112,117,46,99,.465,1,2,.500,19,23,.826,18,47,29,6,5,16,25,,44,102,.431,2,10,.200,27,29,.931,22,56,24,11,6,16,23
29,29,1990-01-02,,NJN,W,110,96,47,83,.566,0,1,.000,16,20,.800,9,45,31,8,10,19,19,,38,94,.404,0,2,.000,20,22,.909,14,37,17,13,5,13,18
30,30,1990-01-03,@,BOS,L,101,120,42,89,.472,0,3,.000,17,25,.680,11,32,27,6,7,10,24,,48,92,.522,2,6,.333,22,23,.957,18,52,36,5,2,14,20
31,31,1990-01-05,@,CLE,L,107,119,41,96,.427,0,5,.000,25,32,.781,16,46,24,5,5,10,22,,43,88,.489,8,11,.727,25,32,.781,15,49,31,6,6,11,25
32,32,1990-01-06,,BOS,L,88,102,37,81,.457,1,6,.167,13,20,.650,7,32,25,6,2,11,23,,40,82,.488,0,0,,22,27,.815,12,45,25,5,5,15,20
33,33,1990-01-09,@,NYK,L,127,131,58,100,.580,0,2,.000,11,14,.786,12,46,42,6,5,20,34,,50,108,.463,2,6,.333,29,42,.690,27,51,29,11,2,13,12
34,34,1990-01-11,@,MIA,W,100,89,40,92,.435,0,2,.000,20,29,.690,20,56,22,7,6,11,17,,37,90,.411,0,3,.000,15,21,.714,14,48,23,5,3,13,24
