
,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2010-10-27,,HOU,W,132,128,51,92,.554,8,20,.400,22,26,.846,14,45,25,5,7,12,30,,41,87,.471,4,16,.250,42,52,.808,15,39,24,9,2,9,20
2,2,2010-10-29,,LAC,W,109,91,43,81,.531,14,24,.583,9,17,.529,9,46,32,8,7,17,25,,32,83,.386,5,18,.278,22,32,.688,14,40,17,7,1,16,16
3,3,2010-10-31,@,LAL,L,83,107,36,89,.404,5,20,.250,6,13,.462,15,42,27,11,4,17,26,,39,88,.443,6,19,.316,23,30,.767,18,56,25,9,5,20,18
4,4,2010-11-03,,MEM,W,115,109,38,92,.413,13,30,.433,26,34,.765,19,48,26,11,8,19,23,,42,82,.512,8,18,.444,17,25,.680,9,39,28,10,2,19,26
5,5,2010-11-05,,UTA,W,85,78,35,93,.376,2,14,.143,13,22,.591,21,52,16,11,3,16,23,,30,76,.395,3,14,.214,15,21,.714,10,46,18,9,6,19,23
6,6,2010-11-07,@,DET,L,97,102,36,84,.429,6,23,.261,19,23,.826,15,46,19,6,2,14,22,,37,82,.451,9,17,.529,19,28,.679,13,46,27,8,4,11,17
7,7,2010-11-08,@,TOR,W,109,102,39,74,.527,5,16,.313,26,32,.813,11,42,19,13,7,20,26,,38,83,.458,4,14,.286,22,27,.815,11,32,19,12,3,16,23
8,8,2010-11-10,@,NYK,W,122,117,47,89,.528,5,10,.500,23,32,.719,9,36,23,13,3,14,33,,36,77,.468,7,31,.226,38,43,.884,9,41,17,10,4,20,25
9,9,2010-11-11,@,CHI,L,90,120,39,95,.411,7,23,.304,5,7,.714,18,39,20,9,4,19,16,,46,84,.548,7,19,.368,21,23,.913,11,46,29,14,10,12,7
10,10,2010-11-13,@,MIL,L,72,79,28,82,.341,10,22,.455,6,10,.600,11,42,18,10,4,15,23,,28,83,.337,6,16,.375,17,21,.810,19,58,15,8,9,18,14
11,11,2010-11-15,,DET,W,101,97,36,85,.424,7,18,.389,22,27,.815,14,44,22,13,5,12,25,,33,74,.446,7,19,.368,24,36,.667,9,42,22,8,3,16,20
