,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2012-10-31,@,PHO,W,87,85,33,86,.384,5,17,.294,16,23,.696,17,49,19,9,3,18,20,,32,80,.400,4,21,.190,17,22,.773,11,44,16,10,12,18,23
2,2,2012-11-02,,MEM,L,94,104,36,80,.450,10,20,.500,12,17,.706,9,36,21,5,5,18,24,,35,77,.455,6,13,.462,28,34,.824,9,40,22,9,4,13,22
3,3,2012-11-03,@,LAC,W,114,110,41,84,.488,4,16,.250,28,39,.718,16,48,22,7,2,13,34,,30,70,.429,10,21,.476,40,52,.769,7,33,21,6,5,16,31
4,4,2012-11-05,@,SAC,L,92,94,31,78,.397,6,21,.286,24,28,.857,7,38,21,5,2,13,17,,37,81,.457,4,19,.211,16,23,.696,10,43,13,7,5,13,25
5,5,2012-11-07,,CLE,W,106,96,42,78,.538,5,18,.278,17,23,.739,7,44,28,11,4,16,22,,36,86,.419,11,32,.344,13,21,.619,11,39,20,7,1,16,26
6,6,2012-11-09,@,LAL,L,77,101,29,86,.337,7,25,.280,12,20,.600,13,47,12,5,3,18,25,,36,90,.400,8,28,.286,21,28,.750,16,58,22,9,6,16,14
7,7,2012-11-10,,DEN,L,101,107,39,102,.382,9,25,.360,14,23,.609,13,54,23,11,5,14,26,,43,113,.381,5,24,.208,16,27,.593,23,65,30,9,9,15,21
8,8,2012-11-14,,ATL,W,92,88,33,71,.465,5,18,.278,21,25,.840,10,44,23,7,1,23,22,,34,78,.436,7,23,.304,13,18,.722,5,29,21,11,4,12,18
9,9,2012-11-16,@,MIN,W,106,98,43,85,.506,2,15,.133,18,26,.692,17,50,21,3,5,15,26,,34,79,.430,7,18,.389,23,29,.793,11,34,19,6,12,12,23
10,10,2012-11-18,@,OKC,L,109,119,43,82,.524,5,16,.313,18,22,.818,8,35,23,8,4,13,18,,42,83,.506,13,20,.650,22,26,.846,10,40,31,9,3,10,16
11,11,2012-11-19,@,DAL,W,105,101,37,91,.407,9,24,.375,22,30,.733,19,62,19,10,2,20,24,,37,86,.430,10,21,.476,17,24,.708,7,43,24,12,11,16,22
12,12,2012-11-21,,BRK,W,102,93,40,75,.533,7,15,.467,15,19,.789,12,43,24,3,1,15,17,,38,83,.458,6,23,.261,11,15,.733,14,35,26,7,6,8,16
13,13,2012-11-23,@,DEN,L,91,102,35,80,.438,7,17,.412,14,18,.778,8,45,22,8,5,14,30,,40,84,.476,5,19,.263,17,30,.567,11,39,21,9,7,11,18
14,14,2012-11-24,,MIN,W,96,85,33,78,.423,6,21,.286,24,29,.828,13,48,18,1,3,13,25,,33,86,.384,5,27,.185,14,19,.737,11,39,25,8,3,10,24
15,15,2012-11-29,,DEN,W,106,105,44,86,.512,8,18,.444,10,13,.769,9,43,29,10,5,16,22,,38,84,.452,10,21,.476,19,24,.792,10,40,25,9,7,15,16
16,16,2012-12-01,,IND,W,103,92,38,80,.475,9,20,.450,18,19,.947,11,41,22,5,3,17,22,,34,74,.459,8,22,.364,16,20,.800,8,36,20,6,7,16,19
17,17,2012-12-03,,ORL,L,94,102,37,81,.457,7,17,.412,13,18,.722,9,43,23,5,5,13,20,,40,92,.435,8,23,.348,14,16,.875,11,43,29,8,4,8,19
18,18,2012-12-05,@,DET,W,104,97,34,75,.453,9,24,.375,27,34,.794,9,35,24,9,7,10,22,,35,79,.443,6,21,.286,21,31,.677,15,44,22,4,5,17,26
