Name,Height w/o Shoes,Height w/shoes,Weight,Wingspan,Reach,Body Fat,Hand Length,Hand Width,No Step Vert,No Step Vert Reach,Max Vert,Max Vert Reach,Bench,Agility,Sprint,Rank,Drafted
Youssoupha Fall - 2016,"7' 2.75""","7' 3.75""",275,"7' 6.5""","9' 9""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Pavel Podkolzine - 2003,"7' 3.5""","7' 5""",303,"7' 5.75""","9' 8""",16.3,0,0,19.5,"11' 3.5""",22.5,"11' 6.5""",5,13.4,3.8,76,21
Michael Fusek - 2016,"7' 3.75""","7' 4.75""",222,"7' 5""","9' 8""",NA,0,0,25,"11' 9""",31,"12' 3""",NA,12.94,3.54,NA,No
Moustapha Fall - 2014,"7' 1.5""","7' 2.5""",235,"7' 6.75""","9' 7.5""",NA,0,0,22.5,"11' 6""",28.5,"12' 0""",NA,12.68,3.68,NA,No
Guy Marc-Michel - 2011,"6' 11.5""","7' 1""",267,"7' 6""","9' 7""",11.6,9.5,0,23.5,"11' 6.5""",26,"11' 9""",NA,NA,4.32,NA,No
Boban Marjanovic - 2009,"7' 2.25""","7' 3""",293,"7' 8""","9' 7""",NA,0,0,19,"11' 2""",23,"11' 6""",NA,NA,4.48,NA,No
Rudy Gobert - 2013,"7' 0.5""","7' 2""",238,"7' 8.5""","9' 7""",4.4,9.75,10,25,"11' 8""",29,"12' 0""",7,12.85,3.57,NA,27
Sergey Ilin - 2008,NA,"7' 4""",254,"7' 5""","9' 7""",NA,0,0,17,"11' 0""",20,"11' 3""",NA,NA,NA,NA,No
Connor Vanover - 2016,NA,"7' 4""",217,"7' 3""","9' 7""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
JaVale McGee - 2008,"6' 11""","7' 0""",241,"7' 6""","9' 6.5""",5.3,0,0,27,"11' 9.5""",32.5,"12' 3""",7,12.75,3.25,NA,18
Artem Pustovyi - 2014,"7' 1.5""","7' 2.5""",224,"7' 4.25""","9' 6.5""",NA,0,0,21.5,"11' 4""",27,"11' 9.5""",NA,12.06,3.6,NA,No
Zhou Qi - 2015,NA,"7' 2""",209,"7' 6.5""","9' 6.5""",NA,9.5,10,NA,NA,NA,NA,NA,NA,NA,NA,No
Marcus Campbell - 2005,"6' 10.25""","7' 0.25""",280,"7' 6""","9' 6""",NA,0,0,NA,NA,NA,NA,9,NA,NA,79,No
Chris Marcus - 2003,"7' 0""","7' 1.5""",334,"7' 8""","9' 6""",23.1,0,0,NA,NA,NA,NA,12,NA,NA,78,No
Amadou Zaki - 2009,"6' 10.25""","6' 11""",214,"7' 5""","9' 6""",NA,0,0,0,NA,0,NA,NA,NA,0,NA,No
Lucas Nogueira - 2013,"6' 10.5""","7' 0""",220,"7' 6""","9' 6""",NA,0,0,28.4,"11' 10.40""",28,"11' 10""",NA,11.63,3.43,NA,16
