Team,Age of Player at the start of February 1st of that season.,"Pythagorean wins, i.e., expected wins based on points scored and allowed","Pythagorean losses, i.e., expected losses based on points scored and allowed",Margin of Victory,Strength of Schedule,Simple Rating System,Offensive Rating,Defensive Rating,Pace Factor,Free Throw Attempt Rate,3-Point Attempt Rate,True Shooting Percentage,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,Free Throws Per Field Goal Attempt,Opponent Effective Field Goal Percentage,Opponent Turnover Percentage,Defensive Rebound Percentage,Opponent Free Throws Per Field Goal Attempt,Arena
San Antonio Spurs,29.8,61,21,6.82,-0.13,6.69,107.3,99.6,88.5,.298,.215,.546,.513,13.6,26.0,.209,.457,13.5,74.2,.220,SBC Center
Detroit Pistons,28.5,60,22,6.67,-0.44,6.24,110.8,103.1,86.8,.297,.221,.535,.497,11.2,28.9,.216,.477,13.7,71.2,.191,The Palace of Auburn Hills
Dallas Mavericks,27.5,58,24,6.07,-0.11,5.96,111.8,105.0,87.8,.364,.175,.550,.495,13.1,31.8,.285,.475,13.7,72.2,.257,American Airlines Center
Phoenix Suns,27.5,55,27,5.55,-0.07,5.48,111.5,105.8,95.8,.206,.293,.568,.537,12.2,22.1,.166,.490,13.2,72.1,.200,America West Arena
Memphis Grizzlies,28.1,52,30,3.70,0.05,3.74,105.9,101.6,86.3,.339,.258,.537,.496,13.9,25.8,.241,.469,14.7,72.0,.237,FedEx Forum
Miami Heat,29.2,52,30,3.87,-0.27,3.59,108.7,104.5,91.6,.363,.227,.556,.517,13.9,26.7,.254,.477,12.4,76.4,.251,AmericanAirlines Arena
Los Angeles Lakers,25.1,48,34,2.50,0.03,2.53,108.4,105.7,90.9,.329,.240,.539,.495,13.1,28.8,.245,.486,13.4,73.6,.242,STAPLES Center
Cleveland Cavaliers,27.1,48,34,2.23,-0.06,2.17,107.8,105.4,89.8,.362,.228,.538,.492,13.3,28.4,.263,.490,12.8,75.7,.226,Gund Arena
Los Angeles Clippers,26.8,46,36,1.57,0.18,1.75,105.3,103.6,91.7,.332,.131,.540,.487,13.8,25.4,.263,.471,12.2,75.9,.240,STAPLES Center
Indiana Pacers,27.3,47,35,1.89,-0.27,1.62,104.5,102.4,89.7,.344,.245,.533,.487,14.8,27.1,.254,.464,13.0,72.6,.232,Conseco Fieldhouse
Sacramento Kings,27.2,45,37,1.54,0.07,1.61,106.7,105.0,91.9,.334,.217,.544,.492,13.9,25.4,.262,.488,13.7,72.2,.210,ARCO Arena (II)
Washington Wizards,26.5,46,36,1.85,-0.29,1.57,109.3,107.3,92.3,.375,.209,.538,.484,12.8,29.5,.284,.504,15.1,70.9,.256,MCI Center
New Jersey Nets,28.6,45,37,1.37,-0.26,1.11,103.9,102.4,89.8,.346,.229,.528,.478,13.3,24.0,.262,.476,14.0,76.3,.266,Continental Airlines Arena
Chicago Bulls,24.1,43,39,0.63,-0.12,0.51,104.0,103.4,92.9,.292,.219,.527,.487,13.9,26.3,.216,.464,13.9,74.7,.295,United Center
Denver Nuggets,27.4,42,40,0.23,0.13,0.36,105.5,105.2,93.9,.347,.161,.535,.488,13.7,26.8,.258,.493,14.7,72.0,.227,Pepsi Center
Milwaukee Bucks,25.5,38,44,-1.04,-0.04,-1.07,106.3,107.4,91.2,.322,.203,.535,.492,13.8,27.3,.238,.504,13.8,74.6,.262,Bradley Center
Golden State Warriors,25.6,37,45,-1.35,0.25,-1.11,104.8,106.2,93.3,.323,.270,.521,.479,13.0,26.9,.232,.492,14.1,71.6,.243,Oakland Arena
Orlando Magic,25.5,38,44,-1.07,-0.18,-1.26,106.3,107.5,88.3,.369,.129,.543,.496,14.7,28.5,.270,.490,13.0,72.5,.264,TD Waterhouse Centre
Houston Rockets,28.8,36,46,-1.59,0.28,-1.30,101.6,103.3,88.0,.317,.226,.519,.471,14.3,25.5,.240,.472,13.1,74.6,.247,Toyota Center
Boston Celtics,25.3,37,45,-1.54,-0.05,-1.59,105.2,106.9,92.2,.349,.204,.551,.504,15.7,25.5,.263,.490,13.8,72.8,.282,TD Banknorth Garden
Minnesota Timberwolves,26.7,35,47,-1.88,0.13,-1.75,102.4,104.5,88.8,.299,.149,.524,.480,14.2,25.2,.226,.475,13.4,71.3,.236,Target Center
Philadelphia 76ers,26.5,35,47,-1.95,-0.15,-2.10,106.0,108.1,92.7,.356,.158,.538,.487,13.3,25.6,.270,.500,14.3,71.3,.240,Wachovia Center
Utah Jazz,25.6,33,49,-2.63,0.14,-2.49,104.1,107.0,87.8,.397,.149,.519,.467,15.0,32.4,.286,.490,14.0,73.2,.303,Delta Center
New Orleans/Oklahoma City Hornets,26.3,33,49,-2.82,0.31,-2.51,103.7,106.8,89.0,.339,.138,.515,.464,12.9,26.9,.257,.502,14.3,73.4,.243,Ford Center
Seattle SuperSonics,25.6,33,49,-3.02,0.15,-2.88,111.1,114.4,91.6,.314,.243,.551,.504,13.7,30.4,.246,.527,13.6,69.0,.260,KeyArena at Seattle Center
