Team,Games,Minutes Played,Opponent Field Goals,Opponent Field Goal Attempts,Opponent Field Goal Percentage,Opponent 2-Point Field Goals,Opponent 2-Point Field Goal Attempts,Opponent 2-Point Field Goal Percentage,Opponent Free Throws,Opponent Free Throw Attempts,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Points
Seattle SuperSonics,82,240.9,42.4,91.6,.463,42.4,91.6,.463,19.1,25.7,.743,14.1,29.9,44.0,23.3,9.2,5.0,18.2,25.1,103.9
Golden State Warriors,82,241.2,42.6,88.5,.481,42.6,88.5,.481,19.6,26.3,.744,14.0,30.9,44.9,25.5,7.8,4.4,19.3,22.6,104.8
Atlanta Hawks,82,242.1,41.1,84.0,.489,41.1,84.0,.489,24.9,33.3,.750,14.3,29.8,44.1,23.5,7.9,6.8,21.9,26.0,107.1
Portland Trail Blazers,82,241.2,42.0,86.1,.488,42.0,86.1,.488,23.0,30.5,.755,13.2,28.7,41.8,23.9,9.7,5.1,20.1,26.9,107.1
Philadelphia 76ers,82,241.5,43.2,93.0,.464,43.2,93.0,.464,21.3,28.4,.749,15.3,30.6,45.8,25.5,9.7,4.3,19.8,26.0,107.7
Chicago Bulls,82,241.2,44.9,90.3,.497,44.9,90.3,.497,18.9,24.7,.763,13.4,29.0,42.3,26.2,10.3,6.1,17.9,25.5,108.7
Denver Nuggets,82,240.3,44.3,92.9,.477,44.3,92.9,.477,20.9,27.8,.752,14.9,29.6,44.5,26.5,9.0,5.7,18.6,27.6,109.5
Los Angeles Lakers,82,241.2,46.3,95.7,.484,46.3,95.7,.484,17.3,23.5,.733,15.7,30.3,46.0,27.2,9.0,4.4,18.8,23.9,109.9
Washington Bullets,82,241.2,46.4,97.7,.475,46.4,97.7,.475,17.1,23.1,.741,14.4,31.0,45.4,26.6,8.9,5.3,16.3,26.1,109.9
Cleveland Cavaliers,82,240.0,43.9,87.2,.503,43.9,87.2,.503,22.4,29.5,.758,13.7,31.5,45.2,25.1,8.0,6.1,19.0,24.4,110.2
Kansas City Kings,82,242.1,41.9,86.1,.486,41.9,86.1,.486,26.5,35.3,.749,14.1,31.1,45.2,21.7,8.3,5.3,22.9,27.1,110.2
Indiana Pacers,82,240.3,43.7,91.5,.478,43.7,91.5,.478,22.8,29.5,.773,15.8,31.8,47.6,26.6,8.3,5.3,19.7,25.5,110.2
New York Knicks,82,241.2,43.9,90.9,.483,43.9,90.9,.483,23.3,30.6,.761,14.9,30.4,45.3,25.8,9.2,4.6,19.0,23.9,111.1
Phoenix Suns,82,241.2,46.0,93.0,.495,46.0,93.0,.495,19.6,25.9,.755,15.1,29.6,44.7,25.5,10.9,4.9,22.5,26.1,111.7
Milwaukee Bucks,82,242.4,44.8,91.5,.490,44.8,91.5,.490,22.2,29.5,.753,15.0,29.7,44.7,28.1,9.3,5.6,21.3,23.5,111.8
New Jersey Nets,82,240.9,42.8,89.1,.480,42.8,89.1,.480,26.3,34.9,.755,15.0,32.5,47.6,26.6,10.5,6.0,23.4,26.9,111.9
Houston Rockets,82,241.2,46.3,93.0,.498,46.3,93.0,.498,19.8,27.0,.736,14.5,28.2,42.7,27.8,8.0,5.3,17.1,25.1,112.4
Detroit Pistons,82,241.2,45.8,93.0,.493,45.8,93.0,.493,21.1,28.0,.755,15.9,32.0,47.9,26.8,8.1,6.1,21.3,23.3,112.7
Boston Celtics,82,240.0,47.0,92.6,.508,47.0,92.6,.508,19.2,25.4,.759,13.7,29.9,43.6,26.5,8.7,5.3,19.5,24.7,113.3
San Antonio Spurs,82,241.8,46.3,97.2,.477,46.3,97.2,.477,21.5,28.6,.751,15.8,30.9,46.7,27.2,9.6,4.9,20.7,26.4,114.1
New Orleans Jazz,82,240.3,47.1,98.0,.481,47.1,98.0,.481,20.3,27.4,.742,18.1,32.5,50.6,27.6,11.6,6.9,19.5,25.1,114.6
San Diego Clippers,82,240.6,46.7,95.1,.491,46.7,95.1,.491,21.5,28.0,.767,15.8,28.3,44.1,23.1,9.1,4.3,18.5,25.2,114.9
