Team,Games,Minutes Played,Opponent Field Goals,Opponent Field Goal Attempts,Opponent Field Goal Percentage,Opponent 3-Point Field Goals,Opponent 3-Point Field Goal Attempts,Opponent 3-Point Field Goal Percentage,Opponent 2-Point Field Goals,Opponent 2-Point Field Goal Attempts,Opponent 2-Point Field Goal Percentage,Opponent Free Throws,Opponent Free Throw Attempts,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Points
San Antonio Spurs,82,241.8,33.4,81.2,.411,4.1,12.5,.328,29.3,68.6,.426,17.7,23.9,.740,12.4,27.3,39.7,19.0,8.9,4.6,12.7,22.5,88.5
New York Knicks,82,241.8,32.0,74.8,.428,4.0,12.7,.317,28.0,62.0,.451,21.1,28.1,.750,10.4,28.5,39.0,19.3,8.0,3.8,15.0,20.8,89.1
Chicago Bulls,82,242.1,34.1,79.1,.431,4.0,12.5,.322,30.1,66.6,.452,17.4,23.9,.729,12.4,27.3,39.7,19.5,8.0,4.3,15.5,21.6,89.6
Cleveland Cavaliers,82,241.8,32.8,75.8,.433,4.2,12.1,.344,28.6,63.7,.450,20.0,26.5,.755,11.6,27.2,38.7,21.8,8.6,5.5,17.6,23.2,89.8
Indiana Pacers,82,241.8,34.0,78.7,.432,3.3,10.6,.316,30.7,68.1,.450,18.6,25.6,.728,13.6,27.5,41.1,19.4,7.9,4.5,15.1,22.5,89.9
Miami Heat,82,240.9,33.2,77.5,.428,3.7,11.2,.331,29.5,66.3,.445,19.9,26.8,.744,12.9,27.2,40.1,19.9,7.8,4.5,14.8,22.6,90.0
Orlando Magic,82,241.8,35.7,78.8,.454,3.8,11.8,.324,31.9,67.0,.476,15.9,21.6,.736,13.3,27.7,40.9,21.2,9.1,4.7,15.4,22.8,91.2
Atlanta Hawks,82,242.4,36.1,81.7,.442,4.2,12.4,.342,31.9,69.3,.460,15.9,21.6,.735,13.2,26.2,39.4,21.4,7.5,4.5,13.6,23.1,92.3
Detroit Pistons,82,243.4,34.6,77.8,.445,4.4,13.4,.330,30.2,64.4,.469,18.9,25.3,.746,12.1,28.5,40.5,21.4,7.9,4.7,15.4,22.9,92.6
Portland Trail Blazers,82,241.8,34.3,79.5,.431,4.5,13.3,.343,29.7,66.3,.449,19.8,27.5,.722,12.3,26.8,39.2,21.5,9.4,5.4,14.1,22.2,92.9
Seattle SuperSonics,82,240.9,35.3,79.2,.446,5.1,15.7,.324,30.2,63.5,.476,17.7,24.4,.724,13.9,28.2,42.1,22.3,7.8,4.9,17.0,22.2,93.4
Phoenix Suns,82,243.4,35.6,80.7,.442,4.8,13.3,.361,30.8,67.4,.458,18.3,25.0,.732,12.8,28.6,41.4,22.0,8.8,3.9,16.6,21.6,94.4
Utah Jazz,82,241.2,34.2,77.9,.439,4.9,13.7,.357,29.3,64.2,.457,21.1,27.9,.757,12.0,24.5,36.5,20.6,7.9,5.2,14.1,26.0,94.4
Charlotte Hornets,82,241.2,36.3,78.3,.464,4.5,13.0,.347,31.8,65.3,.487,17.5,24.0,.731,11.8,27.5,39.3,22.0,7.1,4.5,15.1,23.2,94.6
Philadelphia 76ers,82,240.9,35.4,78.5,.451,4.7,13.6,.344,30.8,64.9,.474,20.1,27.6,.730,13.6,28.5,42.1,23.5,9.3,6.2,16.1,23.2,95.7
Milwaukee Bucks,82,243.0,35.5,77.1,.461,3.7,11.3,.327,31.8,65.7,.484,21.7,29.2,.743,12.2,27.6,39.8,21.3,9.3,4.9,16.4,22.0,96.4
Washington Wizards,82,241.5,36.3,79.8,.455,4.2,11.9,.356,32.0,67.8,.472,19.8,26.5,.747,12.5,30.1,42.6,21.0,7.7,4.5,16.2,23.5,96.6
Golden State Warriors,82,241.8,36.5,82.2,.444,4.1,11.7,.347,32.4,70.5,.460,20.3,27.9,.729,13.8,30.9,44.7,24.5,9.2,5.8,14.1,20.0,97.4
Dallas Mavericks,82,242.7,38.3,83.2,.460,4.7,13.8,.342,33.6,69.4,.484,16.3,22.8,.714,14.9,32.2,47.2,23.0,8.0,4.6,15.1,19.6,97.5
Los Angeles Lakers,82,241.8,36.4,82.9,.439,4.6,13.1,.355,31.8,69.9,.455,20.4,27.8,.732,13.7,28.5,42.2,22.5,8.0,5.2,15.6,26.2,97.8
New Jersey Nets,82,242.4,36.8,78.1,.471,4.3,12.6,.346,32.4,65.6,.495,20.2,27.0,.748,13.2,28.2,41.4,21.6,7.5,6.3,18.1,24.7,98.1
Boston Celtics,82,240.6,34.9,72.9,.479,3.6,11.5,.318,31.3,61.5,.509,25.0,33.6,.745,12.4,29.8,42.2,22.3,8.5,5.0,20.6,21.0,98.5
Sacramento Kings,82,240.6,37.7,82.6,.457,4.2,11.8,.356,33.5,70.8,.473,19.0,25.6,.742,14.1,30.9,45.0,22.2,8.5,5.7,15.3,21.6,98.7
Houston Rockets,82,241.8,38.7,82.5,.469,5.0,13.7,.365,33.7,68.9,.489,17.1,23.1,.744,12.7,28.4,41.1,23.3,8.9,4.5,14.3,21.3,99.5
Minnesota Timberwolves,82,243.0,37.5,83.7,.448,5.3,14.7,.358,32.2,69.0,.468,20.1,27.1,.742,13.6,29.4,43.0,23.3,7.4,5.0,15.0,22.7,100.4
Denver Nuggets,82,240.6,36.8,77.7,.473,5.1,13.5,.379,31.7,64.2,.493,22.2,29.4,.754,13.4,29.3,42.6,24.2,8.1,6.5,15.2,21.7,100.8
