Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
Zaid Abdul-Aziz,PF-C,31,TOT,16,,9.9,1.4,3.8,.383,,,,1.4,3.8,.383,.383,1.1,1.4,.739,1.2,1.9,3.1,0.6,0.2,0.2,0.9,1.8,3.9
Zaid Abdul-Aziz,C,31,BOS,2,,12.0,1.5,6.5,.231,,,,1.5,6.5,.231,.231,1.0,1.5,.667,3.0,4.5,7.5,1.5,0.5,0.5,1.5,2.0,4.0
Zaid Abdul-Aziz,PF,31,HOU,14,,9.6,1.4,3.4,.426,,,,1.4,3.4,.426,.426,1.1,1.4,.750,0.9,1.6,2.5,0.5,0.1,0.1,0.8,1.8,3.9
Kareem Abdul-Jabbar,C,30,LAL,62,,36.5,10.7,19.4,.550,,,,10.7,19.4,.550,.550,4.4,5.6,.783,3.0,9.9,12.9,4.3,1.7,3.0,3.4,2.9,25.8
Tom Abernethy,SF,23,LAL,73,,18.0,2.8,5.5,.498,,,,2.8,5.5,.498,.498,1.2,1.5,.820,1.4,2.2,3.6,1.4,0.8,0.3,0.7,1.7,6.8
Alvan Adams,C,23,PHO,70,,27.3,6.2,12.8,.485,,,,6.2,12.8,.485,.485,3.1,4.2,.730,2.3,5.8,8.1,3.2,1.2,0.9,3.3,3.5,15.5
Lucius Allen,PG,30,KCK,77,,27.9,4.8,11.0,.441,,,,4.8,11.0,.441,.441,2.3,2.9,.791,0.9,2.1,3.0,4.7,1.2,0.4,2.8,2.3,11.9
Jim Ard,C,29,TOT,15,,8.3,0.5,1.1,.471,,,,0.5,1.1,.471,.471,0.2,0.3,.600,0.6,1.8,2.4,0.5,0.0,0.0,0.9,1.3,1.3
Jim Ard,C,29,BOS,1,,9.0,0.0,1.0,.000,,,,0.0,1.0,.000,.000,1.0,2.0,.500,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0
Jim Ard,C,29,CHI,14,,8.3,0.6,1.1,.500,,,,0.6,1.1,.500,.500,0.1,0.2,.667,0.6,1.7,2.3,0.5,0.0,0.0,1.0,1.3,1.3
Tate Armstrong,SG,22,CHI,66,,10.8,2.0,4.2,.468,,,,2.0,4.2,.468,.468,0.3,0.4,.815,0.4,0.7,1.0,1.1,0.3,0.0,0.9,0.6,4.3
Bird Averitt,SG,25,TOT,55,,19.7,3.6,8.8,.409,,,,3.6,8.8,.409,.409,1.8,2.6,.709,0.3,1.2,1.5,3.6,0.7,0.2,2.6,2.2,9.0
Bird Averitt,SG,25,NJN,21,,19.5,3.3,9.0,.367,,,,3.3,9.0,.367,.367,1.7,2.1,.800,0.3,1.2,1.6,3.2,0.8,0.0,2.6,1.8,8.3
Bird Averitt,SG,25,BUF,34,,19.9,3.8,8.7,.436,,,,3.8,8.7,.436,.436,1.9,2.8,.667,0.3,1.2,1.5,3.8,0.6,0.2,2.6,2.5,9.5
Dennis Awtrey,C,29,PHO,81,,20.0,1.4,3.3,.424,,,,1.4,3.3,.424,.424,0.9,1.3,.633,1.2,2.5,3.7,2.0,0.2,0.3,1.6,1.9,3.6
Gus Bailey,SG,26,NOJ,48,,9.4,1.2,2.9,.424,,,,1.2,2.9,.424,.424,0.8,1.4,.552,0.9,0.8,1.7,0.8,0.4,0.3,0.7,1.0,3.2
Greg Ballard,SF,23,WSB,76,,12.3,1.9,4.4,.425,,,,1.9,4.4,.425,.425,1.2,1.5,.772,1.3,2.2,3.5,0.8,0.4,0.2,0.8,1.2,4.9
Mike Bantom,SF,26,IND,82,,33.8,6.1,12.8,.479,,,,6.1,12.8,.479,.479,3.1,4.2,.743,2.2,5.2,7.4,2.9,1.2,0.6,2.7,4.1,15.3
Marvin Barnes,PF,25,TOT,60,,27.4,4.7,11.0,.422,,,,4.7,11.0,.422,.422,2.1,3.0,.703,2.3,5.1,7.3,2.3,1.1,1.4,2.3,4.0,11.4
Marvin Barnes,PF,25,DET,12,,22.4,4.4,9.8,.449,,,,4.4,9.8,.449,.449,1.2,2.4,.483,2.3,5.3,7.6,1.6,0.6,0.9,2.4,3.6,10.0
Marvin Barnes,PF,25,BUF,48,,28.7,4.7,11.3,.416,,,,4.7,11.3,.416,.416,2.4,3.2,.745,2.2,5.0,7.3,2.4,1.2,1.5,2.2,4.1,11.8
Rick Barry,SF,33,GSW,82,,36.9,9.3,20.6,.451,,,,9.3,20.6,.451,.451,4.6,5.0,.924,0.9,4.6,5.5,5.4,1.9,0.5,2.7,2.3,23.1
Tim Bassett,PF,26,NJN,65,,22.7,2.3,5.9,.388,,,,2.3,5.9,.388,.388,0.8,1.5,.515,2.2,4.0,6.2,1.0,1.0,0.5,1.2,2.8,5.4
Butch Beard,PG,30,NYK,79,,25.1,3.9,7.8,.502,,,,3.9,7.8,.502,.502,1.6,2.0,.806,1.0,2.4,3.3,4.3,1.5,0.0,1.9,2.5,9.4
Ron Behagen,PF,27,TOT,80,,21.7,4.3,10.1,.430,,,,4.3,10.1,.430,.430,2.2,3.1,.725,2.5,3.9,6.4,1.3,0.8,0.4,2.2,3.3,10.9
Ron Behagen,PF,27,ATL,26,,22.0,4.5,9.6,.470,,,,4.5,9.6,.470,.470,2.0,2.7,.729,2.0,4.6,6.7,1.3,1.2,0.5,2.2,3.7,11.0
Ron Behagen,PF,27,HOU,3,,11.0,2.3,3.7,.636,,,,2.3,3.7,.636,.636,0.0,0.3,.000,0.7,1.7,2.3,0.7,0.0,0.0,1.0,2.0,4.7
Ron Behagen,PF,27,IND,51,,22.2,4.4,10.7,.408,,,,4.4,10.7,.408,.408,2.5,3.5,.727,2.9,3.7,6.5,1.3,0.6,0.4,2.2,3.1,11.2
Mel Bennett,PF,23,IND,31,,9.2,0.7,2.6,.284,,,,0.7,2.6,.284,.284,0.9,1.5,.622,1.6,1.4,3.0,0.7,0.4,0.2,1.0,1.7,2.4
Kent Benson,C,23,MIL,69,,18.7,3.2,6.9,.465,,,,3.2,6.9,.465,.465,1.3,2.0,.652,1.3,3.0,4.3,1.4,1.0,0.8,1.7,2.6,7.7
Henry Bibby,PG,28,PHI,82,,30.7,3.5,8.0,.434,,,,3.5,8.0,.434,.434,2.1,2.7,.781,0.8,2.3,3.1,5.7,1.1,0.1,1.9,2.5,9.1
Bob Bigelow,SF,24,TOT,5,,4.8,0.8,2.6,.308,,,,0.8,2.6,.308,.308,0.0,0.0,,0.6,1.2,1.8,0.0,0.0,0.0,0.0,0.6,1.6
Bob Bigelow,SF,24,KCK,1,,7.0,1.0,1.0,1.000,,,,1.0,1.0,1.000,1.000,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0
Bob Bigelow,SF,24,BOS,4,,4.3,0.8,3.0,.250,,,,0.8,3.0,.250,.250,0.0,0.0,,0.3,0.8,1.0,0.0,0.0,0.0,0.0,0.3,1.5
Dave Bing,PG,34,BOS,80,,28.2,5.3,11.8,.449,,,,5.3,11.8,.449,.449,3.1,3.7,.824,1.0,1.7,2.7,3.8,1.0,0.2,2.7,3.1,13.6
Otis Birdsong,SG,22,KCK,73,,25.7,6.4,13.1,.492,,,,6.4,13.1,.492,.492,3.0,4.2,.697,1.0,1.4,2.4,2.4,1.0,0.2,2.0,2.5,15.8
Tom Boerwinkle,C,32,CHI,22,,10.3,1.0,2.3,.460,,,,1.0,2.3,.460,.460,0.5,0.6,.769,0.6,2.0,2.7,2.0,0.1,0.2,1.2,1.6,2.5
