Team,Games,Minutes Played,Field Goal Percentage,Average distance (ft.) of FGA,% of FGAs that are 2-Pt FGAs.,% of FGAs that are 0-3 feet from the basket.,% of FGAs that are 3-10 feet from the basket.,% of FGAs that are 10-16 feet from the basket.,% of FGAs that are 2-Pt shotsand 16+ feet from the basket.,% of FGAs that are 3-Pt FGAs.,2-Point Field Goal Percentage,FG% on FGAs that are 0-3 feet from the basket.,FG% on FGAs that are 3-10 feet from the basket.,FG% on FGAs that are 10-16 feet from the basket.,FG% on 2-Pt FGAs that are 16+ feet from the basket.,3-Point Field Goal Percentage,% of 2-Pt FGs that are assisted.,% of all FGAs that are dunk attempts.,FGs that are dunks.,% of 3-Pt FGs that are assisted.,% of 3PAs from the corner.,3P% on 3PAs from the corner.,Heave attempts (beyond half-court),Heaves made (beyond half-court)
Atlanta Hawks,82,19730,.431,11.4,.860,.258,.190,.214,.198,.140,.443,.612,.320,.387,.403,.357,.507,.037,224,.811,.228,.371,10,1
Boston Celtics,82,19830,.428,12.5,.748,.287,.161,.121,.180,.252,.450,.571,.344,.385,.393,.363,.532,.019,104,.926,.261,.390,12,0
Charlotte Hornets,82,19880,.431,12.2,.849,.270,.134,.180,.265,.151,.446,.595,.386,.363,.381,.346,.650,.038,204,.885,.178,.406,9,1
Chicago Bulls,82,19855,.424,12.0,.852,.275,.151,.175,.251,.148,.438,.569,.360,.390,.375,.346,.634,.033,176,.894,.132,.360,5,0
Cleveland Cavaliers,82,19830,.442,10.9,.899,.280,.201,.190,.228,.101,.455,.622,.335,.410,.392,.334,.564,.034,197,.914,.338,.359,22,1
Dallas Mavericks,82,19805,.459,12.3,.798,.257,.165,.166,.210,.202,.479,.656,.347,.413,.419,.381,.513,.031,192,.816,.234,.355,14,0
Denver Nuggets,82,19780,.433,12.3,.790,.295,.137,.138,.221,.210,.454,.615,.357,.366,.354,.355,.620,.048,288,.861,.295,.380,5,0
Detroit Pistons,82,19855,.424,12.2,.838,.295,.109,.150,.284,.162,.439,.571,.319,.350,.394,.350,.513,.036,226,.848,.277,.377,5,0
Golden State Warriors,82,19780,.409,11.5,.866,.240,.226,.159,.241,.134,.427,.653,.313,.336,.371,.293,.588,.024,149,.809,.197,.337,8,1
Houston Rockets,82,19830,.453,12.2,.783,.306,.141,.133,.204,.217,.480,.636,.356,.398,.385,.357,.498,.040,233,.792,.254,.391,15,2
Indiana Pacers,82,19980,.440,12.6,.820,.221,.201,.157,.241,.180,.461,.621,.374,.423,.412,.342,.580,.037,222,.889,.329,.367,7,0
Los Angeles Clippers,82,20030,.448,11.3,.836,.273,.226,.152,.184,.164,.469,.637,.410,.353,.391,.339,.505,.043,242,.847,.155,.364,4,0
Los Angeles Lakers,82,19905,.465,11.9,.809,.285,.186,.137,.201,.191,.494,.671,.382,.402,.407,.344,.565,.055,350,.866,.170,.378,12,0
Miami Heat,82,19880,.430,13.0,.779,.250,.149,.146,.233,.221,.455,.582,.376,.389,.409,.345,.560,.029,152,.812,.210,.379,14,0
Milwaukee Bucks,82,19780,.458,13.2,.782,.224,.121,.258,.179,.218,.480,.596,.413,.454,.415,.379,.529,.033,200,.879,.274,.411,15,3
Minnesota Timberwolves,82,19830,.458,12.5,.869,.236,.164,.155,.315,.131,.473,.628,.387,.403,.438,.357,.637,.028,177,.882,.262,.398,9,0
New Jersey Nets,82,19730,.425,11.6,.835,.322,.137,.132,.243,.165,.443,.579,.366,.315,.374,.333,.543,.039,219,.798,.199,.333,11,1
New York Knicks,82,19905,.444,11.9,.820,.270,.163,.184,.203,.180,.465,.594,.395,.388,.420,.351,.506,.022,117,.826,.227,.415,9,0
Orlando Magic,82,19955,.438,12.6,.804,.290,.117,.137,.260,.196,.456,.584,.368,.361,.404,.364,.548,.033,210,.859,.159,.388,14,0
Philadelphia 76ers,82,19855,.447,10.8,.876,.276,.206,.211,.184,.124,.464,.710,.289,.358,.414,.326,.554,.027,163,.878,.234,.388,8,0
Phoenix Suns,82,19805,.436,11.9,.844,.262,.172,.164,.246,.156,.458,.610,.352,.387,.418,.315,.615,.039,229,.898,.284,.311,13,0
Portland Trail Blazers,82,19780,.468,11.9,.835,.299,.153,.129,.254,.165,.492,.635,.391,.409,.425,.349,.629,.049,293,.829,.218,.343,8,0
Sacramento Kings,82,20080,.449,11.8,.806,.295,.185,.097,.230,.194,.472,.644,.363,.384,.377,.354,.554,.035,224,.797,.250,.364,20,2
San Antonio Spurs,82,19830,.461,11.9,.825,.260,.183,.178,.205,.175,.472,.652,.359,.400,.406,.407,.569,.053,304,.876,.345,.485,12,1
Seattle SuperSonics,82,19805,.456,10.7,.824,.305,.226,.129,.164,.176,.468,.643,.356,.363,.377,.399,.538,.036,223,.886,.237,.401,9,0
Toronto Raptors,82,19955,.437,12.8,.833,.264,.124,.145,.300,.167,.451,.602,.350,.373,.397,.369,.630,.032,202,.828,.223,.396,15,0
Utah Jazz,82,19780,.471,10.9,.865,.348,.134,.124,.259,.135,.485,.625,.369,.382,.404,.381,.693,.037,206,.874,.271,.446,7,0
Vancouver Grizzlies,82,19780,.439,12.9,.855,.217,.184,.130,.323,.145,.455,.630,.359,.375,.424,.343,.635,.039,231,.874,.267,.316,3,0
Washington Wizards,82,19680,.439,11.3,.869,.249,.219,.199,.202,.131,.456,.625,.356,.397,.415,.324,.563,.030,177,.753,.216,.361,3,0
