Team,Games,Minutes Played,Field Goal Percentage,Average distance (ft.) of FGA,% of FGAs that are 2-Pt FGAs.,% of FGAs that are 0-3 feet from the basket.,% of FGAs that are 3-10 feet from the basket.,% of FGAs that are 10-16 feet from the basket.,% of FGAs that are 2-Pt shotsand 16+ feet from the basket.,% of FGAs that are 3-Pt FGAs.,2-Point Field Goal Percentage,FG% on FGAs that are 0-3 feet from the basket.,FG% on FGAs that are 3-10 feet from the basket.,FG% on FGAs that are 10-16 feet from the basket.,FG% on 2-Pt FGAs that are 16+ feet from the basket.,3-Point Field Goal Percentage,% of 2-Pt FGs that are assisted.,% of all FGAs that are dunk attempts.,FGs that are dunks.,% of all team FGAs that are layup attempts.,Team FGs that are layups.,% of 3-Pt FGs that are assisted.,% of 3PAs from the corner.,3P% on 3PAs from the corner.,Heave attempts (beyond half-court),Heaves made (beyond half-court)
Atlanta Hawks,66,16165,.454,13.2,.751,.277,.153,.074,.247,.249,.482,.630,.430,.397,.373,.370,.532,.048,233,.225,699,.915,.340,.398,8,1
Boston Celtics,66,15940,.460,12.9,.806,.280,.116,.145,.266,.194,.483,.637,.333,.418,.420,.367,.620,.049,223,.228,670,.909,.309,.439,4,0
Charlotte Bobcats,66,15890,.414,12.8,.831,.290,.125,.108,.309,.169,.439,.592,.322,.377,.363,.295,.584,.049,229,.231,647,.757,.158,.340,12,0
Chicago Bulls,66,15940,.452,12.6,.795,.297,.142,.116,.241,.205,.471,.605,.415,.405,.372,.375,.581,.046,231,.235,717,.807,.261,.375,13,0
Cleveland Cavaliers,66,15965,.422,11.7,.763,.326,.188,.081,.167,.238,.446,.599,.322,.326,.343,.346,.516,.044,211,.263,799,.836,.236,.359,6,0
Dallas Mavericks,66,16065,.443,13.4,.729,.240,.167,.148,.175,.271,.482,.658,.355,.409,.422,.339,.509,.051,248,.174,568,.829,.228,.350,10,0
Denver Nuggets,66,16040,.476,11.0,.757,.404,.151,.077,.125,.243,.522,.645,.372,.392,.386,.332,.553,.078,386,.315,993,.920,.313,.361,22,1
Detroit Pistons,66,15965,.438,11.4,.825,.329,.172,.107,.216,.175,.457,.589,.360,.375,.376,.346,.488,.035,145,.268,782,.849,.239,.356,14,0
Golden State Warriors,66,15915,.457,13.4,.752,.259,.166,.091,.236,.248,.480,.647,.343,.428,.413,.388,.516,.049,241,.198,639,.870,.274,.457,13,1
Houston Rockets,66,16065,.449,12.7,.760,.250,.202,.120,.189,.240,.477,.655,.374,.398,.403,.359,.504,.036,173,.221,762,.816,.287,.435,9,0
Indiana Pacers,66,15990,.438,11.9,.802,.269,.219,.127,.187,.198,.455,.584,.404,.382,.379,.368,.455,.038,178,.227,674,.855,.277,.363,12,1
Los Angeles Clippers,66,15965,.455,13.7,.731,.256,.159,.083,.234,.269,.490,.663,.408,.403,.389,.357,.500,.088,407,.173,551,.823,.288,.357,10,0
Los Angeles Lakers,66,16065,.457,12.5,.791,.258,.212,.117,.205,.209,.491,.671,.400,.397,.414,.326,.575,.062,307,.181,595,.820,.283,.346,9,1
Memphis Grizzlies,66,15940,.447,11.7,.843,.298,.192,.134,.219,.157,.470,.628,.386,.384,.381,.326,.491,.049,231,.230,739,.852,.226,.370,20,1
Miami Heat,66,16040,.469,12.1,.802,.309,.157,.119,.218,.198,.496,.650,.397,.442,.381,.359,.485,.066,310,.234,714,.841,.330,.365,5,1
Milwaukee Bucks,66,15865,.443,12.4,.776,.308,.146,.120,.202,.224,.471,.610,.354,.393,.390,.345,.578,.030,154,.256,857,.817,.242,.366,8,0
Minnesota Timberwolves,66,15940,.433,12.7,.738,.310,.157,.086,.186,.262,.469,.620,.342,.335,.388,.332,.474,.041,206,.244,765,.841,.256,.360,9,0
New Jersey Nets,66,15890,.425,13.8,.722,.255,.134,.126,.207,.278,.457,.570,.414,.396,.384,.342,.519,.042,194,.205,576,.789,.267,.347,8,1
New Orleans Hornets,66,15940,.451,11.8,.848,.267,.207,.149,.225,.152,.472,.625,.390,.408,.407,.333,.564,.039,190,.230,670,.834,.266,.372,4,0
New York Knicks,66,15940,.443,13.0,.712,.316,.130,.085,.181,.288,.487,.648,.317,.371,.381,.336,.477,.075,364,.231,712,.865,.245,.350,12,0
Oklahoma City Thunder,66,15990,.471,12.6,.748,.294,.148,.130,.175,.252,.509,.671,.378,.389,.436,.358,.419,.078,377,.204,620,.828,.183,.411,9,0
Orlando Magic,66,15965,.441,13.9,.654,.286,.153,.063,.152,.346,.475,.636,.371,.330,.338,.375,.474,.050,232,.224,682,.836,.216,.420,8,0
Philadelphia 76ers,66,15915,.448,12.5,.825,.232,.182,.187,.225,.175,.466,.642,.395,.405,.393,.362,.553,.043,219,.177,570,.799,.208,.325,5,0
Phoenix Suns,66,15840,.458,13.3,.762,.253,.165,.118,.226,.238,.494,.678,.388,.384,.424,.343,.549,.037,191,.204,731,.811,.238,.354,11,0
