Team,Games,Minutes Played,Opponent Field Goals,Opponent Field Goal Attempts,Opponent Field Goal Percentage,Opponent 2-Point Field Goals,Opponent 2-Point Field Goal Attempts,Opponent 2-Point Field Goal Percentage,Opponent Free Throws,Opponent Free Throw Attempts,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Points
Portland Trail Blazers,82,240.6,40.1,89.2,.449,40.1,89.2,.449,21.3,27.8,.766,14.5,30.8,45.2,22.2,9.1,4.8,19.8,25.5,101.5
Seattle SuperSonics,82,241.2,41.3,90.0,.459,41.3,90.0,.459,20.4,26.9,.758,13.7,31.7,45.4,23.9,9.0,5.0,20.1,25.2,102.9
Atlanta Hawks,82,241.8,38.6,81.4,.474,38.6,81.4,.474,26.7,35.7,.748,14.1,31.8,45.9,21.6,9.1,5.9,24.1,25.9,103.9
Cleveland Cavaliers,82,242.4,42.4,92.9,.456,42.4,92.9,.456,19.2,25.8,.745,14.8,33.9,48.7,23.4,8.4,5.4,18.0,23.8,103.9
Chicago Bulls,82,240.9,43.5,88.7,.490,43.5,88.7,.490,17.9,24.1,.740,13.0,28.9,41.9,25.3,9.5,5.5,18.0,26.8,104.8
Golden State Warriors,82,241.2,41.8,89.9,.465,41.8,89.9,.465,22.2,29.4,.756,14.5,34.1,48.5,24.8,8.9,5.0,21.2,24.1,105.7
Los Angeles Lakers,82,241.5,44.5,96.1,.463,44.5,96.1,.463,18.6,25.0,.746,16.6,31.7,48.3,25.3,9.2,4.6,19.1,23.4,107.6
Boston Celtics,82,241.8,43.2,94.6,.456,43.2,94.6,.456,21.4,27.8,.769,13.9,31.4,45.3,24.2,9.3,4.6,17.2,22.8,107.7
Houston Rockets,82,240.6,43.5,90.3,.482,43.5,90.3,.482,20.7,27.3,.759,14.6,30.8,45.4,24.3,7.4,4.4,17.2,21.4,107.8
Phoenix Suns,82,241.2,43.6,93.0,.469,43.6,93.0,.469,21.3,28.3,.754,14.7,33.5,48.1,24.2,11.4,4.5,24.0,26.6,108.6
Buffalo Braves,82,241.5,44.2,92.8,.476,44.2,92.8,.476,20.7,27.4,.753,14.4,31.5,45.9,26.1,8.8,4.6,18.0,24.4,109.0
Washington Bullets,82,241.8,45.9,98.4,.467,45.9,98.4,.467,17.5,23.1,.758,14.2,32.7,46.9,26.1,9.5,5.2,17.5,28.2,109.4
New Orleans Jazz,82,241.2,44.6,96.8,.461,44.6,96.8,.461,20.3,27.0,.751,15.5,33.5,49.0,25.4,10.4,5.8,18.4,25.1,109.5
Philadelphia 76ers,82,241.8,43.8,95.0,.461,43.8,95.0,.461,22.0,29.7,.740,16.6,30.2,46.8,25.5,10.0,4.2,20.8,27.9,109.6
Detroit Pistons,82,242.1,45.0,94.0,.479,45.0,94.0,.479,20.3,26.5,.763,15.2,30.4,45.6,25.7,11.0,4.8,21.0,25.5,110.2
Denver Nuggets,82,241.8,44.9,95.1,.472,44.9,95.1,.472,21.2,28.8,.736,15.5,31.0,46.5,27.4,10.7,6.4,19.8,27.1,110.9
Indiana Pacers,82,241.8,44.3,93.5,.474,44.3,93.5,.474,22.5,29.9,.750,16.5,34.1,50.5,27.5,8.9,5.7,21.5,26.0,111.1
San Antonio Spurs,82,241.2,46.4,98.3,.472,46.4,98.3,.472,18.2,24.3,.748,16.4,31.4,47.8,26.2,10.2,4.6,20.3,25.1,111.1
Kansas City Kings,82,241.8,43.5,91.7,.474,43.5,91.7,.474,24.4,32.1,.761,15.0,32.7,47.8,23.5,9.7,5.0,20.7,25.5,111.4
New Jersey Nets,82,242.7,43.2,92.9,.465,43.2,92.9,.465,26.0,34.5,.754,16.0,36.5,52.5,25.3,10.4,6.8,22.7,24.4,112.5
Milwaukee Bucks,82,243.7,45.3,94.2,.481,45.3,94.2,.481,22.3,29.3,.762,15.0,31.9,47.0,27.4,9.6,5.7,21.7,24.6,113.0
New York Knicks,82,244.0,44.6,94.4,.472,44.6,94.4,.472,24.7,34.0,.729,15.3,32.0,47.3,25.8,10.7,4.4,20.5,24.3,114.0
