,Atlanta Hawks,Boston Celtics,Brooklyn Nets,Charlotte Bobcats,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Dallas Mavericks,Denver Nuggets,Detroit Pistons,Golden State Warriors,Houston Rockets,Indiana Pacers,Kansas City Kings,Los Angeles Clippers,Los Angeles Lakers,Memphis Grizzlies,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,New Jersey Nets,New Orleans Hornets,New Orleans Pelicans,New Orleans/Oklahoma City Hornets,New York Knicks,Oklahoma City Thunder,Orlando Magic,Philadelphia 76ers,Phoenix Suns,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,San Diego Clippers,Seattle SuperSonics,Toronto Raptors,Utah Jazz,Vancouver Grizzlies,Washington Bullets,Washington Wizards
1981,0.48,0.509,,,,0.504,0.47200000000000003,0.466,0.47700000000000004,0.46399999999999997,0.493,0.489,0.484,0.503,,0.513,,,0.5,,0.478,,,,0.48700000000000004,,,0.515,0.49200000000000005,0.498,,0.49200000000000005,0.486,0.47,,0.491,,0.47600000000000003,
1982,0.47600000000000003,0.502,,,,0.505,0.466,0.473,0.522,0.485,0.502,0.479,0.47200000000000003,0.49700000000000005,,0.518,,,0.509,,0.48700000000000004,,,,0.495,,,0.521,0.495,0.507,,0.49,0.507,0.491,,0.496,,0.478,
1983,0.47200000000000003,0.494,,,,0.483,0.467,0.489,0.495,0.48100000000000004,0.485,0.45299999999999996,0.483,0.5,,0.528,,,0.491,,0.494,,,,0.484,,,0.501,0.499,0.488,,0.51,0.479,0.496,,0.483,,0.473,
1984,0.47600000000000003,0.504,,,,0.475,0.46799999999999997,0.503,0.498,0.48200000000000004,0.47100000000000003,0.49700000000000005,0.48700000000000004,0.49,,0.536,,,0.49700000000000005,,0.501,,,,0.499,,,0.49700000000000005,0.514,0.507,,0.511,0.498,0.49,,0.505,,0.489,
1985,0.489,0.515,,,,0.502,0.478,0.499,0.491,0.483,0.47,0.507,0.478,0.508,0.499,0.551,,,0.49700000000000005,,0.493,,,,0.48700000000000004,,,0.49700000000000005,0.49700000000000005,0.506,,0.517,,0.47700000000000004,,0.483,,0.486,
1986,0.493,0.518,,,,0.48700000000000004,0.49,0.51,0.475,0.488,0.488,0.496,0.483,,0.47700000000000004,0.532,,,0.501,,0.489,,,,0.466,,,0.49,0.506,0.501,0.49200000000000005,0.509,,0.478,,0.49,,0.47100000000000003,
1987,0.49,0.532,,,,0.478,0.47600000000000003,0.503,0.478,0.49200000000000005,0.48700000000000004,0.483,0.478,,0.457,0.528,,,0.48700000000000004,,0.48700000000000004,,,,0.483,,,0.49700000000000005,0.501,0.51,0.48,0.48200000000000004,,0.495,,0.473,,0.457,
1988,0.491,0.541,,,,0.494,0.5,0.485,0.486,0.49700000000000005,0.474,0.47600000000000003,0.49200000000000005,,0.449,0.515,,,0.485,,0.478,,,,0.47700000000000004,,,0.485,0.494,0.499,0.48100000000000004,0.499,,0.491,,0.5,,0.47,
1989,0.48,0.498,,,0.47,0.507,0.514,0.484,0.48200000000000004,0.502,0.48,0.486,0.502,,0.478,0.518,,0.45899999999999996,0.48700000000000004,,0.474,,,,0.512,,,0.5,0.509,0.488,0.478,0.47200000000000003,,0.496,,0.491,,0.467,
1990,0.496,0.506,,,0.47,0.516,0.485,0.48700000000000004,0.478,0.49,0.501,0.491,0.518,,0.488,0.512,,0.467,0.488,0.451,0.435,,,,0.501,,0.467,0.502,0.509,0.486,0.484,0.488,,0.494,,0.522,,0.47700000000000004,
1991,0.48200000000000004,0.52,,,0.47700000000000004,0.521,0.48700000000000004,0.485,0.457,0.474,0.504,0.489,0.511,,0.47100000000000003,0.5,,0.469,0.499,0.456,0.455,,,,0.498,,0.473,0.489,0.506,0.509,0.46799999999999997,0.494,,0.501,,0.503,,0.47,
1992,0.48100000000000004,0.5,,,0.485,0.518,0.506,0.45799999999999996,0.451,0.47700000000000004,0.524,0.499,0.518,,0.483,0.465,,0.479,0.486,0.467,0.473,,,,0.491,,0.467,0.488,0.508,0.495,0.48200000000000004,0.485,,0.489,,0.504,,0.47100000000000003,
1993,0.493,0.495,,,0.499,0.499,0.518,0.455,0.47,0.473,0.502,0.515,0.498,,0.493,0.486,,0.48100000000000004,0.495,0.479,0.473,,,,0.479,,0.509,0.479,0.521,0.47600000000000003,0.48100000000000004,0.507,,0.502,,0.498,,0.48,
1994,0.48,0.48200000000000004,,,0.5,0.493,0.48700000000000004,0.449,0.478,0.47700000000000004,0.512,0.507,0.5,,0.484,0.466,,0.488,0.47100000000000003,0.47100000000000003,0.461,,,,0.483,,0.514,0.478,0.509,0.47200000000000003,0.47100000000000003,0.494,,0.501,,0.49,,0.484,
1995,0.48700000000000004,0.491,,,0.517,0.509,0.47200000000000003,0.466,0.511,0.499,0.508,0.529,0.507,,0.46799999999999997,0.5,,0.499,0.496,0.475,0.467,,,,0.508,,0.539,0.475,0.524,0.483,0.496,0.516,,0.527,,0.535,,0.49200000000000005,
1996,0.49,0.494,,,0.514,0.517,0.51,0.47,0.48100000000000004,0.504,0.489,0.512,0.509,,0.511,0.515,,0.501,0.495,0.48,0.445,,,,0.509,,0.529,0.474,0.498,0.494,0.493,0.516,,0.526,0.499,0.517,0.456,0.521,
1997,0.498,0.474,,,0.518,0.511,0.493,0.469,0.486,0.512,0.493,0.52,0.49,,0.48200000000000004,0.496,,0.507,0.496,0.485,0.456,,,,0.501,,0.48100000000000004,0.47,0.508,0.503,0.485,0.47200000000000003,,0.51,0.48100000000000004,0.53,0.47100000000000003,0.505,
1998,0.48100000000000004,0.46399999999999997,,,0.495,0.473,0.478,0.45799999999999996,0.44,0.47200000000000003,0.42700000000000005,0.496,0.502,,0.47700000000000004,0.519,,0.494,0.475,0.483,0.46299999999999997,,,,0.47600000000000003,,0.452,0.462,0.5,0.47600000000000003,0.46399999999999997,0.493,,0.521,0.462,0.51,0.48200000000000004,,0.47600000000000003
1999,0.436,0.469,,,0.485,0.424,0.46399999999999997,0.45899999999999996,0.45899999999999996,0.48,0.434,0.506,0.486,,0.45399999999999996,0.498,,0.494,0.489,0.439,0.434,,,,0.46299999999999997,,0.456,0.439,0.48100000000000004,0.473,0.479,0.479,,0.48100000000000004,0.45,0.485,0.447,,0.46799999999999997
2000,0.46,0.474,,,0.475,0.44299999999999995,0.46799999999999997,0.49,0.47600000000000003,0.49200000000000005,0.444,0.494,0.503,,0.45799999999999996,0.484,,0.495,0.494,0.485,0.46799999999999997,,,,0.48200000000000004,,0.473,0.457,0.491,0.501,0.486,0.488,,0.48700000000000004,0.46399999999999997,0.49,0.474,,0.47600000000000003
2001,0.456,0.473,,,0.457,0.45,0.45899999999999996,0.498,0.47,0.45299999999999996,0.429,0.49200000000000005,0.47100000000000003,,0.47600000000000003,0.498,,0.469,0.499,0.48200000000000004,0.452,,,,0.47600000000000003,,0.474,0.46799999999999997,0.46,0.49700000000000005,0.484,0.496,,0.491,0.46799999999999997,0.49700000000000005,0.46399999999999997,,0.46
2002,0.47100000000000003,0.47600000000000003,,,0.466,0.456,0.47700000000000004,0.507,0.455,0.49700000000000005,0.452,0.465,0.47700000000000004,,0.47600000000000003,0.498,0.462,0.46299999999999997,0.507,0.49,0.47600000000000003,,,,0.46799999999999997,,0.493,0.452,0.47200000000000003,0.485,0.49700000000000005,0.49200000000000005,,0.505,0.46299999999999997,0.47200000000000003,,,0.46399999999999997
2003,0.47600000000000003,0.47,,,,0.47100000000000003,0.444,0.498,0.428,0.473,0.47200000000000003,0.474,0.469,,0.467,0.486,0.48700000000000004,0.439,0.5,0.488,0.46799999999999997,0.465,,,0.486,,0.478,0.466,0.473,0.489,0.499,0.49700000000000005,,0.47200000000000003,0.45799999999999996,0.486,,,0.46
2004,0.465,0.486,,,,0.446,0.451,0.495,0.467,0.461,0.475,0.484,0.47100000000000003,,0.45299999999999996,0.48100000000000004,0.479,0.46299999999999997,0.47700000000000004,0.486,0.47100000000000003,0.46,,,0.474,,0.461,0.456,0.475,0.478,0.507,0.473,,0.501,0.45399999999999996,0.456,,,0.45399999999999996
2005,0.46399999999999997,0.501,,0.455,,0.47100000000000003,0.47,0.49200000000000005,0.483,0.47200000000000003,0.475,0.486,0.47600000000000003,,0.47700000000000004,0.485,0.489,0.524,0.475,0.489,0.46299999999999997,0.446,,,0.485,,0.478,0.475,0.534,0.484,0.496,0.49200000000000005,,0.495,0.49200000000000005,0.469,,,0.474
2006,0.486,0.504,,0.46399999999999997,,0.48700000000000004,0.49200000000000005,0.495,0.488,0.49700000000000005,0.479,0.47100000000000003,0.48700000000000004,,0.48700000000000004,0.495,0.496,0.517,0.49200000000000005,0.48,0.478,,,0.46399999999999997,0.48100000000000004,,0.496,0.48700000000000004,0.537,0.474,0.49200000000000005,0.513,,0.504,0.5,0.467,,,0.484
2007,0.47100000000000003,0.479,,0.48,,0.493,0.484,0.509,0.501,0.488,0.512,0.499,0.474,,0.48100000000000004,0.511,0.504,0.506,0.504,0.49,0.504,,,0.479,0.494,,0.5,0.48,0.551,0.483,0.491,0.521,,0.499,0.504,0.502,,,0.491
2008,0.483,0.522,,0.49200000000000005,,0.47,0.48,0.502,0.51,0.495,0.511,0.49200000000000005,0.498,,0.465,0.525,0.5,0.48200000000000004,0.48200000000000004,0.484,0.48100000000000004,0.512,,,0.475,,0.537,0.48200000000000004,0.551,0.489,0.503,0.504,,0.467,0.511,0.528,,,0.489
2009,0.504,0.528,,0.494,,0.493,0.519,0.504,0.512,0.483,0.49700000000000005,0.501,0.501,,0.48100000000000004,0.513,0.486,0.5,0.483,0.48100000000000004,0.49700000000000005,0.501,,,0.503,0.47100000000000003,0.52,0.485,0.545,0.511,0.491,0.513,,,0.494,0.504,,,0.48
2010,0.506,0.522,,0.49,,0.47700000000000004,0.532,0.506,0.509,0.474,0.514,0.494,0.491,,0.491,0.496,0.494,0.496,0.48200000000000004,0.478,0.45799999999999996,0.506,,,0.509,0.494,0.536,0.496,0.546,0.499,0.491,0.515,,,0.521,0.524,,,0.48100000000000004
2011,0.501,0.519,,0.48200000000000004,,0.501,0.47200000000000003,0.525,0.526,0.495,0.51,0.503,0.486,,0.496,0.502,0.493,0.524,0.467,0.483,0.474,0.493,,,0.513,0.501,0.521,0.494,0.522,0.486,0.48,0.527,,,0.491,0.498,,,0.47100000000000003
2012,0.5,0.496,,0.439,,0.49,0.46299999999999997,0.489,0.516,0.46799999999999997,0.505,0.49200000000000005,0.474,,0.502,0.491,0.473,0.505,0.48100000000000004,0.47700000000000004,0.473,0.47600000000000003,,,0.49200000000000005,0.516,0.506,0.48,0.499,0.488,0.47200000000000003,0.528,,,0.475,0.48100000000000004,,,0.47200000000000003
2013,0.517,0.503,0.498,0.46,,0.47,0.473,0.506,0.515,0.48700000000000004,0.506,0.525,0.479,,0.526,0.512,0.47200000000000003,0.552,0.47600000000000003,0.473,,0.489,,,0.515,0.527,0.485,0.48100000000000004,0.47700000000000004,0.498,0.491,0.531,,,0.488,0.49200000000000005,,,0.475
2014,0.515,0.47700000000000004,0.514,0.48100000000000004,,0.47100000000000003,0.479,0.526,0.49700000000000005,0.48200000000000004,0.517,0.531,0.49,,0.526,0.505,0.494,0.5539999999999999,0.479,0.486,,,0.495,,0.505,0.52,0.48700000000000004,0.475,0.519,0.504,0.484,0.537,,,0.498,0.484,,,0.506
2015,0.527,0.489,0.491,,0.456,0.489,0.52,0.515,0.479,0.48200000000000004,0.54,0.512,0.484,,0.5329999999999999,0.473,0.489,0.5,0.499,0.46799999999999997,,,0.501,,0.47,0.49200000000000005,0.494,0.45899999999999996,0.501,0.508,0.49,0.517,,,0.508,0.494,,,0.499
