,Atlanta Hawks,Boston Celtics,Brooklyn Nets,Charlotte Bobcats,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Dallas Mavericks,Denver Nuggets,Detroit Pistons,Golden State Warriors,Houston Rockets,Indiana Pacers,Kansas City Kings,Los Angeles Clippers,Los Angeles Lakers,Memphis Grizzlies,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,New Jersey Nets,New Orleans Hornets,New Orleans Pelicans,New Orleans/Oklahoma City Hornets,New York Knicks,Oklahoma City Thunder,Orlando Magic,Philadelphia 76ers,Phoenix Suns,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,San Diego Clippers,Seattle SuperSonics,Toronto Raptors,Utah Jazz,Vancouver Grizzlies,Washington Bullets,Washington Wizards
1981,0.293,0.251,,,,0.28800000000000003,0.195,0.27,0.3,0.242,0.251,0.233,0.251,0.22,,0.209,,,0.24100000000000002,,0.243,,,,0.24600000000000002,,,0.264,0.247,0.209,,0.282,0.22699999999999998,0.254,,0.23399999999999999,,0.19899999999999998,
1982,0.271,0.248,,,,0.29,0.222,0.24100000000000002,0.31,0.262,0.233,0.22,0.225,0.213,,0.204,,,0.25,,0.237,,,,0.223,,,0.265,0.22899999999999998,0.239,,0.23800000000000002,0.23800000000000002,0.243,,0.23,,0.22699999999999998,
1983,0.222,0.22899999999999998,,,,0.26899999999999996,0.204,0.245,0.272,0.253,0.21600000000000003,0.188,0.187,0.24600000000000002,,0.19899999999999998,,,0.243,,0.22699999999999998,,,,0.239,,,0.273,0.22699999999999998,0.26,,0.257,0.20800000000000002,0.247,,0.251,,0.20600000000000002,
1984,0.27,0.264,,,,0.268,0.22399999999999998,0.245,0.276,0.25,0.254,0.21,0.228,0.268,,0.23600000000000002,,,0.25,,0.24,,,,0.284,,,0.299,0.23199999999999998,0.27699999999999997,,0.255,0.244,0.271,,0.292,,0.24100000000000002,
1985,0.25,0.254,,,,0.287,0.254,0.253,0.253,0.223,0.257,0.213,0.255,0.278,0.235,0.235,,,0.258,,0.21899999999999997,,,,0.24,,,0.331,0.24600000000000002,0.271,,0.272,,0.257,,0.257,,0.2,
1986,0.282,0.244,,,,0.266,0.24100000000000002,0.28300000000000003,0.245,0.23199999999999998,0.253,0.23199999999999998,0.226,,0.28800000000000003,0.247,,,0.282,,0.248,,,,0.218,,,0.302,0.27899999999999997,0.294,0.252,0.265,,0.257,,0.272,,0.23800000000000002,
1987,0.28300000000000003,0.247,,,,0.245,0.25,0.29100000000000004,0.248,0.275,0.266,0.24,0.23199999999999998,,0.255,0.278,,,0.268,,0.282,,,,0.24600000000000002,,,0.29,0.264,0.313,0.266,0.228,,0.261,,0.231,,0.262,
1988,0.264,0.267,,,,0.24,0.268,0.275,0.231,0.282,0.237,0.263,0.21600000000000003,,0.22899999999999998,0.276,,,0.259,,0.245,,,,0.242,,,0.308,0.23,0.27899999999999997,0.245,0.23399999999999999,,0.245,,0.254,,0.267,
1989,0.3,0.258,,,0.213,0.23800000000000002,0.264,0.258,0.22399999999999998,0.266,0.239,0.265,0.258,,0.21600000000000003,0.282,,0.20800000000000002,0.273,,0.22899999999999998,,,,0.23399999999999999,,,0.27399999999999997,0.272,0.23,0.22,0.223,,0.237,,0.32,,0.23600000000000002,
1990,0.27699999999999997,0.251,,,0.207,0.235,0.235,0.254,0.217,0.245,0.321,0.225,0.28,,0.265,0.271,,0.19,0.24100000000000002,0.23199999999999998,0.237,,,,0.25,,0.27399999999999997,0.281,0.302,0.26899999999999996,0.215,0.27,,0.222,,0.284,,0.21100000000000002,
