,Atlanta Hawks,Boston Celtics,Brooklyn Nets,Charlotte Bobcats,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Dallas Mavericks,Denver Nuggets,Detroit Pistons,Golden State Warriors,Houston Rockets,Indiana Pacers,Kansas City Kings,Los Angeles Clippers,Los Angeles Lakers,Memphis Grizzlies,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,New Jersey Nets,New Orleans Hornets,New Orleans Pelicans,New Orleans/Oklahoma City Hornets,New York Knicks,Oklahoma City Thunder,Orlando Magic,Philadelphia 76ers,Phoenix Suns,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,San Diego Clippers,Seattle SuperSonics,Toronto Raptors,Utah Jazz,Vancouver Grizzlies,Washington Bullets,Washington Wizards
1981,34.1,34.7,,,,36.9,33.5,30.7,33.1,33.4,38.8,33.9,35.5,29.2,,33.9,,,36.3,,30.4,,,,31.6,,,32.3,35.1,33.9,,37.5,33.0,33.1,,28.3,,30.5,
1982,32.2,35.8,,,,33.6,32.0,33.9,31.8,34.8,34.8,37.8,30.5,29.9,,35.8,,,35.1,,33.7,,,,33.1,,,30.5,32.2,32.5,,34.0,33.2,31.3,,30.6,,29.4,
1983,30.7,34.7,,,,34.0,33.0,34.8,31.0,33.6,33.9,30.8,33.6,34.3,,36.3,,,31.8,,36.8,,,,31.6,,,37.1,32.0,33.3,,35.3,37.1,32.5,,29.0,,30.4,
1984,31.6,34.2,,,,32.3,33.5,31.7,29.3,36.7,35.6,32.8,28.1,32.4,,33.7,,,33.7,,34.6,,,,33.4,,,34.6,31.4,36.4,,33.4,37.7,30.7,,30.8,,30.1,
1985,32.5,32.8,,,,32.2,32.9,30.7,33.6,35.4,34.5,37.4,31.7,34.0,33.8,33.8,,,35.4,,33.9,,,,31.7,,,37.4,29.8,34.0,,33.2,,30.0,,29.0,,27.5,
1986,34.9,31.3,,,,35.1,30.3,30.0,30.9,33.5,33.5,35.5,31.5,,32.0,33.1,,,33.8,,33.3,,,,29.5,,,37.3,31.3,32.8,32.7,31.7,,33.2,,29.8,,29.1,
1987,37.2,29.0,,,,35.0,34.4,33.8,32.2,34.7,32.5,33.5,30.5,,31.8,34.1,,,31.1,,33.2,,,,31.2,,,34.9,32.1,34.1,35.2,34.3,,37.6,,31.2,,34.5,
1988,34.3,29.8,,,,34.0,31.0,37.5,29.7,34.2,31.2,33.1,30.1,,30.9,32.3,,,31.8,,30.4,,,,36.0,,,35.4,31.5,34.3,33.7,32.0,,36.3,,30.4,,34.2,
1989,37.1,34.7,,,30.3,30.7,31.2,29.5,29.6,34.5,33.4,33.3,31.5,,31.2,33.0,,35.6,32.7,,32.7,,,,36.2,,,32.2,30.8,36.7,30.5,34.5,,38.3,,32.0,,33.1,
1990,36.3,31.5,,,26.1,31.9,31.5,30.3,29.1,34.2,26.1,33.1,29.0,,30.9,32.8,,33.5,31.5,34.0,34.5,,,,34.2,,33.7,32.0,31.1,36.5,27.3,34.2,,37.5,,30.1,,32.4,
