,BKN/NJN,NOK/NOP,LAC/SDC,VAN/MEM,WAS/WSH,CHA,OKC/SEA,KCK/SAC,MIL,POR,SAS,TOR,ATL,CLE,PHX,CHI,GSW,PHI,DAL,MIA,BOS,HOU,UTA,NYK,ORL,DET,DEN,LAL,IND,MIN
1981,0.478,,0.486,,0.47600000000000003,,0.47,0.503,0.5,0.498,0.49200000000000005,,0.48,0.47200000000000003,0.49200000000000005,0.504,0.493,0.515,0.466,,0.509,0.489,0.491,0.48700000000000004,,0.46399999999999997,0.47700000000000004,0.513,0.484,
1982,0.48700000000000004,,0.507,,0.478,,0.491,0.49700000000000005,0.509,0.507,0.49,,0.47600000000000003,0.466,0.495,0.505,0.502,0.521,0.473,,0.502,0.479,0.496,0.495,,0.485,0.522,0.518,0.47200000000000003,
1983,0.494,,0.479,,0.473,,0.496,0.5,0.491,0.488,0.51,,0.47200000000000003,0.467,0.499,0.483,0.485,0.501,0.489,,0.494,0.45299999999999996,0.483,0.484,,0.48100000000000004,0.495,0.528,0.483,
1984,0.501,,0.498,,0.489,,0.49,0.49,0.49700000000000005,0.507,0.511,,0.47600000000000003,0.46799999999999997,0.514,0.475,0.47100000000000003,0.49700000000000005,0.503,,0.504,0.49700000000000005,0.505,0.499,,0.48200000000000004,0.498,0.536,0.48700000000000004,
1985,0.493,,0.499,,0.486,,0.47700000000000004,0.508,0.49700000000000005,0.506,0.517,,0.489,0.478,0.49700000000000005,0.502,0.47,0.49700000000000005,0.499,,0.515,0.507,0.483,0.48700000000000004,,0.483,0.491,0.551,0.478,
1986,0.489,,0.47700000000000004,,0.47100000000000003,,0.478,0.49200000000000005,0.501,0.501,0.509,,0.493,0.49,0.506,0.48700000000000004,0.488,0.49,0.51,,0.518,0.496,0.49,0.466,,0.488,0.475,0.532,0.483,
1987,0.48700000000000004,,0.457,,0.457,,0.495,0.48,0.48700000000000004,0.51,0.48200000000000004,,0.49,0.47600000000000003,0.501,0.478,0.48700000000000004,0.49700000000000005,0.503,,0.532,0.483,0.473,0.483,,0.49200000000000005,0.478,0.528,0.478,
1988,0.478,,0.449,,0.47,,0.491,0.48100000000000004,0.485,0.499,0.499,,0.491,0.5,0.494,0.494,0.474,0.485,0.485,,0.541,0.47600000000000003,0.5,0.47700000000000004,,0.49700000000000005,0.486,0.515,0.49200000000000005,
1989,0.474,,0.478,,0.467,0.47,0.496,0.478,0.48700000000000004,0.488,0.47200000000000003,,0.48,0.514,0.509,0.507,0.48,0.5,0.484,0.45899999999999996,0.498,0.486,0.491,0.512,,0.502,0.48200000000000004,0.518,0.502,
1990,0.435,,0.488,,0.47700000000000004,0.47,0.494,0.484,0.488,0.486,0.488,,0.496,0.485,0.509,0.516,0.501,0.502,0.48700000000000004,0.467,0.506,0.491,0.522,0.501,0.467,0.49,0.478,0.512,0.518,0.451
