,BKN/NJN,NOK/NOP,LAC/SDC,VAN/MEM,WAS/WSH,CHA,OKC/SEA,KCK/SAC,UTA,PHI,CHI,TOR,DET,LAL,ATL,POR,MIL,MIA,HOU,NYK,ORL,BOS,IND,PHX,MIN,DEN,CLE,SAS,DAL,GSW
1981,0.243,,0.22699999999999998,,0.19899999999999998,,0.254,0.22,0.23399999999999999,0.264,0.28800000000000003,,0.242,0.209,0.293,0.209,0.24100000000000002,,0.233,0.24600000000000002,,0.251,0.251,0.247,,0.3,0.195,0.282,0.27,0.251
1982,0.237,,0.23800000000000002,,0.22699999999999998,,0.243,0.213,0.23,0.265,0.29,,0.262,0.204,0.271,0.239,0.25,,0.22,0.223,,0.248,0.225,0.22899999999999998,,0.31,0.222,0.23800000000000002,0.24100000000000002,0.233
1983,0.22699999999999998,,0.20800000000000002,,0.20600000000000002,,0.247,0.24600000000000002,0.251,0.273,0.26899999999999996,,0.253,0.19899999999999998,0.222,0.26,0.243,,0.188,0.239,,0.22899999999999998,0.187,0.22699999999999998,,0.272,0.204,0.257,0.245,0.21600000000000003
1984,0.24,,0.244,,0.24100000000000002,,0.271,0.268,0.292,0.299,0.268,,0.25,0.23600000000000002,0.27,0.27699999999999997,0.25,,0.21,0.284,,0.264,0.228,0.23199999999999998,,0.276,0.22399999999999998,0.255,0.245,0.254
1985,0.21899999999999997,,0.235,,0.2,,0.257,0.278,0.257,0.331,0.287,,0.223,0.235,0.25,0.271,0.258,,0.213,0.24,,0.254,0.255,0.24600000000000002,,0.253,0.254,0.272,0.253,0.257
1986,0.248,,0.28800000000000003,,0.23800000000000002,,0.257,0.252,0.272,0.302,0.266,,0.23199999999999998,0.247,0.282,0.294,0.282,,0.23199999999999998,0.218,,0.244,0.226,0.27899999999999997,,0.245,0.24100000000000002,0.265,0.28300000000000003,0.253
1987,0.282,,0.255,,0.262,,0.261,0.266,0.231,0.29,0.245,,0.275,0.278,0.28300000000000003,0.313,0.268,,0.24,0.24600000000000002,,0.247,0.23199999999999998,0.264,,0.248,0.25,0.228,0.29100000000000004,0.266
1988,0.245,,0.22899999999999998,,0.267,,0.245,0.245,0.254,0.308,0.24,,0.282,0.276,0.264,0.27899999999999997,0.259,,0.263,0.242,,0.267,0.21600000000000003,0.23,,0.231,0.268,0.23399999999999999,0.275,0.237
1989,0.22899999999999998,,0.21600000000000003,,0.23600000000000002,0.213,0.237,0.22,0.32,0.27399999999999997,0.23800000000000002,,0.266,0.282,0.3,0.23,0.273,0.20800000000000002,0.265,0.23399999999999999,,0.258,0.258,0.272,,0.22399999999999998,0.264,0.223,0.258,0.239
1990,0.237,,0.265,,0.21100000000000002,0.207,0.222,0.215,0.284,0.281,0.235,,0.245,0.271,0.27699999999999997,0.26899999999999996,0.24100000000000002,0.19,0.225,0.25,0.27399999999999997,0.251,0.28,0.302,0.23199999999999998,0.217,0.235,0.27,0.254,0.321
1991,0.222,,0.218,,0.203,0.245,0.226,0.226,0.298,0.27,0.225,,0.245,0.261,0.282,0.259,0.258,0.231,0.22399999999999998,0.242,0.251,0.228,0.287,0.287,0.21,0.195,0.243,0.26899999999999996,0.21899999999999997,0.294
