,BKN/NJN,NOK/NOP,LAC/SDC,VAN/MEM,WAS/WSH,CHA,OKC/SEA,KCK/SAC,LAL,NYK,GSW,IND,PHI,BOS,MIL,UTA,PHX,CLE,DET,DEN,DAL,HOU,POR,SAS,ATL,CHI,ORL,MIA,TOR,MIN
1981,30.4,,33.0,,30.5,,33.1,29.2,33.9,31.6,38.8,35.5,32.3,34.7,36.3,28.3,35.1,33.5,33.4,33.1,30.7,33.9,33.9,37.5,34.1,36.9,,,,
1982,33.7,,33.2,,29.4,,31.3,29.9,35.8,33.1,34.8,30.5,30.5,35.8,35.1,30.6,32.2,32.0,34.8,31.8,33.9,37.8,32.5,34.0,32.2,33.6,,,,
1983,36.8,,37.1,,30.4,,32.5,34.3,36.3,31.6,33.9,33.6,37.1,34.7,31.8,29.0,32.0,33.0,33.6,31.0,34.8,30.8,33.3,35.3,30.7,34.0,,,,
1984,34.6,,37.7,,30.1,,30.7,32.4,33.7,33.4,35.6,28.1,34.6,34.2,33.7,30.8,31.4,33.5,36.7,29.3,31.7,32.8,36.4,33.4,31.6,32.3,,,,
1985,33.9,,33.8,,27.5,,30.0,34.0,33.8,31.7,34.5,31.7,37.4,32.8,35.4,29.0,29.8,32.9,35.4,33.6,30.7,37.4,34.0,33.2,32.5,32.2,,,,
1986,33.3,,32.0,,29.1,,33.2,32.7,33.1,29.5,33.5,31.5,37.3,31.3,33.8,29.8,31.3,30.3,33.5,30.9,30.0,35.5,32.8,31.7,34.9,35.1,,,,
1987,33.2,,31.8,,34.5,,37.6,35.2,34.1,31.2,32.5,30.5,34.9,29.0,31.1,31.2,32.1,34.4,34.7,32.2,33.8,33.5,34.1,34.3,37.2,35.0,,,,
1988,30.4,,30.9,,34.2,,36.3,33.7,32.3,36.0,31.2,30.1,35.4,29.8,31.8,30.4,31.5,31.0,34.2,29.7,37.5,33.1,34.3,32.0,34.3,34.0,,,,
1989,32.7,,31.2,,33.1,30.3,38.3,30.5,33.0,36.2,33.4,31.5,32.2,34.7,32.7,32.0,30.8,31.2,34.5,29.6,29.5,33.3,36.7,34.5,37.1,30.7,,35.6,,
1990,34.5,,30.9,,32.4,26.1,37.5,27.3,32.8,34.2,26.1,29.0,32.0,31.5,31.5,30.1,31.1,31.5,34.2,29.1,30.3,33.1,36.5,34.2,36.3,31.9,33.7,33.5,,34.0
1991,35.7,,33.3,,32.2,29.0,36.3,28.8,33.0,31.1,31.0,30.6,28.1,33.0,31.8,27.6,33.0,29.7,34.7,33.1,28.3,34.4,33.8,33.3,33.1,34.7,33.0,34.3,,34.9
1992,39.1,,31.6,,28.9,31.1,36.5,28.5,32.7,34.6,31.8,31.8,30.9,31.9,35.9,32.7,31.7,30.5,34.9,34.8,31.2,30.9,35.6,34.2,33.6,35.1,32.4,33.0,,31.5
1993,35.5,,32.7,,28.8,31.3,35.5,30.7,31.4,33.1,34.2,34.2,28.1,31.2,30.5,31.0,33.0,28.1,34.6,33.6,31.1,30.0,32.7,27.8,34.8,36.3,31.4,31.9,,28.7
1994,34.0,,30.4,,31.2,29.2,34.4,30.4,33.2,34.4,32.9,34.4,28.0,29.3,31.1,31.3,35.2,31.8,28.4,32.2,33.7,27.6,34.4,35.6,34.6,33.8,33.8,35.3,,30.1
