,BKN/NJN,NOK/NOP,LAC/SDC,VAN/MEM,WAS/WSH,CHA,OKC/SEA,KCK/SAC,ORL,POR,CHI,NYK,DET,SAS,DEN,GSW,LAL,MIL,PHX,ATL,IND,MIA,BOS,MIN,DAL,CLE,UTA,HOU,PHI,TOR
1980,3.6,,6.6,,2.9,,2.3,1.4,,1.6,3.4,2.3,2.7,2.5,3.1,1.5,1.2,1.9,3.4,0.9,3.8,,5.1,,,2.3,2.3,4.6,1.5,
1981,1.7,,5.0,,2.9,,1.4,2.0,,1.8,2.2,2.9,1.0,1.0,1.8,2.6,1.1,1.6,2.0,1.0,2.1,,2.9,,2.0,3.0,2.0,1.4,1.0,
1982,1.8,,4.1,,2.9,,1.9,1.6,,1.7,2.6,2.6,2.6,3.1,1.8,4.0,1.1,2.0,2.1,1.6,3.9,,2.2,,2.3,1.7,1.2,2.1,1.7,
1983,1.8,,3.2,,2.9,,1.7,2.6,,1.8,2.5,1.6,3.3,3.8,1.5,1.8,1.2,2.1,1.9,2.3,2.9,,2.3,,2.3,1.5,2.2,3.3,1.3,
1984,2.8,,1.6,,3.4,,1.7,2.3,,1.6,1.4,2.0,1.7,3.2,3.1,2.8,2.8,2.8,3.5,1.3,2.5,,2.8,,2.2,2.0,3.9,1.9,1.3,
1985,2.7,,2.3,,4.9,,2.3,2.9,,2.5,2.0,2.4,2.4,2.5,2.9,4.8,3.6,3.6,3.7,2.9,1.9,,3.8,,5.4,4.1,3.7,2.3,2.7,
1986,2.6,,2.8,,5.0,,3.7,1.6,,3.4,3.9,2.9,2.2,2.4,3.7,3.4,5.0,4.7,2.2,2.0,1.7,,4.8,,5.4,4.8,2.1,3.8,2.7,
1987,5.5,,4.2,,2.7,,7.0,3.7,,4.1,3.6,4.6,2.1,4.9,4.8,4.4,5.5,7.0,3.1,5.2,3.9,,6.9,,8.0,4.1,5.5,4.0,4.1,
1988,5.5,,3.9,,1.7,,7.8,5.5,,4.6,3.0,6.9,2.5,5.0,6.9,3.8,5.8,5.0,4.4,3.4,5.9,,8.6,,6.4,4.1,4.9,3.5,5.7,
1989,6.9,,2.9,,3.0,5.2,9.4,10.0,,7.9,6.5,14.0,4.9,3.6,8.2,7.7,8.1,6.9,5.9,4.8,7.5,3.6,3.8,,8.3,5.8,4.6,6.4,7.9,
1990,6.2,,2.8,,2.4,7.5,7.9,7.9,4.8,6.9,8.2,8.7,6.6,2.8,8.3,9.1,10.3,8.2,6.6,5.0,9.4,3.7,4.9,3.6,5.9,10.4,7.7,6.0,6.6,
1991,7.1,,5.3,,3.5,5.1,5.2,7.0,9.2,11.0,5.2,6.8,5.4,3.6,12.9,9.8,9.1,9.2,5.3,10.2,9.1,5.7,4.2,4.6,7.3,5.8,5.6,12.1,7.5,
1992,8.2,,6.1,,6.5,4.5,7.9,8.2,7.4,11.5,5.5,7.5,6.4,4.9,5.1,9.3,5.4,12.3,7.3,8.2,11.5,9.2,4.4,4.8,9.7,8.6,5.6,11.7,8.3,
1993,6.0,,6.0,,7.0,6.5,7.4,9.6,10.8,10.3,8.2,7.4,11.1,8.4,5.5,10.4,7.6,11.4,13.4,13.1,9.6,11.5,4.7,6.9,10.2,9.0,5.0,13.1,11.5,
1994,8.3,,10.1,,9.1,11.2,8.8,8.9,13.9,9.4,8.0,11.1,12.7,8.7,7.3,10.5,9.8,12.4,12.7,10.1,6.1,12.2,5.8,6.8,9.4,9.9,6.8,15.7,11.5,
1995,15.8,,12.8,,15.4,17.2,15.9,12.6,17.2,15.4,14.5,17.6,17.0,14.1,14.1,19.5,18.2,16.5,19.3,19.3,12.0,14.4,12.0,12.4,14.6,12.6,9.8,21.4,11.4,
1996,9.1,,16.8,13.8,14.8,18.5,19.5,14.6,20.1,16.6,16.5,15.7,16.5,16.1,14.0,14.6,16.6,12.9,12.0,19.5,11.9,17.8,17.7,10.5,24.9,19.3,12.4,21.5,17.5,14.2
1997,16.7,,16.3,15.5,12.2,16.9,19.3,12.9,20.3,17.1,17.1,15.8,18.3,14.4,20.9,16.6,18.3,11.2,17.4,22.4,13.8,22.7,16.2,13.3,16.0,15.7,11.0,22.4,16.5,19.8
1998,11.4,,17.9,11.0,11.5,11.0,19.1,9.8,11.1,12.8,11.7,13.9,11.4,10.5,10.9,8.5,17.3,8.6,14.8,12.4,12.5,18.8,15.2,10.6,14.4,9.8,8.2,20.4,9.9,13.2
1999,13.6,,13.4,9.1,11.6,14.7,18.0,18.9,13.5,13.5,12.2,11.8,13.6,10.4,18.4,11.3,13.7,12.4,14.0,12.9,16.0,16.1,15.2,8.2,11.9,10.7,7.8,18.3,7.4,13.2
2000,16.8,,15.5,11.0,10.9,12.2,19.6,20.2,10.6,13.8,12.6,11.4,14.9,10.8,17.0,13.0,12.8,13.0,15.2,9.9,18.1,14.7,15.4,8.7,16.2,11.2,10.4,19.8,7.8,14.3
2001,13.2,,13.0,11.5,10.3,12.0,14.3,16.5,16.4,12.9,11.6,13.6,13.6,13.3,17.6,11.8,15.5,18.1,12.9,11.4,14.1,16.9,19.9,11.0,16.5,8.0,10.4,17.2,9.8,14.2
