,BKN/NJN,NOK/NOP,LAC/SDC,VAN/MEM,WAS/WSH,CHA,OKC/SEA,KCK/SAC,UTA,NYK,BOS,GSW,TOR,CHI,ATL,DEN,HOU,MIN,DAL,MIL,MIA,PHI,PHX,SAS,DET,CLE,ORL,IND,POR,LAL
1980,0.285,,0.326,,0.307,,0.312,0.21899999999999997,0.319,0.22,0.384,0.223,,0.255,0.17300000000000001,0.325,0.27399999999999997,,,0.32299999999999995,,0.21600000000000003,0.243,0.252,0.26,0.193,,0.28,0.19699999999999998,0.2
1981,0.24600000000000002,,0.324,,0.27,,0.27399999999999997,0.292,0.258,0.237,0.27,0.28600000000000003,,0.212,0.122,0.207,0.17800000000000002,,0.27899999999999997,0.22899999999999998,,0.226,0.217,0.17600000000000002,0.155,0.289,,0.17800000000000002,0.16899999999999998,0.18100000000000002
1982,0.205,,0.293,,0.25,,0.248,0.2,0.22699999999999998,0.271,0.266,0.28,,0.254,0.21899999999999997,0.268,0.284,,0.289,0.299,,0.295,0.31,0.254,0.244,0.182,,0.326,0.207,0.138
1983,0.201,,0.244,,0.295,,0.21,0.237,0.24,0.252,0.21,0.22699999999999998,,0.215,0.239,0.19,0.247,,0.23199999999999998,0.21899999999999997,,0.22899999999999998,0.253,0.305,0.265,0.25,,0.212,0.233,0.10400000000000001
1984,0.21100000000000002,,0.188,,0.252,,0.193,0.275,0.319,0.285,0.24,0.243,,0.171,0.217,0.302,0.195,,0.228,0.254,,0.271,0.254,0.3,0.22699999999999998,0.262,,0.23199999999999998,0.19399999999999998,0.257
1985,0.23199999999999998,,0.298,,0.27399999999999997,,0.243,0.265,0.336,0.258,0.35600000000000004,0.282,,0.18,0.311,0.311,0.22,,0.34299999999999997,0.303,,0.263,0.28300000000000003,0.272,0.226,0.287,,0.19399999999999998,0.252,0.305
1986,0.201,,0.27899999999999997,,0.284,,0.263,0.22399999999999998,0.207,0.34299999999999997,0.35100000000000003,0.313,,0.278,0.19899999999999998,0.233,0.27399999999999997,,0.316,0.327,,0.228,0.20800000000000002,0.235,0.302,0.33799999999999997,,0.161,0.26899999999999996,0.337
1987,0.32299999999999995,,0.22399999999999998,,0.19699999999999998,,0.335,0.251,0.31,0.33299999999999996,0.366,0.319,,0.261,0.318,0.271,0.275,,0.354,0.32299999999999995,,0.259,0.242,0.29,0.231,0.24,,0.297,0.289,0.36700000000000005
1988,0.301,,0.249,,0.21,,0.34600000000000003,0.32,0.319,0.316,0.384,0.292,,0.23,0.301,0.342,0.237,,0.293,0.324,,0.32299999999999995,0.331,0.32299999999999995,0.287,0.37799999999999995,,0.336,0.308,0.297
1989,0.32899999999999996,,0.231,,0.214,0.312,0.379,0.373,0.3,0.337,0.252,0.308,,0.32799999999999996,0.27699999999999997,0.337,0.314,,0.31,0.316,0.326,0.316,0.349,0.215,0.3,0.359,,0.32799999999999996,0.335,0.34
1990,0.27699999999999997,,0.243,,0.188,0.336,0.355,0.33299999999999996,0.359,0.332,0.262,0.324,,0.374,0.302,0.337,0.312,0.248,0.32299999999999995,0.312,0.293,0.348,0.324,0.239,0.327,0.40700000000000003,0.295,0.382,0.336,0.36700000000000005
1991,0.275,,0.26,,0.19399999999999998,0.314,0.319,0.374,0.32299999999999995,0.332,0.315,0.337,,0.366,0.324,0.28300000000000003,0.32,0.28300000000000003,0.322,0.341,0.302,0.316,0.319,0.273,0.298,0.33399999999999996,0.358,0.332,0.377,0.304
1992,0.33399999999999996,,0.289,,0.272,0.317,0.317,0.353,0.345,0.325,0.306,0.33299999999999996,,0.304,0.313,0.301,0.34299999999999997,0.32,0.336,0.369,0.342,0.33399999999999996,0.381,0.292,0.314,0.35700000000000004,0.324,0.354,0.344,0.267
1993,0.318,,0.271,,0.301,0.326,0.35700000000000004,0.332,0.314,0.32,0.287,0.35,,0.365,0.355,0.304,0.361,0.292,0.33799999999999997,0.33299999999999996,0.354,0.35100000000000003,0.363,0.341,0.322,0.381,0.35700000000000004,0.326,0.326,0.299
1994,0.327,,0.303,,0.297,0.36700000000000005,0.335,0.353,0.32,0.348,0.289,0.33899999999999997,,0.354,0.32299999999999995,0.285,0.33399999999999996,0.32899999999999996,0.312,0.325,0.33799999999999997,0.33799999999999997,0.33,0.349,0.344,0.36200000000000004,0.34700000000000003,0.368,0.353,0.3
1995,0.319,,0.315,,0.34299999999999997,0.397,0.376,0.34600000000000003,0.376,0.368,0.368,0.341,,0.373,0.341,0.35600000000000004,0.368,0.313,0.322,0.366,0.369,0.379,0.369,0.375,0.354,0.385,0.37,0.38,0.365,0.35200000000000004
1996,0.335,,0.37,0.32899999999999996,0.40700000000000003,0.384,0.364,0.387,0.37200000000000005,0.377,0.371,0.373,0.354,0.40299999999999997,0.355,0.34600000000000003,0.36200000000000004,0.326,0.36,0.33799999999999997,0.379,0.342,0.332,0.392,0.40399999999999997,0.377,0.37799999999999995,0.373,0.353,0.35100000000000003
1997,0.353,,0.354,0.349,0.331,0.428,0.353,0.391,0.37,0.363,0.35100000000000003,0.353,0.363,0.373,0.359,0.37200000000000005,0.365,0.33899999999999997,0.327,0.35200000000000004,0.364,0.319,0.369,0.32,0.38799999999999996,0.376,0.341,0.381,0.358,0.36700000000000005
1998,0.331,,0.358,0.36200000000000004,0.33899999999999997,0.38299999999999995,0.396,0.35100000000000003,0.37200000000000005,0.335,0.332,0.272,0.34299999999999997,0.32299999999999995,0.332,0.32299999999999995,0.34299999999999997,0.34700000000000003,0.35700000000000004,0.354,0.355,0.3,0.35600000000000004,0.35,0.312,0.37200000000000005,0.32299999999999995,0.39,0.309,0.35100000000000003
1999,0.331,,0.32,0.327,0.309,0.365,0.344,0.308,0.361,0.353,0.36,0.287,0.341,0.289,0.306,0.32799999999999996,0.368,0.298,0.33899999999999997,0.373,0.359,0.264,0.37200000000000005,0.33,0.365,0.341,0.33,0.368,0.364,0.35200000000000004
2000,0.34700000000000003,,0.33899999999999997,0.361,0.376,0.33899999999999997,0.33899999999999997,0.322,0.385,0.375,0.331,0.32299999999999995,0.363,0.32899999999999996,0.317,0.336,0.358,0.34600000000000003,0.391,0.369,0.371,0.32299999999999995,0.368,0.374,0.359,0.373,0.33799999999999997,0.392,0.361,0.32899999999999996
