,BKN/NJN,NOK/NOP,LAC/SDC,VAN/MEM,WAS/WSH,CHA,OKC/SEA,KCK/SAC,GSW,LAL,DAL,TOR,CLE,DET,PHX,POR,PHI,NYK,IND,UTA,CHI,SAS,ATL,HOU,MIA,ORL,DEN,MIL,MIN,BOS
1980,3.6,,6.6,,2.9,,2.3,1.4,1.5,1.2,,,2.3,2.7,3.4,1.6,1.5,2.3,3.8,2.3,3.4,2.5,0.9,4.6,,,3.1,1.9,,5.1
1981,1.7,,5.0,,2.9,,1.4,2.0,2.6,1.1,2.0,,3.0,1.0,2.0,1.8,1.0,2.9,2.1,2.0,2.2,1.0,1.0,1.4,,,1.8,1.6,,2.9
1982,1.8,,4.1,,2.9,,1.9,1.6,4.0,1.1,2.3,,1.7,2.6,2.1,1.7,1.7,2.6,3.9,1.2,2.6,3.1,1.6,2.1,,,1.8,2.0,,2.2
1983,1.8,,3.2,,2.9,,1.7,2.6,1.8,1.2,2.3,,1.5,3.3,1.9,1.8,1.3,1.6,2.9,2.2,2.5,3.8,2.3,3.3,,,1.5,2.1,,2.3
1984,2.8,,1.6,,3.4,,1.7,2.3,2.8,2.8,2.2,,2.0,1.7,3.5,1.6,1.3,2.0,2.5,3.9,1.4,3.2,1.3,1.9,,,3.1,2.8,,2.8
1985,2.7,,2.3,,4.9,,2.3,2.9,4.8,3.6,5.4,,4.1,2.4,3.7,2.5,2.7,2.4,1.9,3.7,2.0,2.5,2.9,2.3,,,2.9,3.6,,3.8
1986,2.6,,2.8,,5.0,,3.7,1.6,3.4,5.0,5.4,,4.8,2.2,2.2,3.4,2.7,2.9,1.7,2.1,3.9,2.4,2.0,3.8,,,3.7,4.7,,4.8
1987,5.5,,4.2,,2.7,,7.0,3.7,4.4,5.5,8.0,,4.1,2.1,3.1,4.1,4.1,4.6,3.9,5.5,3.6,4.9,5.2,4.0,,,4.8,7.0,,6.9
1988,5.5,,3.9,,1.7,,7.8,5.5,3.8,5.8,6.4,,4.1,2.5,4.4,4.6,5.7,6.9,5.9,4.9,3.0,5.0,3.4,3.5,,,6.9,5.0,,8.6
1989,6.9,,2.9,,3.0,5.2,9.4,10.0,7.7,8.1,8.3,,5.8,4.9,5.9,7.9,7.9,14.0,7.5,4.6,6.5,3.6,4.8,6.4,3.6,,8.2,6.9,,3.8
1990,6.2,,2.8,,2.4,7.5,7.9,7.9,9.1,10.3,5.9,,10.4,6.6,6.6,6.9,6.6,8.7,9.4,7.7,8.2,2.8,5.0,6.0,3.7,4.8,8.3,8.2,3.6,4.9
1991,7.1,,5.3,,3.5,5.1,5.2,7.0,9.8,9.1,7.3,,5.8,5.4,5.3,11.0,7.5,6.8,9.1,5.6,5.2,3.6,10.2,12.1,5.7,9.2,12.9,9.2,4.6,4.2
1992,8.2,,6.1,,6.5,4.5,7.9,8.2,9.3,5.4,9.7,,8.6,6.4,7.3,11.5,8.3,7.5,11.5,5.6,5.5,4.9,8.2,11.7,9.2,7.4,5.1,12.3,4.8,4.4
1993,6.0,,6.0,,7.0,6.5,7.4,9.6,10.4,7.6,10.2,,9.0,11.1,13.4,10.3,11.5,7.4,9.6,5.0,8.2,8.4,13.1,13.1,11.5,10.8,5.5,11.4,6.9,4.7
1994,8.3,,10.1,,9.1,11.2,8.8,8.9,10.5,9.8,9.4,,9.9,12.7,12.7,9.4,11.5,11.1,6.1,6.8,8.0,8.7,10.1,15.7,12.2,13.9,7.3,12.4,6.8,5.8
1995,15.8,,12.8,,15.4,17.2,15.9,12.6,19.5,18.2,14.6,,12.6,17.0,19.3,15.4,11.4,17.6,12.0,9.8,14.5,14.1,19.3,21.4,14.4,17.2,14.1,16.5,12.4,12.0
