,Atlanta Hawks,Boston Celtics,Brooklyn Nets,Charlotte Bobcats,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Dallas Mavericks,Denver Nuggets,Detroit Pistons,Golden State Warriors,Houston Rockets,Indiana Pacers,Kansas City Kings,Los Angeles Clippers,Los Angeles Lakers,Memphis Grizzlies,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,New Jersey Nets,New Orleans Hornets,New Orleans Pelicans,New Orleans/Oklahoma City Hornets,New York Knicks,Oklahoma City Thunder,Orlando Magic,Philadelphia 76ers,Phoenix Suns,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,San Diego Clippers,Seattle SuperSonics,Toronto Raptors,Utah Jazz,Vancouver Grizzlies,Washington Bullets,Washington Wizards
1980,0.9,5.1,,,,3.4,2.3,,3.1,2.7,1.5,4.6,3.8,1.4,,1.2,,,1.9,,3.6,,,,2.3,,,1.5,3.4,1.6,,2.5,6.6,2.3,,2.3,,2.9,
1981,1.0,2.9,,,,2.2,3.0,2.0,1.8,1.0,2.6,1.4,2.1,2.0,,1.1,,,1.6,,1.7,,,,2.9,,,1.0,2.0,1.8,,1.0,5.0,1.4,,2.0,,2.9,
1982,1.6,2.2,,,,2.6,1.7,2.3,1.8,2.6,4.0,2.1,3.9,1.6,,1.1,,,2.0,,1.8,,,,2.6,,,1.7,2.1,1.7,,3.1,4.1,1.9,,1.2,,2.9,
1983,2.3,2.3,,,,2.5,1.5,2.3,1.5,3.3,1.8,3.3,2.9,2.6,,1.2,,,2.1,,1.8,,,,1.6,,,1.3,1.9,1.8,,3.8,3.2,1.7,,2.2,,2.9,
1984,1.3,2.8,,,,1.4,2.0,2.2,3.1,1.7,2.8,1.9,2.5,2.3,,2.8,,,2.8,,2.8,,,,2.0,,,1.3,3.5,1.6,,3.2,1.6,1.7,,3.9,,3.4,
1985,2.9,3.8,,,,2.0,4.1,5.4,2.9,2.4,4.8,2.3,1.9,2.9,2.3,3.6,,,3.6,,2.7,,,,2.4,,,2.7,3.7,2.5,,2.5,,2.3,,3.7,,4.9,
1986,2.0,4.8,,,,3.9,4.8,5.4,3.7,2.2,3.4,3.8,1.7,,2.8,5.0,,,4.7,,2.6,,,,2.9,,,2.7,2.2,3.4,1.6,2.4,,3.7,,2.1,,5.0,
1987,5.2,6.9,,,,3.6,4.1,8.0,4.8,2.1,4.4,4.0,3.9,,4.2,5.5,,,7.0,,5.5,,,,4.6,,,4.1,3.1,4.1,3.7,4.9,,7.0,,5.5,,2.7,
1988,3.4,8.6,,,,3.0,4.1,6.4,6.9,2.5,3.8,3.5,5.9,,3.9,5.8,,,5.0,,5.5,,,,6.9,,,5.7,4.4,4.6,5.5,5.0,,7.8,,4.9,,1.7,
1989,4.8,3.8,,,5.2,6.5,5.8,8.3,8.2,4.9,7.7,6.4,7.5,,2.9,8.1,,3.6,6.9,,6.9,,,,14.0,,,7.9,5.9,7.9,10.0,3.6,,9.4,,4.6,,3.0,
1990,5.0,4.9,,,7.5,8.2,10.4,5.9,8.3,6.6,9.1,6.0,9.4,,2.8,10.3,,3.7,8.2,3.6,6.2,,,,8.7,,4.8,6.6,6.6,6.9,7.9,2.8,,7.9,,7.7,,2.4,
1991,10.2,4.2,,,5.1,5.2,5.8,7.3,12.9,5.4,9.8,12.1,9.1,,5.3,9.1,,5.7,9.2,4.6,7.1,,,,6.8,,9.2,7.5,5.3,11.0,7.0,3.6,,5.2,,5.6,,3.5,
1992,8.2,4.4,,,4.5,5.5,8.6,9.7,5.1,6.4,9.3,11.7,11.5,,6.1,5.4,,9.2,12.3,4.8,8.2,,,,7.5,,7.4,8.3,7.3,11.5,8.2,4.9,,7.9,,5.6,,6.5,
1993,13.1,4.7,,,6.5,8.2,9.0,10.2,5.5,11.1,10.4,13.1,9.6,,6.0,7.6,,11.5,11.4,6.9,6.0,,,,7.4,,10.8,11.5,13.4,10.3,9.6,8.4,,7.4,,5.0,,7.0,
1994,10.1,5.8,,,11.2,8.0,9.9,9.4,7.3,12.7,10.5,15.7,6.1,,10.1,9.8,,12.2,12.4,6.8,8.3,,,,11.1,,13.9,11.5,12.7,9.4,8.9,8.7,,8.8,,6.8,,9.1,
1995,19.3,12.0,,,17.2,14.5,12.6,14.6,14.1,17.0,19.5,21.4,12.0,,12.8,18.2,,14.4,16.5,12.4,15.8,,,,17.6,,17.2,11.4,19.3,15.4,12.6,14.1,,15.9,,9.8,,15.4,
1996,19.5,17.7,,,18.5,16.5,19.3,24.9,14.0,16.5,14.6,21.5,11.9,,16.8,16.6,,17.8,12.9,10.5,9.1,,,,15.7,,20.1,17.5,12.0,16.6,14.6,16.1,,19.5,14.2,12.4,13.8,14.8,
1997,22.4,16.2,,,16.9,17.1,15.7,16.0,20.9,18.3,16.6,22.4,13.8,,16.3,18.3,,22.7,11.2,13.3,16.7,,,,15.8,,20.3,16.5,17.4,17.1,12.9,14.4,,19.3,19.8,11.0,15.5,12.2,
1998,12.4,15.2,,,11.0,11.7,9.8,14.4,10.9,11.4,8.5,20.4,12.5,,17.9,17.3,,18.8,8.6,10.6,11.4,,,,13.9,,11.1,9.9,14.8,12.8,9.8,10.5,,19.1,13.2,8.2,11.0,,11.5
1999,12.9,15.2,,,14.7,12.2,10.7,11.9,18.4,13.6,11.3,18.3,16.0,,13.4,13.7,,16.1,12.4,8.2,13.6,,,,11.8,,13.5,7.4,14.0,13.5,18.9,10.4,,18.0,13.2,7.8,9.1,,11.6
2000,9.9,15.4,,,12.2,12.6,11.2,16.2,17.0,14.9,13.0,19.8,18.1,,15.5,12.8,,14.7,13.0,8.7,16.8,,,,11.4,,10.6,7.8,15.2,13.8,20.2,10.8,,19.6,14.3,10.4,11.0,,10.9
2001,11.4,19.9,,,12.0,11.6,8.0,16.5,17.6,13.6,11.8,17.2,14.1,,13.0,15.5,,16.9,18.1,11.0,13.2,,,,13.6,,16.4,9.8,12.9,12.9,16.5,13.3,,14.3,14.2,10.4,11.5,,10.3
2002,14.6,23.7,,,12.1,10.6,12.5,20.1,15.7,18.4,12.1,18.0,14.6,,14.0,17.5,13.4,11.0,19.3,12.8,14.6,,,,16.4,,20.2,8.7,13.4,16.1,14.1,14.8,,15.8,13.5,10.3,,,9.6
2003,13.9,26.3,,,,12.2,10.9,20.3,10.0,18.1,15.1,15.5,13.6,,14.4,16.7,15.6,13.4,18.6,9.8,12.7,13.1,,,19.3,,19.4,9.6,14.0,14.0,15.7,15.5,,15.7,14.5,7.8,,,9.9
2004,15.2,19.5,,,,15.3,9.6,17.8,12.0,11.8,15.6,17.1,15.6,,12.5,13.6,16.0,16.5,14.0,10.9,13.7,20.3,,,13.6,,15.2,12.1,14.7,13.4,18.3,13.9,,23.6,15.8,9.6,,,15.5
2005,11.9,15.3,,10.7,,17.5,11.0,15.5,11.5,12.8,21.6,18.5,19.2,,8.2,22.1,18.1,15.4,11.3,14.0,14.7,16.0,,,15.1,,11.2,17.7,24.7,14.2,17.0,17.0,,22.2,20.5,9.3,,,18.3
2006,14.1,15.7,,15.4,,18.0,17.9,13.6,13.1,17.7,22.3,17.2,18.7,,10.3,19.3,19.2,17.6,16.3,11.5,17.6,,,10.8,10.8,,9.7,12.6,25.6,12.7,17.2,16.6,,19.9,19.8,11.3,,,17.0
2007,12.7,15.6,,15.6,,15.1,17.1,17.1,17.6,15.9,24.0,23.1,16.9,,11.0,21.0,16.6,18.8,18.0,13.3,20.4,,,15.3,16.7,,11.7,10.0,24.0,15.0,18.5,19.0,,17.7,17.9,12.9,,,19.7
2008,13.1,19.1,,17.6,,15.9,18.8,17.1,19.6,16.2,26.6,20.8,24.6,,13.2,21.4,21.7,16.7,16.0,15.4,17.4,19.8,,,17.7,,25.3,11.6,21.5,17.4,16.7,19.6,,11.5,17.8,13.4,,,19.7
