,Atlanta Hawks,Boston Celtics,Brooklyn Nets,Charlotte Bobcats,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Dallas Mavericks,Denver Nuggets,Detroit Pistons,Golden State Warriors,Houston Rockets,Indiana Pacers,Kansas City Kings,Los Angeles Clippers,Los Angeles Lakers,Memphis Grizzlies,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,New Jersey Nets,New Orleans Hornets,New Orleans Pelicans,New Orleans/Oklahoma City Hornets,New York Knicks,Oklahoma City Thunder,Orlando Magic,Philadelphia 76ers,Phoenix Suns,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,San Diego Clippers,Seattle SuperSonics,Toronto Raptors,Utah Jazz,Vancouver Grizzlies,Washington Bullets,Washington Wizards
1980,0.17300000000000001,0.384,,,,0.255,0.193,,0.325,0.26,0.223,0.27399999999999997,0.28,0.21899999999999997,,0.2,,,0.32299999999999995,,0.285,,,,0.22,,,0.21600000000000003,0.243,0.19699999999999998,,0.252,0.326,0.312,,0.319,,0.307,
1981,0.122,0.27,,,,0.212,0.289,0.27899999999999997,0.207,0.155,0.28600000000000003,0.17800000000000002,0.17800000000000002,0.292,,0.18100000000000002,,,0.22899999999999998,,0.24600000000000002,,,,0.237,,,0.226,0.217,0.16899999999999998,,0.17600000000000002,0.324,0.27399999999999997,,0.258,,0.27,
1982,0.21899999999999997,0.266,,,,0.254,0.182,0.289,0.268,0.244,0.28,0.284,0.326,0.2,,0.138,,,0.299,,0.205,,,,0.271,,,0.295,0.31,0.207,,0.254,0.293,0.248,,0.22699999999999998,,0.25,
1983,0.239,0.21,,,,0.215,0.25,0.23199999999999998,0.19,0.265,0.22699999999999998,0.247,0.212,0.237,,0.10400000000000001,,,0.21899999999999997,,0.201,,,,0.252,,,0.22899999999999998,0.253,0.233,,0.305,0.244,0.21,,0.24,,0.295,
1984,0.217,0.24,,,,0.171,0.262,0.228,0.302,0.22699999999999998,0.243,0.195,0.23199999999999998,0.275,,0.257,,,0.254,,0.21100000000000002,,,,0.285,,,0.271,0.254,0.19399999999999998,,0.3,0.188,0.193,,0.319,,0.252,
1985,0.311,0.35600000000000004,,,,0.18,0.287,0.34299999999999997,0.311,0.226,0.282,0.22,0.19399999999999998,0.265,0.298,0.305,,,0.303,,0.23199999999999998,,,,0.258,,,0.263,0.28300000000000003,0.252,,0.272,,0.243,,0.336,,0.27399999999999997,
1986,0.19899999999999998,0.35100000000000003,,,,0.278,0.33799999999999997,0.316,0.233,0.302,0.313,0.27399999999999997,0.161,,0.27899999999999997,0.337,,,0.327,,0.201,,,,0.34299999999999997,,,0.228,0.20800000000000002,0.26899999999999996,0.22399999999999998,0.235,,0.263,,0.207,,0.284,
1987,0.318,0.366,,,,0.261,0.24,0.354,0.271,0.231,0.319,0.275,0.297,,0.22399999999999998,0.36700000000000005,,,0.32299999999999995,,0.32299999999999995,,,,0.33299999999999996,,,0.259,0.242,0.289,0.251,0.29,,0.335,,0.31,,0.19699999999999998,
1988,0.301,0.384,,,,0.23,0.37799999999999995,0.293,0.342,0.287,0.292,0.237,0.336,,0.249,0.297,,,0.324,,0.301,,,,0.316,,,0.32299999999999995,0.331,0.308,0.32,0.32299999999999995,,0.34600000000000003,,0.319,,0.21,
1989,0.27699999999999997,0.252,,,0.312,0.32799999999999996,0.359,0.31,0.337,0.3,0.308,0.314,0.32799999999999996,,0.231,0.34,,0.326,0.316,,0.32899999999999996,,,,0.337,,,0.316,0.349,0.335,0.373,0.215,,0.379,,0.3,,0.214,
1990,0.302,0.262,,,0.336,0.374,0.40700000000000003,0.32299999999999995,0.337,0.327,0.324,0.312,0.382,,0.243,0.36700000000000005,,0.293,0.312,0.248,0.27699999999999997,,,,0.332,,0.295,0.348,0.324,0.336,0.33299999999999996,0.239,,0.355,,0.359,,0.188,
1991,0.324,0.315,,,0.314,0.366,0.33399999999999996,0.322,0.28300000000000003,0.298,0.337,0.32,0.332,,0.26,0.304,,0.302,0.341,0.28300000000000003,0.275,,,,0.332,,0.358,0.316,0.319,0.377,0.374,0.273,,0.319,,0.32299999999999995,,0.19399999999999998,
1992,0.313,0.306,,,0.317,0.304,0.35700000000000004,0.336,0.301,0.314,0.33299999999999996,0.34299999999999997,0.354,,0.289,0.267,,0.342,0.369,0.32,0.33399999999999996,,,,0.325,,0.324,0.33399999999999996,0.381,0.344,0.353,0.292,,0.317,,0.345,,0.272,
1993,0.355,0.287,,,0.326,0.365,0.381,0.33799999999999997,0.304,0.322,0.35,0.361,0.326,,0.271,0.299,,0.354,0.33299999999999996,0.292,0.318,,,,0.32,,0.35700000000000004,0.35100000000000003,0.363,0.326,0.332,0.341,,0.35700000000000004,,0.314,,0.301,
1994,0.32299999999999995,0.289,,,0.36700000000000005,0.354,0.36200000000000004,0.312,0.285,0.344,0.33899999999999997,0.33399999999999996,0.368,,0.303,0.3,,0.33799999999999997,0.325,0.32899999999999996,0.327,,,,0.348,,0.34700000000000003,0.33799999999999997,0.33,0.353,0.353,0.349,,0.335,,0.32,,0.297,
1995,0.341,0.368,,,0.397,0.373,0.385,0.322,0.35600000000000004,0.354,0.341,0.368,0.38,,0.315,0.35200000000000004,,0.369,0.366,0.313,0.319,,,,0.368,,0.37,0.379,0.369,0.365,0.34600000000000003,0.375,,0.376,,0.376,,0.34299999999999997,
1996,0.355,0.371,,,0.384,0.40299999999999997,0.377,0.36,0.34600000000000003,0.40399999999999997,0.373,0.36200000000000004,0.373,,0.37,0.35100000000000003,,0.379,0.33799999999999997,0.326,0.335,,,,0.377,,0.37799999999999995,0.342,0.332,0.353,0.387,0.392,,0.364,0.354,0.37200000000000005,0.32899999999999996,0.40700000000000003,
1997,0.359,0.35100000000000003,,,0.428,0.373,0.376,0.327,0.37200000000000005,0.38799999999999996,0.353,0.365,0.381,,0.354,0.36700000000000005,,0.364,0.35200000000000004,0.33899999999999997,0.353,,,,0.363,,0.341,0.319,0.369,0.358,0.391,0.32,,0.353,0.363,0.37,0.349,0.331,
