,BKN/NJN,NOK/NOP,LAC/SDC,VAN/MEM,WAS/WSH,CHA,OKC/SEA,KCK/SAC,DET,BOS,UTA,DAL,MIA,IND,PHI,CHI,POR,LAL,ATL,CLE,DEN,HOU,SAS,PHX,ORL,MIL,GSW,MIN,TOR,NYK
1980,0.415,,0.42700000000000005,,0.47600000000000003,,0.6829999999999999,0.573,0.195,0.7440000000000001,0.293,,,0.451,0.72,0.366,0.46299999999999997,0.732,0.61,0.451,0.366,0.5,0.5,0.6709999999999999,,0.598,0.293,,,0.47600000000000003
1981,0.293,,0.439,,0.47600000000000003,,0.415,0.488,0.256,0.7559999999999999,0.341,0.183,,0.537,0.7559999999999999,0.5489999999999999,0.5489999999999999,0.659,0.37799999999999995,0.341,0.451,0.488,0.634,0.695,,0.732,0.47600000000000003,,,0.61
1982,0.537,,0.207,,0.524,,0.634,0.366,0.47600000000000003,0.768,0.305,0.341,,0.42700000000000005,0.7070000000000001,0.415,0.512,0.695,0.512,0.183,0.561,0.561,0.585,0.561,,0.6709999999999999,0.5489999999999999,,,0.402
1983,0.598,,0.305,,0.512,,0.585,0.5489999999999999,0.451,0.6829999999999999,0.366,0.46299999999999997,,0.244,0.7929999999999999,0.341,0.561,0.7070000000000001,0.524,0.28,0.5489999999999999,0.171,0.6459999999999999,0.6459999999999999,,0.622,0.366,,,0.537
1984,0.5489999999999999,,0.366,,0.42700000000000005,,0.512,0.46299999999999997,0.598,0.7559999999999999,0.5489999999999999,0.524,,0.317,0.634,0.32899999999999996,0.585,0.659,0.488,0.341,0.46299999999999997,0.354,0.451,0.5,,0.61,0.451,,,0.573
1985,0.512,,0.37799999999999995,,0.488,,0.37799999999999995,0.37799999999999995,0.561,0.768,0.5,0.537,,0.268,0.7070000000000001,0.46299999999999997,0.512,0.7559999999999999,0.415,0.439,0.634,0.585,0.5,0.439,,0.72,0.268,,,0.293
1986,0.47600000000000003,,0.39,,0.47600000000000003,,0.37799999999999995,0.451,0.561,0.8170000000000001,0.512,0.537,,0.317,0.659,0.366,0.488,0.7559999999999999,0.61,0.354,0.573,0.622,0.42700000000000005,0.39,,0.695,0.366,,,0.28
1987,0.293,,0.146,,0.512,,0.47600000000000003,0.354,0.634,0.72,0.537,0.6709999999999999,,0.5,0.5489999999999999,0.488,0.598,0.7929999999999999,0.695,0.37799999999999995,0.451,0.512,0.341,0.439,,0.61,0.512,,,0.293
1988,0.23199999999999998,,0.207,,0.46299999999999997,,0.537,0.293,0.659,0.695,0.573,0.6459999999999999,,0.46299999999999997,0.439,0.61,0.6459999999999999,0.7559999999999999,0.61,0.512,0.659,0.561,0.37799999999999995,0.341,,0.512,0.244,,,0.46299999999999997
1989,0.317,,0.256,,0.488,0.244,0.573,0.32899999999999996,0.768,0.512,0.622,0.46299999999999997,0.183,0.341,0.561,0.573,0.47600000000000003,0.695,0.634,0.695,0.537,0.5489999999999999,0.256,0.6709999999999999,,0.598,0.524,,,0.634
1990,0.207,,0.366,,0.37799999999999995,0.23199999999999998,0.5,0.28,0.72,0.634,0.6709999999999999,0.573,0.22,0.512,0.6459999999999999,0.6709999999999999,0.72,0.768,0.5,0.512,0.524,0.5,0.6829999999999999,0.659,0.22,0.537,0.451,0.268,,0.5489999999999999
1991,0.317,,0.37799999999999995,,0.366,0.317,0.5,0.305,0.61,0.6829999999999999,0.659,0.341,0.293,0.5,0.537,0.7440000000000001,0.768,0.7070000000000001,0.524,0.402,0.244,0.634,0.6709999999999999,0.6709999999999999,0.37799999999999995,0.585,0.537,0.354,,0.47600000000000003
1992,0.488,,0.5489999999999999,,0.305,0.37799999999999995,0.573,0.354,0.585,0.622,0.6709999999999999,0.268,0.46299999999999997,0.488,0.42700000000000005,0.8170000000000001,0.695,0.524,0.46299999999999997,0.695,0.293,0.512,0.573,0.6459999999999999,0.256,0.37799999999999995,0.6709999999999999,0.183,,0.622
1993,0.524,,0.5,,0.268,0.537,0.6709999999999999,0.305,0.488,0.585,0.573,0.134,0.439,0.5,0.317,0.695,0.622,0.47600000000000003,0.524,0.659,0.439,0.6709999999999999,0.598,0.7559999999999999,0.5,0.341,0.415,0.23199999999999998,,0.732
1994,0.5489999999999999,,0.32899999999999996,,0.293,0.5,0.768,0.341,0.244,0.39,0.6459999999999999,0.159,0.512,0.573,0.305,0.6709999999999999,0.573,0.402,0.695,0.573,0.512,0.7070000000000001,0.6709999999999999,0.6829999999999999,0.61,0.244,0.61,0.244,,0.695
1995,0.366,,0.207,,0.256,0.61,0.695,0.47600000000000003,0.341,0.42700000000000005,0.732,0.439,0.39,0.634,0.293,0.573,0.537,0.585,0.512,0.524,0.5,0.573,0.7559999999999999,0.72,0.695,0.415,0.317,0.256,,0.6709999999999999
1996,0.366,,0.354,0.183,0.47600000000000003,0.5,0.78,0.47600000000000003,0.561,0.402,0.6709999999999999,0.317,0.512,0.634,0.22,0.878,0.537,0.6459999999999999,0.561,0.573,0.42700000000000005,0.585,0.72,0.5,0.732,0.305,0.439,0.317,0.256,0.573
1997,0.317,,0.439,0.171,0.537,0.659,0.695,0.415,0.659,0.183,0.78,0.293,0.7440000000000001,0.47600000000000003,0.268,0.841,0.598,0.6829999999999999,0.6829999999999999,0.512,0.256,0.695,0.244,0.488,0.5489999999999999,0.402,0.366,0.488,0.366,0.695
1998,0.524,,0.207,0.23199999999999998,0.512,0.622,0.7440000000000001,0.32899999999999996,0.451,0.439,0.7559999999999999,0.244,0.6709999999999999,0.7070000000000001,0.37799999999999995,0.7559999999999999,0.561,0.7440000000000001,0.61,0.573,0.134,0.5,0.6829999999999999,0.6829999999999999,0.5,0.439,0.23199999999999998,0.5489999999999999,0.195,0.524
1999,0.32,,0.18,0.16,0.36,0.52,0.5,0.54,0.58,0.38,0.74,0.38,0.66,0.66,0.56,0.26,0.7,0.62,0.62,0.44,0.28,0.62,0.74,0.54,0.66,0.56,0.42,0.5,0.46,0.54
2000,0.37799999999999995,,0.183,0.268,0.354,0.598,0.5489999999999999,0.537,0.512,0.42700000000000005,0.6709999999999999,0.488,0.634,0.6829999999999999,0.598,0.207,0.72,0.8170000000000001,0.341,0.39,0.42700000000000005,0.415,0.6459999999999999,0.6459999999999999,0.5,0.512,0.23199999999999998,0.61,0.5489999999999999,0.61
2001,0.317,,0.37799999999999995,0.28,0.23199999999999998,0.561,0.537,0.6709999999999999,0.39,0.439,0.6459999999999999,0.6459999999999999,0.61,0.5,0.6829999999999999,0.183,0.61,0.6829999999999999,0.305,0.366,0.488,0.5489999999999999,0.7070000000000001,0.622,0.524,0.634,0.207,0.573,0.573,0.585
2002,0.634,,0.47600000000000003,0.28,0.451,0.537,0.5489999999999999,0.7440000000000001,0.61,0.598,0.537,0.695,0.439,0.512,0.524,0.256,0.598,0.7070000000000001,0.402,0.354,0.32899999999999996,0.341,0.7070000000000001,0.439,0.537,0.5,0.256,0.61,0.512,0.366
2003,0.598,0.573,0.32899999999999996,0.341,0.451,,0.488,0.72,0.61,0.537,0.573,0.732,0.305,0.585,0.585,0.366,0.61,0.61,0.42700000000000005,0.207,0.207,0.524,0.732,0.537,0.512,0.512,0.46299999999999997,0.622,0.293,0.451
2004,0.573,0.5,0.341,0.61,0.305,,0.451,0.6709999999999999,0.659,0.439,0.512,0.634,0.512,0.7440000000000001,0.402,0.28,0.5,0.6829999999999999,0.341,0.42700000000000005,0.524,0.5489999999999999,0.695,0.354,0.256,0.5,0.451,0.7070000000000001,0.402,0.47600000000000003
2005,0.512,0.22,0.451,0.5489999999999999,0.5489999999999999,0.22,0.634,0.61,0.659,0.5489999999999999,0.317,0.7070000000000001,0.72,0.537,0.524,0.573,0.32899999999999996,0.415,0.159,0.512,0.598,0.622,0.72,0.7559999999999999,0.439,0.366,0.415,0.537,0.402,0.402
2006,0.598,0.46299999999999997,0.573,0.598,0.512,0.317,0.42700000000000005,0.537,0.78,0.402,0.5,0.732,0.634,0.5,0.46299999999999997,0.5,0.256,0.5489999999999999,0.317,0.61,0.537,0.415,0.768,0.659,0.439,0.488,0.415,0.402,0.32899999999999996,0.28
2007,0.5,0.47600000000000003,0.488,0.268,0.5,0.402,0.37799999999999995,0.402,0.6459999999999999,0.293,0.622,0.8170000000000001,0.537,0.42700000000000005,0.42700000000000005,0.598,0.39,0.512,0.366,0.61,0.5489999999999999,0.634,0.7070000000000001,0.7440000000000001,0.488,0.341,0.512,0.39,0.573,0.402
2008,0.415,0.6829999999999999,0.28,0.268,0.524,0.39,0.244,0.46299999999999997,0.72,0.805,0.659,0.622,0.183,0.439,0.488,0.402,0.5,0.695,0.451,0.5489999999999999,0.61,0.6709999999999999,0.6829999999999999,0.6709999999999999,0.634,0.317,0.585,0.268,0.5,0.28
2009,0.415,0.598,0.23199999999999998,0.293,0.23199999999999998,0.42700000000000005,0.28,0.207,0.47600000000000003,0.7559999999999999,0.585,0.61,0.524,0.439,0.5,0.5,0.659,0.7929999999999999,0.573,0.805,0.659,0.6459999999999999,0.659,0.561,0.72,0.415,0.354,0.293,0.402,0.39
2010,0.146,0.451,0.354,0.488,0.317,0.537,0.61,0.305,0.32899999999999996,0.61,0.6459999999999999,0.6709999999999999,0.573,0.39,0.32899999999999996,0.5,0.61,0.695,0.6459999999999999,0.7440000000000001,0.6459999999999999,0.512,0.61,0.659,0.72,0.561,0.317,0.183,0.488,0.354
2011,0.293,0.561,0.39,0.561,0.28,0.415,0.6709999999999999,0.293,0.366,0.6829999999999999,0.47600000000000003,0.695,0.7070000000000001,0.451,0.5,0.7559999999999999,0.585,0.695,0.537,0.23199999999999998,0.61,0.524,0.7440000000000001,0.488,0.634,0.42700000000000005,0.439,0.207,0.268,0.512
2012,0.33299999999999996,0.318,0.606,0.621,0.303,0.106,0.7120000000000001,0.33299999999999996,0.379,0.591,0.545,0.545,0.6970000000000001,0.636,0.53,0.758,0.424,0.621,0.606,0.318,0.5760000000000001,0.515,0.758,0.5,0.561,0.47,0.348,0.39399999999999996,0.348,0.545
2013,0.598,0.32899999999999996,0.6829999999999999,0.6829999999999999,0.354,0.256,0.732,0.341,0.354,0.506,0.524,0.5,0.805,0.605,0.415,0.5489999999999999,0.402,0.5489999999999999,0.537,0.293,0.695,0.5489999999999999,0.7070000000000001,0.305,0.244,0.46299999999999997,0.573,0.37799999999999995,0.415,0.659
2014,0.537,0.415,0.695,0.61,0.537,0.524,0.72,0.341,0.354,0.305,0.305,0.598,0.659,0.6829999999999999,0.23199999999999998,0.585,0.659,0.32899999999999996,0.46299999999999997,0.402,0.439,0.659,0.7559999999999999,0.585,0.28,0.183,0.622,0.488,0.585,0.451
2015,0.46299999999999997,0.5489999999999999,0.6829999999999999,0.6709999999999999,0.561,0.402,0.5489999999999999,0.354,0.39,0.488,0.46299999999999997,0.61,0.451,0.46299999999999997,0.22,0.61,0.622,0.256,0.732,0.6459999999999999,0.366,0.6829999999999999,0.6709999999999999,0.47600000000000003,0.305,0.5,0.8170000000000001,0.195,0.598,0.207
2016,0.256,0.366,0.6459999999999999,0.512,0.5,0.585,0.6709999999999999,0.402,0.537,0.585,0.488,0.512,0.585,0.5489999999999999,0.122,0.512,0.537,0.207,0.585,0.695,0.402,0.5,0.8170000000000001,0.28,0.42700000000000005,0.402,0.89,0.354,0.6829999999999999,0.39
