,Atlanta Hawks,Boston Celtics,Brooklyn Nets,Charlotte Bobcats,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Dallas Mavericks,Denver Nuggets,Detroit Pistons,Golden State Warriors,Houston Rockets,Indiana Pacers,Kansas City Kings,Los Angeles Clippers,Los Angeles Lakers,Memphis Grizzlies,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,New Jersey Nets,New Orleans Hornets,New Orleans Pelicans,New Orleans/Oklahoma City Hornets,New York Knicks,Oklahoma City Thunder,Orlando Magic,Philadelphia 76ers,Phoenix Suns,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,San Diego Clippers,Seattle SuperSonics,Toronto Raptors,Utah Jazz,Vancouver Grizzlies,Washington Bullets,Washington Wizards
1980,0.61,0.7440000000000001,,,,0.366,0.451,,0.366,0.195,0.293,0.5,0.451,0.573,,0.732,,,0.598,,0.415,,,,0.47600000000000003,,,0.72,0.6709999999999999,0.46299999999999997,,0.5,0.42700000000000005,0.6829999999999999,,0.293,,0.47600000000000003,
1981,0.37799999999999995,0.7559999999999999,,,,0.5489999999999999,0.341,0.183,0.451,0.256,0.47600000000000003,0.488,0.537,0.488,,0.659,,,0.732,,0.293,,,,0.61,,,0.7559999999999999,0.695,0.5489999999999999,,0.634,0.439,0.415,,0.341,,0.47600000000000003,
1982,0.512,0.768,,,,0.415,0.183,0.341,0.561,0.47600000000000003,0.5489999999999999,0.561,0.42700000000000005,0.366,,0.695,,,0.6709999999999999,,0.537,,,,0.402,,,0.7070000000000001,0.561,0.512,,0.585,0.207,0.634,,0.305,,0.524,
1983,0.524,0.6829999999999999,,,,0.341,0.28,0.46299999999999997,0.5489999999999999,0.451,0.366,0.171,0.244,0.5489999999999999,,0.7070000000000001,,,0.622,,0.598,,,,0.537,,,0.7929999999999999,0.6459999999999999,0.561,,0.6459999999999999,0.305,0.585,,0.366,,0.512,
1984,0.488,0.7559999999999999,,,,0.32899999999999996,0.341,0.524,0.46299999999999997,0.598,0.451,0.354,0.317,0.46299999999999997,,0.659,,,0.61,,0.5489999999999999,,,,0.573,,,0.634,0.5,0.585,,0.451,0.366,0.512,,0.5489999999999999,,0.42700000000000005,
1985,0.415,0.768,,,,0.46299999999999997,0.439,0.537,0.634,0.561,0.268,0.585,0.268,0.37799999999999995,0.37799999999999995,0.7559999999999999,,,0.72,,0.512,,,,0.293,,,0.7070000000000001,0.439,0.512,,0.5,,0.37799999999999995,,0.5,,0.488,
1986,0.61,0.8170000000000001,,,,0.366,0.354,0.537,0.573,0.561,0.366,0.622,0.317,,0.39,0.7559999999999999,,,0.695,,0.47600000000000003,,,,0.28,,,0.659,0.39,0.488,0.451,0.42700000000000005,,0.37799999999999995,,0.512,,0.47600000000000003,
1987,0.695,0.72,,,,0.488,0.37799999999999995,0.6709999999999999,0.451,0.634,0.512,0.512,0.5,,0.146,0.7929999999999999,,,0.61,,0.293,,,,0.293,,,0.5489999999999999,0.439,0.598,0.354,0.341,,0.47600000000000003,,0.537,,0.512,
1988,0.61,0.695,,,,0.61,0.512,0.6459999999999999,0.659,0.659,0.244,0.561,0.46299999999999997,,0.207,0.7559999999999999,,,0.512,,0.23199999999999998,,,,0.46299999999999997,,,0.439,0.341,0.6459999999999999,0.293,0.37799999999999995,,0.537,,0.573,,0.46299999999999997,
1989,0.634,0.512,,,0.244,0.573,0.695,0.46299999999999997,0.537,0.768,0.524,0.5489999999999999,0.341,,0.256,0.695,,0.183,0.598,,0.317,,,,0.634,,,0.561,0.6709999999999999,0.47600000000000003,0.32899999999999996,0.256,,0.573,,0.622,,0.488,
1990,0.5,0.634,,,0.23199999999999998,0.6709999999999999,0.512,0.573,0.524,0.72,0.451,0.5,0.512,,0.366,0.768,,0.22,0.537,0.268,0.207,,,,0.5489999999999999,,0.22,0.6459999999999999,0.659,0.72,0.28,0.6829999999999999,,0.5,,0.6709999999999999,,0.37799999999999995,
1991,0.524,0.6829999999999999,,,0.317,0.7440000000000001,0.402,0.341,0.244,0.61,0.537,0.634,0.5,,0.37799999999999995,0.7070000000000001,,0.293,0.585,0.354,0.317,,,,0.47600000000000003,,0.37799999999999995,0.537,0.6709999999999999,0.768,0.305,0.6709999999999999,,0.5,,0.659,,0.366,
1992,0.46299999999999997,0.622,,,0.37799999999999995,0.8170000000000001,0.695,0.268,0.293,0.585,0.6709999999999999,0.512,0.488,,0.5489999999999999,0.524,,0.46299999999999997,0.37799999999999995,0.183,0.488,,,,0.622,,0.256,0.42700000000000005,0.6459999999999999,0.695,0.354,0.573,,0.573,,0.6709999999999999,,0.305,
1993,0.524,0.585,,,0.537,0.695,0.659,0.134,0.439,0.488,0.415,0.6709999999999999,0.5,,0.5,0.47600000000000003,,0.439,0.341,0.23199999999999998,0.524,,,,0.732,,0.5,0.317,0.7559999999999999,0.622,0.305,0.598,,0.6709999999999999,,0.573,,0.268,
1994,0.695,0.39,,,0.5,0.6709999999999999,0.573,0.159,0.512,0.244,0.61,0.7070000000000001,0.573,,0.32899999999999996,0.402,,0.512,0.244,0.244,0.5489999999999999,,,,0.695,,0.61,0.305,0.6829999999999999,0.573,0.341,0.6709999999999999,,0.768,,0.6459999999999999,,0.293,
1995,0.512,0.42700000000000005,,,0.61,0.573,0.524,0.439,0.5,0.341,0.317,0.573,0.634,,0.207,0.585,,0.39,0.415,0.256,0.366,,,,0.6709999999999999,,0.695,0.293,0.72,0.537,0.47600000000000003,0.7559999999999999,,0.695,,0.732,,0.256,
1996,0.561,0.402,,,0.5,0.878,0.573,0.317,0.42700000000000005,0.561,0.439,0.585,0.634,,0.354,0.6459999999999999,,0.512,0.305,0.317,0.366,,,,0.573,,0.732,0.22,0.5,0.537,0.47600000000000003,0.72,,0.78,0.256,0.6709999999999999,0.183,0.47600000000000003,
1997,0.6829999999999999,0.183,,,0.659,0.841,0.512,0.293,0.256,0.659,0.366,0.695,0.47600000000000003,,0.439,0.6829999999999999,,0.7440000000000001,0.402,0.488,0.317,,,,0.695,,0.5489999999999999,0.268,0.488,0.598,0.415,0.244,,0.695,0.366,0.78,0.171,0.537,
1998,0.61,0.439,,,0.622,0.7559999999999999,0.573,0.244,0.134,0.451,0.23199999999999998,0.5,0.7070000000000001,,0.207,0.7440000000000001,,0.6709999999999999,0.439,0.5489999999999999,0.524,,,,0.524,,0.5,0.37799999999999995,0.6829999999999999,0.561,0.32899999999999996,0.6829999999999999,,0.7440000000000001,0.195,0.7559999999999999,0.23199999999999998,,0.512
1999,0.62,0.38,,,0.52,0.26,0.44,0.38,0.28,0.58,0.42,0.62,0.66,,0.18,0.62,,0.66,0.56,0.5,0.32,,,,0.54,,0.66,0.56,0.54,0.7,0.54,0.74,,0.5,0.46,0.74,0.16,,0.36
2000,0.341,0.42700000000000005,,,0.598,0.207,0.39,0.488,0.42700000000000005,0.512,0.23199999999999998,0.415,0.6829999999999999,,0.183,0.8170000000000001,,0.634,0.512,0.61,0.37799999999999995,,,,0.61,,0.5,0.598,0.6459999999999999,0.72,0.537,0.6459999999999999,,0.5489999999999999,0.5489999999999999,0.6709999999999999,0.268,,0.354
2001,0.305,0.439,,,0.561,0.183,0.366,0.6459999999999999,0.488,0.39,0.207,0.5489999999999999,0.5,,0.37799999999999995,0.6829999999999999,,0.61,0.634,0.573,0.317,,,,0.585,,0.524,0.6829999999999999,0.622,0.61,0.6709999999999999,0.7070000000000001,,0.537,0.573,0.6459999999999999,0.28,,0.23199999999999998
