,Atlanta Hawks,Boston Celtics,Brooklyn Nets/New Jersey Nets,Charlotte Bobcats/Hornets,Chicago Bulls,Cleveland Cavaliers,Dallas Mavericks,Denver Nuggets,Detroit Pistons,Golden State Warriors,Houston Rockets,Indiana Pacers,Los Angeles Clippers/San Diego Clippers,Los Angeles Lakers,Memphis Grizzlies/Vancouver Grizzlies,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,New Orleans Hornets/New Orleans Pelicans/Oklahoma City Hornets,New York Knicks,Orlando Magic,Philadelphia 76ers,Phoenix Suns,Portland Trail Blazers,Kansas City Kings/Sacramento Kings,San Antonio Spurs,Seattle SuperSonics/Oklahoma City Thunder,Toronto Raptors,Utah Jazz,Washington Bullets/Wizards
1980,0.173,0.384,0.285,,0.255,0.193,,0.325,0.26,0.223,0.274,0.28,0.326,0.2,,,0.323,,,0.22,,0.216,0.243,0.197,0.219,0.252,0.312,,0.319,0.307
1981,0.122,0.27,0.246,,0.212,0.289,0.279,0.207,0.155,0.286,0.178,0.178,0.324,0.181,,,0.229,,,0.237,,0.226,0.217,0.169,0.292,0.176,0.274,,0.258,0.27
1982,0.219,0.266,0.205,,0.254,0.182,0.289,0.268,0.244,0.28,0.284,0.326,0.293,0.138,,,0.299,,,0.271,,0.295,0.31,0.207,0.2,0.254,0.248,,0.227,0.25
1983,0.239,0.21,0.201,,0.215,0.25,0.232,0.19,0.265,0.227,0.247,0.212,0.244,0.104,,,0.219,,,0.252,,0.229,0.253,0.233,0.237,0.305,0.21,,0.24,0.295
1984,0.217,0.24,0.211,,0.171,0.262,0.228,0.302,0.227,0.243,0.195,0.232,0.188,0.257,,,0.254,,,0.285,,0.271,0.254,0.194,0.275,0.3,0.193,,0.319,0.252
1985,0.311,0.356,0.232,,0.18,0.287,0.343,0.311,0.226,0.282,0.22,0.194,0.298,0.305,,,0.303,,,0.258,,0.263,0.283,0.252,0.265,0.272,0.243,,0.336,0.274
1986,0.199,0.351,0.201,,0.278,0.338,0.316,0.233,0.302,0.313,0.274,0.161,0.279,0.337,,,0.327,,,0.343,,0.228,0.208,0.269,0.224,0.235,0.263,,0.207,0.284
1987,0.318,0.366,0.323,,0.261,0.24,0.354,0.271,0.231,0.319,0.275,0.297,0.224,0.367,,,0.323,,,0.333,,0.259,0.242,0.289,0.251,0.29,0.335,,0.31,0.197
1988,0.301,0.384,0.301,,0.23,0.378,0.293,0.342,0.287,0.292,0.237,0.336,0.249,0.297,,,0.324,,,0.316,,0.323,0.331,0.308,0.32,0.323,0.346,,0.319,0.21
1989,0.277,0.252,0.329,0.312,0.328,0.359,0.31,0.337,0.3,0.308,0.314,0.328,0.231,0.34,,0.326,0.316,,,0.337,,0.316,0.349,0.335,0.373,0.215,0.379,,0.3,0.214
1990,0.302,0.262,0.277,0.336,0.374,0.407,0.323,0.337,0.327,0.324,0.312,0.382,0.243,0.367,,0.293,0.312,0.248,,0.332,0.295,0.348,0.324,0.336,0.333,0.239,0.355,,0.359,0.188
1991,0.324,0.315,0.275,0.314,0.366,0.334,0.322,0.283,0.298,0.337,0.32,0.332,0.26,0.304,,0.302,0.341,0.283,,0.332,0.358,0.316,0.319,0.377,0.374,0.273,0.319,,0.323,0.194
1992,0.313,0.306,0.334,0.317,0.304,0.357,0.336,0.301,0.314,0.333,0.343,0.354,0.289,0.267,,0.342,0.369,0.32,,0.325,0.324,0.334,0.381,0.344,0.353,0.292,0.317,,0.345,0.272
1993,0.355,0.287,0.318,0.326,0.365,0.381,0.338,0.304,0.322,0.35,0.361,0.326,0.271,0.299,,0.354,0.333,0.292,,0.32,0.357,0.351,0.363,0.326,0.332,0.341,0.357,,0.314,0.301
1994,0.323,0.289,0.327,0.367,0.354,0.362,0.312,0.285,0.344,0.339,0.334,0.368,0.303,0.3,,0.338,0.325,0.329,,0.348,0.347,0.338,0.33,0.353,0.353,0.349,0.335,,0.32,0.297
1995,0.341,0.368,0.319,0.397,0.373,0.385,0.322,0.356,0.354,0.341,0.368,0.38,0.315,0.352,,0.369,0.366,0.313,,0.368,0.37,0.379,0.369,0.365,0.346,0.375,0.376,,0.376,0.343
1996,0.355,0.371,0.335,0.384,0.403,0.377,0.36,0.346,0.404,0.373,0.362,0.373,0.37,0.351,0.329,0.379,0.338,0.326,,0.377,0.378,0.342,0.332,0.353,0.387,0.392,0.364,0.354,0.372,0.407
