Team,Games,Minutes Played,Field Goal Percentage,Average distance (ft.) of FGA,% of FGAs that are 2-Pt FGAs.,% of FGAs that are 0-3 feet from the basket.,% of FGAs that are 3-10 feet from the basket.,% of FGAs that are 10-16 feet from the basket.,% of FGAs that are 2-Pt shotsand 16+ feet from the basket.,% of FGAs that are 3-Pt FGAs.,2-Point Field Goal Percentage,FG% on FGAs that are 0-3 feet from the basket.,FG% on FGAs that are 3-10 feet from the basket.,FG% on FGAs that are 10-16 feet from the basket.,FG% on 2-Pt FGAs that are 16+ feet from the basket.,3-Point Field Goal Percentage,% of 2-Pt FGs that are assisted.,% of all FGAs that are dunk attempts.,FGs that are dunks.,% of all team FGAs that are layup attempts.,Team FGs that are layups.,% of 3-Pt FGs that are assisted.,% of 3PAs from the corner.,3P% on 3PAs from the corner.,Heave attempts (beyond half-court),Heaves made (beyond half-court)
Atlanta Hawks,82,19830,.458,12.7,.664,.326,.121,.078,.138,.336,.512,.623,.377,.431,.415,.350,.582,.037,222,.293,1182,.896,.244,.360,12,1
Boston Celtics,82,19780,.439,12.4,.707,.318,.141,.094,.154,.293,.483,.624,.355,.378,.373,.335,.546,.025,169,.290,1262,.856,.232,.345,12,0
Brooklyn Nets,82,19755,.453,11.6,.782,.284,.211,.106,.181,.218,.481,.608,.426,.404,.392,.352,.530,.032,202,.266,1038,.844,.309,.391,13,0
Chicago Bulls,82,19905,.441,12.2,.756,.291,.162,.117,.185,.244,.464,.573,.391,.400,.398,.371,.515,.039,255,.262,966,.883,.224,.397,16,1
Charlotte Hornets,82,19855,.439,13.7,.652,.274,.129,.093,.156,.348,.479,.599,.394,.383,.397,.362,.482,.029,177,.248,962,.840,.171,.409,9,1
Cleveland Cavaliers,82,19855,.460,13.3,.648,.280,.149,.095,.125,.352,.514,.658,.391,.378,.438,.362,.481,.057,358,.227,920,.861,.260,.391,5,1
Dallas Mavericks,82,20005,.444,13.7,.661,.243,.149,.111,.159,.339,.495,.656,.369,.431,.412,.344,.500,.033,214,.214,879,.847,.213,.390,17,0
Denver Nuggets,82,19830,.442,11.8,.723,.342,.158,.080,.142,.277,.482,.586,.389,.373,.397,.338,.543,.055,356,.287,1053,.811,.210,.340,18,2
Detroit Pistons,82,19880,.439,12.3,.697,.294,.184,.104,.116,.303,.480,.610,.369,.410,.388,.345,.422,.037,232,.258,1032,.803,.254,.374,30,1
Golden State Warriors,82,19880,.487,13.5,.638,.301,.125,.093,.119,.362,.528,.660,.362,.422,.452,.416,.626,.062,402,.242,1032,.792,.229,.413,22,2
